"zone","state","lga","sector","ea","line_no","activity_desc","activity_cd","c3q15","c3q16","c3q17","c3q18","c3q19","c3q20","c3q21","c3q22","c3q23"
1,7,722,2,234,3,"CULTIVATION",9999,1,500,2,,2,,1,,50
1,7,722,2,892,1,"CULTIVATION",9999,1,500,2,,2,,1,,50
1,7,722,2,892,2,"WEEDING",1201,2,,1,300,2,,1,,50
1,7,722,2,892,3,"HARVESTING",1300,1,300,1,300,2,,1,,20
2,8,802,2,1152,1,"ROOFING HOUSES",2012,1,1500,2,,2,,2,,
2,8,802,2,1152,2,"BUILDING HOUSES",2001,1,1500,2,,2,,2,,
2,8,803,1,944,1,"BUILDING LABOURERS",2001,1,1500,2,,2,,2,,
2,8,805,2,46,1,"ROOFING OF ROOM",2012,1,1000,2,,2,,2,,
2,8,805,2,46,2,"BUILDING HOUSES",2001,1,1000,2,,2,,2,,
2,8,805,2,46,3,"DIGGING OF TOILET",3004,1,1000,2,,2,,2,,
2,8,807,2,946,1,"BUILDING HOUSES",2001,1,700,2,,2,,1,3000,
2,8,807,2,1438,1,"BUILDING HOUSES",2001,1,700,2,,2,,1,5000,
2,8,807,2,2396,1,"BUILDING/HOUSES",2001,1,500,2,,2,,1,4000,
2,8,811,2,390,1,"DIGGING OF PIT TOILET",3004,1,,2,,2,,1,,1500
2,8,811,2,390,2,"PLASTERING OF WALL",2004,1,,2,,2,,1,,1500
2,8,811,2,390,3,"BUILDING HOUSES",2001,1,,2,,2,,1,,6000
2,8,811,1,1558,1,"BUILDING HOUSES",2001,1,1500,2,,2,,2,,
2,8,811,1,1558,2,"ROOFING HOUSES",2012,1,1500,2,,2,,,,
2,8,812,2,866,1,"MULDING BRICKS",2002,1,,2,,2,,1,3000,
2,8,812,2,866,2,"BUILDING HOUSES",2001,1,,2,,2,,1,3000,
2,8,813,2,2094,1,"BUILDING LABOURERS",2001,1,1000,2,,2,,2,,
2,8,817,1,2476,1,"SMOKING OF FISH",1703,1,1000,2,,1,500,2,,
2,8,821,1,5062,1,"DIGING PIT HOLE",3004,1,2000,2,,2,,2,,
2,8,821,1,5062,2,"BUIIDING HOUSES",2001,1,2000,2,,2,,2,,
2,8,823,2,548,1,"THATCH MAKING",2010,1,600,2,,2,,2,,
2,8,823,2,548,2,,9999,2,,2,,2,,2,,
2,8,827,2,804,1,"BUILDING HOUSES",2001,1,1000,2,,2,,1,3500,
2,8,827,2,804,2,"ROOFING",2012,1,1000,2,,2,,1,3500,
5,9,910,2,200,1,"HARVESTING OF COCOA",1306,1,1000,2,,2,,2,,
5,9,913,2,2266,1,"HARVESTING OF RICE",1319,2,,1,400,1,200,2,,
5,9,914,2,1746,1,"HARVESTING OF PALM FRUITS",1316,1,1000,2,,2,,2,,
5,9,915,1,1390,1,"HARVESTING OF PALM FRUITS",1316,1,700,2,,2,,2,,
5,10,1001,2,172,1,"STAKING",1204,1,3000,2,,2,,2,,
5,10,1001,2,172,2,"CASSAVA PROCESSING",1402,2,,1,800,2,,2,,
5,10,1001,2,172,3,"TENDING",9999,1,800,2,,2,,2,,
5,10,1001,2,172,4,"HARVESTING",1300,1,800,2,,2,,2,,
5,10,1005,1,662,1,"HARVEST CASSAVA",1305,2,,1,1000,2,,2,,
5,10,1005,1,662,2,"PROCESSING OF PALM FRUIT",1403,1,2000,2,,2,,2,,
5,10,1005,1,662,3,"HARVESTING OF PALM FRUIT",1316,1,2000,2,,2,,2,,
5,10,1005,1,662,4,"PROCESSING OF CASSAVA",1402,2,,1,500,2,,2,,
5,10,1005,2,1374,1,"HARVESTING OF CASSAVA",1305,2,,1,700,2,,2,,
5,10,1007,1,1166,1,"HARVESTING",1300,1,1000,1,1000,2,,2,,
5,10,1007,1,1166,2,"TENDING",9999,1,1000,2,,2,,2,,
5,10,1007,1,1166,3,"STAKING",1204,1,3000,2,,2,,2,,
5,10,1008,2,1314,1,"YAM STAKING",1204,1,600,2,,1,400,2,,
5,10,1008,2,1314,2,"HARVESTING",1300,1,600,1,500,2,,2,,
5,10,1008,2,1314,3,"TENDING",9999,1,600,2,,2,,2,,
5,10,1008,2,1718,1,"CASSAVA PROCESSING",1402,2,,1,1200,2,,2,,
5,10,1008,2,1718,2,"YAM STAKING",1204,1,1200,2,,2,,2,,
5,10,1008,2,1718,3,"HARVESTING",1300,1,1200,1,1200,2,,2,,
5,10,1008,2,1718,4,"TENDING",9999,1,1200,2,,2,,2,,
5,10,1010,2,20,1,"HARVESTING",1300,1,1200,1,800,2,,2,,
5,10,1010,2,20,2,"PROCESSING  GARRI",1402,2,,1,750,2,,2,,
5,10,1012,2,936,1,"TENDING",9999,1,1500,2,,2,,2,,
5,10,1012,2,936,2,"YAM STAKING",1204,1,1500,2,,2,,2,,
5,10,1012,2,936,3,"HARVESTING",1300,1,1500,1,1000,2,,2,,
5,10,1014,2,80,1,"TILLING/PRUNING",1102,1,1000,2,,2,,2,,
5,10,1014,2,80,2,"HARVESTING",1300,1,2000,1,1000,2,,2,,
5,10,1014,2,80,3,"STAKING",1204,1,1500,2,,2,,2,,
5,10,1014,2,80,4,"TENDING",9999,1,1000,2,,2,,2,,
5,10,1018,2,898,1,"NONE",9999,2,,2,,2,,,,
5,10,1020,1,38,1,"HARVESTING OF CASSAVA",1305,1,1500,1,1000,2,,2,,
5,10,1021,2,120,1,"HARVESTING",1300,1,900,1,900,2,,2,,
5,10,1021,2,120,2,"YAM TENDING",1204,1,900,2,,2,,2,,
5,10,1021,2,120,3,"YAM STAKING",1204,1,900,2,,2,,2,,
5,10,1025,2,1774,1,"NONE",9999,,,,,,,,,
4,11,1101,2,154,1,"MAKING OF HEAPS",1103,1,1000,1,500,2,,1,7000,150
4,11,1101,2,154,2,"TAPPING OF PALM WINE",1317,1,400,2,,2,,2,,
4,11,1102,2,936,1,"TAPPING OF PALM WINE",1317,2,,2,,2,,2,,
4,11,1102,2,936,2,"MAKING OF HEAPS",1103,1,100,1,700,2,,1,8000,150
4,11,1104,2,434,1,"MAKING OF LOCAL BEDS",4009,1,500,2,,2,,2,,
4,11,1104,2,434,2,"MAKING OF HEAPS",1103,1,1000,1,700,1,400,1,5000,30
4,11,1104,2,434,3,"TAPPING OF PALM WINE",1317,1,200,2,,2,,2,,
4,11,1105,2,100,1,"MAKING OF LOCAL BEDS",4009,1,1000,2,,2,,1,8000,120
4,11,1105,2,100,2,"MAKING OF HEAPS",1103,1,1000,1,700,2,,1,8000,120
4,11,1105,2,100,3,"TAPPING OF PALM WINE",1317,1,400,2,,2,,2,,
4,11,1106,2,446,1,"MAKING OF YAM HEAPS",1103,1,1500,1,1000,2,,1,5000,100
4,11,1106,2,446,2,"MAKING OF COCOYAM HEAPS",1103,1,1500,1,700,2,,1,5000,100
4,11,1106,2,446,3,"MAKING OF LOCAL BEDS",4009,1,1400,1,700,2,,1,500,150
4,11,1107,2,1034,1,"TAPPING OF PALM WINE",1317,1,400,2,,2,,2,,
4,11,1107,2,1034,2,"MAKING OF HEAPS",1103,1,1000,1,700,2,,1,7000,100
4,11,1107,2,1034,3,"MAKING OF LOCAL BEDS",4009,1,1000,1,700,2,,1,7000,100
4,11,1108,2,492,1,"TAPPING OF PALM WINE",1317,1,400,2,,2,,2,,
4,11,1108,2,492,2,"MAKING OF HEAPS",1103,1,1000,1,700,1,500,1,6000,120
4,11,1108,2,492,3,"MAKING OF LOCAL BEDS",4009,1,1000,2,,2,,1,6000,120
4,11,1109,2,672,1,"TAPPING OF PALM WINE",1317,1,400,2,,2,,2,,
4,11,1109,2,672,2,"MAKING OF HEAPS",1103,1,1000,1,800,2,,1,800,
4,11,1110,2,714,1,"MAKING OF HEAPS",1103,1,1000,1,700,1,400,1,5000,100
4,11,1110,2,714,2,"MAKING OF LOCAL BEDS",4009,1,1000,2,,2,,2,,
4,11,1110,2,714,3,"TAPPING OF PALM WINE",1317,1,400,2,,2,,2,,
4,11,1110,2,2752,1,"MAKINF OF HEAPS",1103,1,1500,1,1000,2,,1,6000,100
4,11,1110,2,2752,2,"TAPPINF OF PALM WINE",1317,1,500,2,,2,,2,,
4,11,1110,2,2752,3,"MAKING OF LOCAL BEDS",4009,1,1500,2,,2,,1,6000,100
4,11,1112,2,78,1,"MAKING OF HEAPS",1103,1,1000,1,500,2,,1,7000,120
4,11,1112,2,78,2,"TAPPING OF PALM WINE",1317,1,400,2,,2,,2,,
4,11,1112,2,1952,1,"MAKING OF HEAPS",1103,1,1000,1,500,2,,1,7000,150
4,11,1112,2,1952,2,"TAPPING OF PALM WINE",1317,1,400,2,,2,,2,,
4,11,1113,2,954,1,"TAPPING OF PALM WINE",1317,1,500,2,,2,,2,,
4,11,1113,2,954,2,"MAKING OF HEAPS",1103,1,1000,1,700,2,,1,8000,150
5,12,1208,2,526,1,"BRICKLAYER BUILDING HOUSE",2002,1,2000,1,1000,2,,2,,
6,13,1301,1,1206,1,"HARVESTING OF CASSAVA",1305,1,2000,1,1000,1,1000,1,12000,6
6,13,1301,1,1206,2,"HARVESTING OF YAM",1320,1,1500,1,1000,1,1000,1,10000,5
6,13,1301,1,1206,3,"HARVESTING OF MAIZE",1312,2,,1,1000,1,700,1,8000,4
6,13,1303,1,626,1,"HEAPING OF LAND",1103,1,1500,2,,1,1000,1,12000,5
6,13,1303,1,626,2,"HARVESTING OF CASSAVA",1305,1,2000,1,1000,1,1000,2,,
6,13,1305,2,10,1,"HARVESTING OF MAIZE",1312,2,,1,700,1,700,2,,
6,13,1305,1,1232,1,"HARVESTING OF CASSAVA",1305,1,2000,1,1000,1,1000,1,12000,6
6,13,1307,1,268,1,"HARVESTING OF YAM",1320,1,1000,1,700,1,500,1,8000,4
6,13,1307,1,268,2,"HARVESTING OF CASSAVA",1305,1,2000,1,1000,1,1000,1,15000,7
6,13,1309,2,674,1,"HARVESTING OF COCOA",1306,1,1500,1,1000,1,800,1,12000,6000
6,13,1310,1,1300,1,"HARVEST OF COCOA",1306,1,1000,1,1000,1,1000,1,10000,5
6,13,1310,1,1300,2,"HARVEST OF YAM",1320,1,1000,1,500,1,500,1,7500,3
6,13,1310,1,1300,3,"HAVEST OF CASSAVA",1305,1,2000,1,1000,1,1000,1,20000,10
6,13,1314,1,6,1,"HARVEST OF WATER MELON",1313,1,800,1,700,1,700,1,10000,5
6,13,1314,1,6,2,"HARVEST OF YAM",1320,1,1000,1,800,1,700,1,8000,4
6,13,1314,1,6,3,"HARVEST OF CASSAVA",1305,1,1000,1,700,1,700,1,15000,7
4,14,1401,2,1116,1,"WINE TAPING",1317,1,400,2,,2,,2,,
4,14,1406,2,694,1,"WINE TAPING",1317,1,1000,2,,2,,2,,
4,14,1407,2,68,1,"WINE TAPPING",1317,1,500,2,,2,,2,,
4,14,1408,2,968,1,"WINE TAPING",1317,1,500,2,,2,,2,,
4,14,1408,2,1996,1,"WINE TAPING",1317,1,500,2,,2,,2,,
4,14,1410,2,236,1,"WINE TAPING",1317,1,400,2,,2,,2,,
4,14,1411,2,1066,1,"WINE TAPING",1317,1,350,2,,2,,2,,
4,14,1413,2,670,1,"WINE TAPING",1317,1,500,2,,2,,2,,
4,14,1413,1,2578,1,"WINE TAPING",1317,1,400,2,,2,,2,,
4,14,1415,2,156,1,"WINE TAPING",1317,1,1200,2,,2,,2,,
4,14,1415,2,952,1,"WINE TAPING",1317,1,600,2,,2,,2,,
4,14,1416,2,2314,1,"WINE TAPING",1317,1,700,2,,2,,2,,
2,15,1502,2,590,1,"CLEARING OF BUSH",1101,1,400,2,,2,,1,2000,25
2,15,1503,2,634,1,"HARVESTING",1300,1,500,2,,2,,1,10000,
2,15,1506,1,148,1,"BUILDING&CONSTRUCTION",2001,1,2500,2,,1,1000,2,,
2,15,1506,1,148,2,"COLLECTION OF GABAGE",3005,1,4000,2,,2,,2,,
2,15,1506,1,398,1,"BRICKS LAYERS",2002,1,1500,2,,2,,2,,
2,15,1507,2,458,1,"HARVESTING",1300,1,,2,,1,,1,12500,
2,15,1508,2,1682,1,"PLOUGHING",1102,1,400,2,,2,,1,1500,50
2,15,1510,2,616,1,"HARVESTING",1300,1,,2,,1,,1,11000,
2,15,1511,2,1938,1,"HARVESTING & COLLECTION",1300,1,400,2,,1,300,1,10000,100
4,16,1601,2,954,1,"PALM WINE TAPPING",1317,1,250,2,,2,,2,,
4,16,1601,2,954,2,"CASSAVA PROCESSING",1402,2,,1,700,2,,1,1700,150
4,16,1601,2,954,3,"PALM FRUIT PROCESSING",1403,1,500,1,500,2,,2,,
4,16,1602,2,1576,1,"PALM FRUIT PROCESSING",1403,1,700,1,800,2,,2,,
4,16,1602,2,1576,2,"CUTTING OF PALM FRUIT",1316,1,300,2,,2,,2,,
4,16,1602,2,1576,3,"RAFIA PALM WINE TAPPING",1317,1,700,2,,2,,2,,
4,16,1602,2,1576,4,"GRINDING OF CASSAVA",1402,2,,1,800,2,,2,,
4,16,1602,2,1576,5,"PAP/MAIZE PROCESSING",1405,2,,1,500,2,,2,,
4,16,1603,2,158,1,"HARVESTING OF PALM FRUIT",1316,1,200,2,,2,,1,,200
4,16,1603,2,158,2,"CUTTING OF PALM TREE LEAV",2010,1,300,2,,2,,1,,300
4,16,1605,2,180,1,"HARVESTING OF PALM FRUIT",1316,1,50,2,,2,,1,4000,
4,16,1605,2,180,2,"CUTTING OF PALM LEAVES",2010,1,150,2,,2,,1,4500,
4,16,1606,2,590,1,"GARRI PROCESSING",1402,1,400,1,500,2,,1,700,700
4,16,1606,2,590,2,"CASSAVA PROCESSING",1402,2,,1,500,2,,2,,
4,16,1606,2,590,3,"PALM FRUIT CUTTING",1316,1,500,2,,2,,1,800,800
4,16,1606,2,590,4,"RAFIA WINE PPRCOSSING",1400,1,600,2,,2,,2,,
4,16,1608,2,1104,1,"PALM OIL PRODUCTION",1403,1,500,1,500,2,,1,1200,300
4,16,1608,2,1104,2,"FRYING OF GARRI",1402,1,600,1,600,2,,1,3000,500
4,16,1608,2,1104,3,"GRINDING OF CASSAVA ROOTS",1402,1,500,2,,2,,2,,
4,16,1608,2,1104,4,"TAPPING OF RAFIA WINE",1317,1,700,2,,2,,2,,
4,16,1608,2,1104,5,"CUTTING DOWN OF PALM FRUI",1316,1,800,2,,2,,2,,
4,16,1609,2,738,1,"PALM OIL PROCESSING",1403,1,800,1,700,2,,1,600,600
4,16,1609,2,738,2,"CASSAVA [FUFU] PROCESSING",1402,2,,1,600,2,,1,500,500
4,16,1609,2,738,3,"PALM FRUIT HARVESTING",1316,1,750,2,,2,,1,750,750
4,16,1609,2,738,4,"GARRI PROCESSING",1402,2,,1,600,2,,1,600,600
4,16,1609,2,738,5,"MAIZE PROCESSING [AKAMU]",1405,2,,1,500,2,,1,400,400
4,16,1610,2,1006,1,"GARRI CASSAVA PROCESSING",1402,2,,1,500,2,,1,600,600
4,16,1610,2,1006,2,"CASSAVA SEIVING PROCESSIN",1402,2,,1,400,2,,1,500,500
4,16,1610,2,1006,3,"PALM FRUIT PROCESSING",1403,1,700,1,700,2,,1,700,700
4,16,1610,2,1006,4,"PALM FRUIT CUTTING/HARVES",1316,1,500,2,,2,,1,700,650
4,16,1610,2,1006,5,"PAP /MAIZE PROCESSING",1405,2,,1,450,2,,1,500,500
4,16,1612,2,108,1,"CUTTING OF PALM FRUITS",1316,1,100,2,,2,,2,,
4,16,1612,2,108,2,"PROCESSING OF PALM FRUITS",1403,1,200,2,,2,,2,,
4,16,1612,2,108,3,"CLEARING OF LAND",1101,1,1000,1,700,1,700,2,,
4,16,1612,2,414,1,"GARRI PROCESSING",1402,2,,1,500,2,,1,700,600
4,16,1612,2,414,2,"CASSAVA SEIVING PROCESSIN",1402,2,,1,500,2,,1,600,500
4,16,1612,2,414,3,"PAP/AKAMU MAIZE PROCESSIN",1405,2,,1,700,2,,1,650,400
4,16,1612,2,414,4,"OIL PALM PROCESSING",1403,1,800,1,800,2,,1,900,500
4,16,1612,2,414,5,"PALM FRUIT HARVESTING",1316,1,400,2,,2,,1,500,400
4,16,1613,2,440,1,"CUTTING OF PALM FRUIT",1316,1,60,2,,1,60,2,,
4,16,1613,2,440,2,"BRICK LAYER",2002,1,1500,2,,2,,2,,
4,16,1613,2,440,3,"PROCESSING OF PALM FRUIT",1403,1,400,2,,1,400,2,,
4,16,1616,2,296,1,"CUTTING OF PALM FRUIT",1316,1,100,2,,1,100,1,100,
4,16,1616,2,296,2,"BUILDING OF HOUSES[BRICK]",2002,1,1500,2,,1,1500,2,,
4,16,1618,2,1060,1,"FRYING OF GARRI",1402,2,,1,500,1,300,2,,
4,16,1618,2,1060,2,"CUTTING OF PALM FRUIT",1316,1,200,2,,2,,2,,
4,16,1620,2,106,1,"PROCESSING OF PALM FRUIT",1403,1,200,2,,1,200,2,,
4,16,1620,2,106,2,"CUTTING OF PALM FRUIT",1316,1,50,2,,1,50,2,,
4,16,1620,2,106,3,"BUILDING OF HOUSE [BRICK]",2002,1,1500,2,,2,,2,,
4,16,1622,2,18,1,"PALM FRUIT CUTTING",1316,1,300,2,,2,,1,3000,1500
4,16,1622,2,18,2,"CASSAVA [FUFU] PROCESSING",1402,1,500,1,500,2,,1,1800,1500
4,16,1622,2,18,3,"GARRI PROCESSING",1402,1,500,1,500,2,,1,2500,1000
