"zone","state","lga","sector","ea","event_type","event_seq","event_cd","event_desc","sc6q2","sc6q3"
4,1,108,2,904,2,2,19,"GOOD SECURITY/PEACE",2007,100
4,1,110,2,76,1,1,5,"HUMAN EPIDEMIC DISES",2007,60
4,1,110,2,76,1,2,7,"MASSIVE JOB LAY-OFF",2009,70
4,1,110,2,76,1,3,8,"LOSS OF KEY SOC SERV",2009,100
4,1,110,2,76,1,4,10,"10YRS NON ELECTRICIT",2008,100
4,1,110,2,76,2,1,19,"PEACE/SECURITY IN CO",2007,100
4,1,111,1,1146,1,1,2,"FLOOD",2009,100
4,1,111,1,1146,1,2,8,"LOSS OF KEY SOC SERV",2009,100
4,1,111,1,1146,1,3,9,"POWER OUTAGE",2009,100
4,1,111,1,1146,1,4,10,"INSECURITY OF LIVES.",2010,100
4,1,111,1,1146,2,1,13,"NEW HEALTH FACILITY",2008,50
4,1,111,1,1146,2,2,16,"IMPROVED TRANSP SERV",2010,100
4,1,115,1,670,1,1,2,"FLOOD",2010,70
4,1,115,1,670,1,2,6,"SLIT CHSNGES IN PRIC",2008,100
4,1,115,1,670,1,3,9,"POWER OUTAGE",2010,100
4,1,115,1,670,1,4,10,"BAD ROADS",2009,100
4,1,115,1,670,2,1,16,"IMPROVED TRANS SERVI",2009,100
4,1,115,1,670,2,2,19,"GOOD SECURITY",2008,100
4,1,117,2,560,1,1,3,"CROP DIESES/PEST",2009,100
4,1,117,2,560,1,2,6,"SHARP CHANGES IN PRI",2010,100
4,1,117,2,560,1,3,7,"MASSIVE JOB LAY-OFF",2010,70
4,1,117,2,560,1,4,9,"POWER OUTAGE",2009,100
4,1,117,2,560,2,1,16,"IMPROVED TRANS SERVU",2010,100
2,2,201,2,60,1,1,2,,2007,40
2,2,201,2,60,1,2,9,,2010,1
2,2,201,2,60,1,3,9,,2011,1
2,2,201,2,60,2,1,13,,2010,100
2,2,201,2,60,2,2,15,,2007,100
2,2,203,2,1224,1,1,2,"flood",2010,33
2,2,203,2,1224,1,2,4,"livestock disese",2008,100
2,2,203,2,1224,1,3,10,"fire inccident",2008,33
2,2,203,2,1224,2,1,13,"new health facility",2007,100
2,2,205,2,712,1,1,3,"CROP DISEASE/PEST",2009,75
2,2,205,2,712,1,2,6,"SHARP CHANGE IN PRIC",2009,75
2,2,205,2,712,1,3,7,"MASSIVE JOB LAY OFF",2005,45
2,2,205,2,712,1,4,9,"POWER OUTAGES",1980,100
2,2,205,2,712,2,1,14,"NEW ROAD",2010,100
2,2,205,2,712,2,2,16,"RENOVATION OF SCHOOL",2010,75
2,2,207,2,1302,1,1,2,"FLOOD",2009,100
2,2,207,2,1302,2,1,15,"NEW SCHOOL",2008,100
2,2,209,2,1040,1,1,3,,2009,80
2,2,209,2,1040,1,2,4,,2010,100
2,2,209,2,1040,2,1,11,,2008,100
2,2,209,2,1040,2,2,13,,2007,100
2,2,209,2,1040,2,3,15,,2008,100
2,2,210,2,1300,1,1,6,,,100
2,2,210,2,1300,1,2,10,,,60
2,2,210,2,1300,2,1,14,,2011,100
2,2,210,2,1300,2,2,15,,2010,100
2,2,212,2,956,1,1,1,"DROUGHT",2007,100
2,2,212,2,956,1,2,3,"CROP DISEASE&PEST",2009,100
2,2,212,2,956,1,3,4,"DEAD OF LIVESTOCK",2009,100
2,2,212,2,956,1,4,6,"SHARP CHANGE IN PRIC",2010,100
2,2,212,2,956,2,1,19,"NONE",,
2,2,214,2,898,1,1,6,"SHARP CHANG IN PRICE",2008,100
2,2,214,2,898,2,1,11,"DEVELOPMENT PROJECT",2009,100
2,2,214,2,898,2,2,15,"NEW SCHOOL",2009,100
2,2,215,1,8,1,1,6,,2010,100
2,2,215,1,8,1,2,9,,2010,100
2,2,215,1,8,1,3,10,,2010,100
2,2,215,1,8,2,1,11,,2009,100
2,2,215,1,8,2,2,15,,2010,100
2,2,215,1,8,2,3,16,,2009,100
2,2,216,2,200,1,1,2,"FLOOD",2007,100
2,2,218,2,1592,1,1,2,,2010,20
2,2,218,2,1592,1,2,10,,2010,30
2,2,221,2,18,2,1,14,"NEW ROAD",2010,
2,2,221,2,18,2,2,15,"NEW SCHOOL",2010,
5,3,301,1,1198,1,1,6,"KINNAPPING (10)",0,0
5,3,301,1,1198,1,2,7,"ROBBERY (10)",0,0
5,3,305,2,4,1,1,1,,0,0
5,3,305,2,4,1,2,2,,0,0
5,3,305,2,4,1,3,3,,0,0
5,3,305,2,4,1,4,4,,0,0
5,3,305,2,4,1,5,5,,2010,10
5,3,305,2,1542,1,1,1,"LIVE STOOCK DISEASE4",2006,18
5,3,305,2,1542,1,2,2,,0,0
5,3,305,2,1542,1,3,3,,0,0
5,3,305,2,1542,1,4,4,,0,0
5,3,305,2,1542,1,5,5,,2009,65
5,3,305,2,1542,1,6,6,,2010,70
5,3,307,1,634,1,1,1,,,
5,3,309,2,478,1,1,1,,2007,80
5,3,309,2,478,1,2,2,,2007,80
5,3,316,2,874,1,1,1,,2010,50
5,3,316,2,874,1,2,2,,2009,100
5,3,316,2,874,1,3,6,,2010,100
5,3,318,2,1136,1,1,1,,0,0
5,3,318,2,1136,1,2,2,,0,0
5,3,318,2,1136,1,3,3,,0,0
5,3,318,2,1136,1,4,4,,0,0
5,3,318,2,1136,1,5,5,,2009,100
5,3,318,2,1136,1,6,6,,2009,100
5,3,321,2,364,1,1,6,,2007,90
5,3,321,2,364,1,2,7,,2007,90
5,3,323,2,580,1,1,1,,2008,0
5,3,323,2,580,1,2,2,,2008,0
5,3,323,2,580,1,3,3,,,
5,3,323,2,580,1,4,4,,,
5,3,323,2,580,1,5,5,,2007,0
5,3,323,2,580,1,6,6,,,
5,3,323,2,580,1,7,7,,,
5,3,329,2,696,1,1,6,,2007,80
5,3,331,1,2322,1,1,1,,2011,100
5,3,331,1,2322,1,2,6,,2010,100
4,4,401,1,738,2,1,14,"NEW ROAD",2010,15
4,4,401,1,1460,1,1,10,"UNEMPLOYMENT",2010,60
4,4,401,1,1460,2,1,16,"IMPROVED TRANSPOTATI",2010,70
4,4,401,2,2106,1,1,9,"POWER OUTAGE",2010,65
4,4,402,2,1080,1,1,2,,2010,95
4,4,402,2,1080,1,2,6,,2010,100
4,4,402,2,1080,1,3,9,,2009,100
4,4,402,2,1080,1,4,9,,2010,75
4,4,402,2,1080,2,1,13,,2009,100
4,4,403,2,836,1,1,2,,2010,75
4,4,403,2,836,1,2,3,,2011,30
4,4,403,2,836,1,3,5,,2011,20
4,4,403,2,836,1,4,6,,2010,15
4,4,403,2,836,2,1,14,,2011,100
4,4,403,2,836,2,2,15,,2010,100
4,4,403,2,836,2,3,16,,2009,100
4,4,405,2,484,1,1,3,"CROP DESEASE/PEST",2010,70
4,4,405,2,722,1,1,3,"CROP DISEASE/PESTS",2010,60
4,4,405,2,722,2,1,11,"DEVELOPMENT PROJECTS",2010,50
4,4,407,2,796,1,1,3,"CROP DISEASE",2010,80
4,4,410,1,3192,1,1,3,"CROP DISEASE/PESTS",2010,60
4,4,410,1,3414,1,1,3,"CROP DISEASE/PESTS",2010,50
4,4,410,1,3414,2,1,11,"DEVELOPMENT PROJECT",2010,20
4,4,410,2,4036,1,1,2,,2009,45
4,4,410,2,4036,1,2,3,,2010,40
4,4,410,2,4036,1,3,7,,2010,20
4,4,410,2,4036,1,4,8,,2010,47
4,4,410,2,4036,2,1,14,,2010,100
4,4,411,1,1486,1,1,6,,2010,75
4,4,411,1,1486,1,2,7,,2011,10
4,4,411,1,1486,2,1,11,,2009,90
4,4,412,2,1606,1,1,4,,2008,65
4,4,412,2,1606,1,2,7,,2010,75
4,4,412,2,1606,2,1,11,,2010,25
4,4,412,2,1606,2,2,12,,2011,100
4,4,412,2,2592,1,1,2,,2010,100
4,4,412,2,2592,1,2,3,,2007,65
4,4,412,2,2592,1,3,6,,2010,95
4,4,412,2,2592,1,4,8,,2009,75
4,4,412,2,2592,2,1,14,,2010,95
4,4,412,2,2592,2,2,15,,2010,80
4,4,412,2,2592,2,3,16,,2009,75
4,4,413,2,1540,1,1,3,"CROP DISEASE/PEST",2010,70
4,4,414,1,2176,1,1,8,,2007,100
4,4,414,1,2176,1,2,9,,2007,80
4,4,414,1,2176,1,3,9,,2008,80
4,4,414,1,2176,1,4,10,,2010,70
4,4,414,1,2176,2,1,14,,2010,
4,4,414,1,2176,2,2,15,,2010,
4,4,414,1,2176,2,3,16,,2009,
4,4,415,1,2108,1,1,6,,2009,90
4,4,415,1,2108,1,2,9,,2010,100
4,4,415,1,2108,2,1,11,,2009,100
4,4,415,1,2108,2,2,14,,2010,90
4,4,415,1,2108,2,3,15,,2010,100
4,4,416,1,616,1,1,6,,2009,45
4,4,416,1,616,1,2,8,,2009,50
4,4,416,1,616,1,3,9,,2010,50
4,4,416,1,616,2,1,11,,2010,85
4,4,416,1,616,2,2,14,,2010,95
4,4,416,1,616,2,3,15,,2010,90
4,4,417,1,678,1,1,6,,2009,100
4,4,417,1,678,1,2,8,,2010,95
4,4,417,1,678,1,3,9,,2010,100
4,4,417,1,678,2,1,13,,2011,100
4,4,417,1,678,2,2,14,,2011,100
4,4,417,1,678,2,3,15,,2011,100
4,4,417,1,678,2,4,16,,2011,100
4,4,418,1,44,1,1,6,,2008,100
4,4,418,1,44,1,2,7,,2006,45
4,4,418,1,44,1,3,8,,2006,100
4,4,418,1,44,1,4,9,,2006,100
4,4,418,1,44,2,1,11,,2008,25
4,4,418,1,44,2,2,14,,2009,40
4,4,418,1,44,2,3,15,,2009,35
4,4,418,1,44,,1,,,2010,10
4,4,419,2,296,1,1,3,"CROP DISEASE/PESTS",2010,80
4,4,419,2,296,2,1,19,"NONE",,
4,4,421,1,800,1,1,3,"CROP DISEASE/PESTS",2010,50
4,4,421,1,800,2,1,11,"DEVELOMENT PROJECT",2010,80
2,5,501,2,60,1,1,1,"DROUGHT",2008,70
2,5,501,2,60,1,2,9,"PAWER OUTAGE",2007,57
2,5,501,2,60,1,3,10,"ROBBERY",2007,25
2,5,501,2,60,2,1,12,"GAIN EMPLOYMENT",2009,13
2,5,501,2,60,2,2,13,"HEALTH FACILITY",2009,30
2,5,501,2,60,2,3,16,"IMPOV TRANSIT SERVIC",2008,40
2,5,502,1,2194,1,1,5,"CHOLERA OUTBREAK",2010,20
2,5,502,1,2194,1,2,8,"PIPEWATER SEIZE",2009,10
2,5,502,1,2194,1,3,9,"POWER SHORTAGE",2008,20
2,5,502,1,2194,2,1,11,"OVERHEAD TAP DEPT",2010,50
2,5,502,1,2194,2,2,13,"ADDTN HEALRH FACILTY",2009,30
2,5,502,1,2194,2,3,14,"DRAINAGE WITH TILES",2010,30
2,5,502,1,2194,2,4,15,"CIASSROOM CONSTRUCTN",2010,50
2,5,502,2,3878,1,1,1,"DROUGHT",2008,60
2,5,502,2,3878,1,2,6,"CHANGE IN PRICE",2008,60
2,5,502,2,3878,2,1,16,"MOTORCYCLE INCREASE",2009,20
2,5,504,2,708,1,1,1,"DROUGHT",2010,40
2,5,504,2,708,1,2,3,"CROP DISEASE",2010,40
2,5,504,2,708,1,3,4,"LIVESTOCK DISEASE",2010,30
2,5,506,2,830,1,1,1,"DROUGHT",2006,30
2,5,506,2,830,1,2,2,"FLOOD",2006,40
2,5,506,2,830,1,3,3,"CROPS DISEASES/PESTS",2007,50
2,5,506,2,830,1,4,5,"HUMAN DISEASES",2008,5
2,5,506,2,830,2,1,13,"HEALTH CENTER",2008,30
2,5,506,2,830,2,2,16,"ROAD MAINTENANCE",2009,50
2,5,508,2,718,1,1,1,"DROUGHT",2008,40
2,5,508,2,718,1,2,6,"INCREASE IN PRICES",2008,40
2,5,508,2,718,1,3,9,"TOTAL BLACKOUT",2006,15
2,5,508,2,718,1,4,10,"FUEL SCACITY",2008,25
2,5,508,2,718,2,1,12,"JOB FOR YOUTH",2009,10
2,5,508,2,718,2,2,13,"BUID HEALTH CENTER",2010,60
2,5,508,2,718,2,3,15,"IMPROVE SCH FACILTY",2008,45
2,5,508,2,718,2,4,16,"IMPROVE ROAD TRANSIT",2009,60
2,5,508,2,984,1,1,2,"FIOOD",2006,40
2,5,508,2,984,1,2,4,"LIVESTOCK DISEASE",2009,40
2,5,508,2,984,1,3,6,"RAISE IN FOOD PRICE",2008,60
2,5,508,2,984,1,4,8,"DAAMGE HAND PUMP",2009,45
2,5,508,2,984,2,1,14,"ROAD CONSTRUCTION",2010,35
2,5,510,1,872,1,1,1,"DROUGHT",2010,60
2,5,510,1,872,1,2,4,"LIVESTOCK DEASE",2010,20
2,5,510,1,872,1,3,5,"HUMAN EPIDEMIC DISEA",2010,80
2,5,510,1,872,2,1,12,"NEW EMPOYMENT OPPORT",2010,40
2,5,510,2,1516,1,1,2,"FLOOD",,
2,5,510,2,1516,1,2,3,"CROP DISEASE/PESTS",,
2,5,510,2,1516,1,3,4,"LIVESTOCK DISEASE",,
2,5,510,2,1516,1,4,5,"HUMAN EPIDEMIC DISEA",,
2,5,513,2,348,1,1,4,"L/STOCK DIS[LUNG DIS",2009,35
2,5,513,2,348,1,2,4,"FLOOD",2009,40
2,5,513,2,348,1,3,5,"HUMAN EPIC[CHOLERA]",2008,20
2,5,513,2,348,1,4,10,"BOUNDRY CONFLICT",2008,8
2,5,513,2,348,2,1,11,"WELL WATER",2007,80
2,5,513,2,348,2,2,13,"CHILD IMM/MOSQUE NET",2009,50
2,5,513,2,348,2,3,19,"LOUDSPEAKERTO MOSQUE",2006,50
2,5,514,2,710,1,1,2,"FLOOD",2008,
2,5,514,2,710,1,2,4,"CROP DISEASE",2009,
2,5,514,2,710,2,1,13,"NEW HEALTH FACILITY",2010,
2,5,514,1,2036,1,1,1,"DROUGHT",2009,10
2,5,514,1,2036,1,2,4,"LIVESTOCK DISEASE",2008,
2,5,514,1,2036,2,1,11,"DEVELOPMENT PROJECT",2009,
2,5,515,2,18,1,1,1,"DRAUGHT",2009,20
2,5,515,2,18,1,2,2,"FLOOD",2010,40
2,5,515,2,18,1,3,3,"CROP DISEASE",2008,50
2,5,516,2,942,1,1,1,"DROUGHT",2008,60
2,5,516,2,942,1,2,3,"CROP DISEASE/PESTS",2010,60
2,5,516,2,942,1,3,5,"HUMAN EPIDEMIC DISEA",2010,40
2,5,518,2,1304,1,1,1,"DROUGHT",2008,50
2,5,518,2,1304,1,2,4,"LIVESTOCK DISEASE",2010,50
2,5,518,2,1304,1,3,8,"BREADOWN BOREHOLE",2010,30
2,5,518,2,1304,2,1,16,"ROAD CONSTRUCTION",2010,70
2,5,518,2,1588,1,1,1,"DROUGHT",2008,30
2,5,518,2,1588,1,2,6,"RISE FOOD PRICE ITEM",2008,30
2,5,520,2,1756,1,1,3,"CROP DISEASES/PESTS",2009,20
2,5,520,2,1756,1,2,4,"LIVESTOCK DISEASE",2008,40
5,6,601,2,640,1,1,6,"PRICE INCREASE",2010,100
5,6,601,2,640,1,2,7,"JOB LAY-OFF",2009,80
5,6,601,2,640,1,3,9,"POWER OUTRAGE",2009,10
5,6,601,2,640,1,4,10,"MILITANT ACTIVITIES",2010,100
5,6,601,2,640,2,1,12,"EMPLOYMENT OPPORTUNI",2010,45
5,6,601,2,640,2,2,15,"CASUAL LABOUR",2010,40
5,6,601,2,640,2,3,16,"MARINE TRANPORT",1995,80
5,6,601,2,640,2,4,17,"CONSTANT ELECTRICITY",1989,100
5,6,602,2,1356,1,1,2,,2010,80
5,6,602,2,1356,1,2,6,,2009,70
5,6,602,2,1356,1,3,9,,2009,45
5,6,602,2,1356,1,4,10,,2010,100
5,6,602,2,1356,2,1,11,,2010,65
5,6,602,2,1356,2,2,16,,2010,75
5,6,602,2,1356,2,3,17,,2009,60
5,6,602,2,1356,2,4,19,,2011,45
5,6,605,2,162,1,1,2,,2010,80
5,6,605,2,162,1,2,3,,2009,75
5,6,605,2,162,1,3,6,,2007,70
5,6,605,2,162,1,4,9,,2010,75
5,6,605,2,162,2,1,11,,2007,45
5,6,605,2,162,2,2,13,,2006,60
5,6,605,2,162,2,3,14,,2007,50
5,6,605,2,162,2,4,16,,1996,70
5,6,606,2,1372,1,1,2,,2010,80
5,6,606,2,1372,1,2,3,,2010,45
5,6,606,2,1372,1,3,6,,2009,75
5,6,606,2,1372,1,4,10,,2007,100
5,6,606,2,1372,2,1,11,,2010,50
5,6,606,2,1372,2,2,13,,2009,60
5,6,606,2,1372,2,3,15,,2009,50
5,6,606,2,1372,2,4,16,,2009,45
5,6,607,2,1892,1,1,2,,2010,80
5,6,607,2,1892,1,2,6,,2010,100
5,6,607,2,1892,1,3,9,,2009,40
5,6,607,2,1892,1,4,10,,2009,85
5,6,607,2,1892,2,1,12,,2010,35
5,6,607,2,1892,2,2,13,,2005,70
5,6,607,2,1892,2,3,16,,2007,75
5,6,607,2,1892,2,4,18,,2011,50
5,6,608,2,748,1,1,2,"EXCESSIVE FLOOD",2010,50
5,6,608,2,748,1,2,6,"HIGH PRICE",2010,75
5,6,608,2,748,1,3,9,"EPELEPTIC POWER",2009,40
5,6,608,2,748,1,4,10,"MASSIVE UNEMPLOYMENT",2010,100
5,6,608,2,748,2,1,13,"IMPPROVE HEALTH CENR",2009,100
5,6,608,2,748,2,2,14,"CONSTRUCTION (ROAD)",2010,50
5,6,608,2,748,2,3,16,"IMPROVE TRANSPORT",2009,100
5,6,608,2,748,2,4,17,"ON-GRID ELECTRICITY",2010,75
1,7,701,2,606,1,1,2,"FLOOD",2009,80
1,7,701,2,606,1,2,6,"SHARP IN PRICES",2009,90
1,7,701,2,606,2,1,16,"IMPROVRD TRANS SERVI",2010,100
1,7,702,2,632,1,1,2,"FLOOD",2010,40
1,7,702,2,632,2,1,15,"NEW SCHOOL",2010,80
1,7,707,2,560,1,1,4,"LIVESTOCK DISEASE",2011,60
1,7,707,2,560,1,2,6,"CHANGE IN PRICES OF",2010,80
1,7,707,2,560,2,1,15,"NEW SCHOOL BUIDING",2010,90
1,7,709,2,1226,2,1,15,"NEW SCHOOL BUILDING",2010,80
1,7,710,2,2726,1,1,4,"LIVESTOCK DISEASE",2010,90
1,7,710,2,2726,2,1,15,"NEW SCHOOL BUILDING",2010,95
1,7,713,2,304,1,1,6,"HIGH RICES",2009,60
1,7,713,2,304,2,1,19,"GOOD SECURITY NETWOR",2010,100
1,7,715,1,294,2,1,19,"COMMUNICATION MEANS",2008,80
1,7,715,2,780,1,1,6,"INCREASE IN COST OF",2009,50
1,7,715,2,780,2,1,17,"RURAL ELECTRIFICATIO",2008,90
1,7,717,2,1248,1,1,1,"LACK OF RAIN-DROUUTH",2010,100
1,7,718,2,1640,1,1,2,"FLOOD",2008,70
1,7,718,2,1640,2,1,13,"NEW HEALTH FACILITIE",2002,60
1,7,719,1,1612,1,1,6,,2009,60
1,7,719,1,1612,1,2,9,,2010,100
1,7,719,1,1612,2,1,14,"NEW TOWNSHIP ROAD",2010,100
1,7,719,1,1612,2,2,19,"SECURITY SERVICES",2010,100
1,7,722,2,234,2,1,15,"UBE SCHOOL",2008,95
2,8,802,2,1152,1,1,2,,2010,60
2,8,802,2,1152,2,1,13,,2009,100
2,8,802,2,1152,2,2,15,,2006,100
2,8,803,1,944,1,1,10,,2008,40
2,8,803,1,944,2,1,14,,2008,90
2,8,805,2,46,2,1,14,,2009,90
2,8,807,2,946,1,1,8,,2010,80
2,8,807,2,1438,1,1,2,,2006,96
2,8,807,2,1438,2,1,15,,2006,60
2,8,807,2,2396,1,1,5,,2010,8
2,8,807,2,2396,1,2,6,,2010,100
2,8,811,2,390,1,1,10,"RELIGIOU SET CRISES",2009,50
2,8,811,1,1558,1,1,3,"CROP DISEASE PASTS",2009,80
2,8,811,1,1558,1,2,5,"HUMAN EPIDEMIC",2008,40
2,8,811,1,1558,2,1,13,"NEW HEALTH FANTA",2010,100
2,8,811,1,1558,2,2,14,"NEW ROAD",2006,100
2,8,811,1,1558,2,3,15,"NEW SCHOOL",2010,100
2,8,812,2,866,1,1,3,"CROP PESTS",2009,50
2,8,813,2,2094,2,1,13,,2008,95
2,8,813,2,2094,2,2,14,,2006,99
2,8,815,2,362,2,1,14,,2010,90
2,8,816,2,1270,1,1,1,,2008,60
2,8,816,2,1270,2,1,15,,2010,100
2,8,817,1,2476,1,1,2,,2009,30
2,8,821,1,1448,1,1,10,,2010,50
2,8,821,1,5062,2,1,13,"HEALTH CLINIC",2008,70
2,8,821,1,5062,2,2,19,"INCREASES CRININAL",,
2,8,821,1,5062,2,3,19,"BORE CLINIC (WATER)",2008,80
2,8,821,1,5062,,1,,"ACTIVITIES",2009,40
2,8,823,2,548,2,1,19,,2007,98
2,8,824,2,768,2,1,14,"NEW ROAD",2011,96
2,8,826,2,926,1,1,2,"FLOOD",2010,70
2,8,826,2,926,1,2,3,"LIVESTOCK DISEASES",2010,80
2,8,826,2,926,2,1,15,"NEW SCHOOL (PRIMARY)",2009,98
2,8,827,2,804,1,1,2,,2010,90
2,8,827,2,804,1,2,4,,2009,100
2,8,827,2,804,2,1,15,,2006,80
5,9,901,2,398,1,1,6,"SHARP CHANGES IN PRI",2009,450
5,9,901,2,398,1,2,9,"POWER OUTAGE",2010,100
5,9,901,2,398,2,1,11,"DEVELOPMENT PROJECT",2010,95
5,9,901,2,398,2,2,14,"NEW ROAD",2010,100
5,9,903,2,48,1,1,9,"POWER OUTAGE",2010,100
5,9,903,2,48,2,1,14,"NEW ROAD",2010,100
5,9,903,2,48,2,2,15,"NEW SCHOOL",2009,100
5,9,903,2,48,2,3,16,"IMPROVED TRANSPORT",2010,100
5,9,905,2,978,1,1,6,"SHARP CHANGE IN PRIC",2008,45
5,9,905,2,978,2,1,16,"IMPROVED TRANSPORTA",2010,70
5,9,907,2,1446,1,1,3,"CROP DISEASE/PEST",2010,100
5,9,907,2,1446,1,2,4,"LIVESTOCK DISEASE",2011,100
5,9,907,2,1446,2,1,11,"DEVELOPMENT PROJECT",2010,100
5,9,907,2,1446,2,2,13,"NEW HEALTH FACILITIE",2009,100
5,9,907,2,1446,2,3,15,"NEW SCHOOL",2009,100
5,9,908,1,278,1,1,6,"CHARP CHANGE IN PRIC",2008,100
5,9,908,1,278,1,2,7,"MASSIVE JOB LAY OFF",2007,30
5,9,908,1,278,2,1,11,"DEVELOPMENT PROJECT",2010,100
5,9,908,1,278,2,2,17,"ON GRID ELECTRICITY",2009,100
5,9,910,2,200,1,1,2,"FLOOD",2010,10
5,9,910,2,200,2,1,14,"NEW ROAD",2010,100
5,9,910,2,200,2,2,15,"NEW SCHOOL",2011,100
5,9,910,2,200,2,3,17,"ELECTRICITY",2010,100
5,9,912,2,102,2,1,16,"IMPROVED TRANSPORTA",2010,100
5,9,913,2,2266,1,1,3,"CROP DISEASE/PESTS",2010,100
5,9,913,2,2266,1,2,5,"HUMAN EPIDEMIC DISEA",2010,25
5,9,913,2,2266,2,1,16,"IMPROVED TRANSPORTA",2009,30
5,9,914,2,1746,2,1,16,"IMPROVED TRANSPORTA",2010,100
5,9,915,1,1390,1,1,6,"SHARP CHANGE IN PRIC",2006,100
5,9,915,1,1390,2,1,11,"DEVELOPMENT PROJECT",2010,100
5,9,916,2,1068,1,1,10,"WIND STORM",2010,50
5,9,916,2,1068,2,1,13,"NEW HEALTH FACILITIE",2006,45
5,9,916,2,1068,2,2,14,"NEW ROAD",2009,100
5,9,916,2,1068,2,3,15,"ADDITION SCH (PRY)",2008,75
5,9,917,1,1254,1,1,2,"FLOOD",2005,20
5,9,917,1,1254,1,2,5,"POWER OUTAGE",2008,100
5,9,917,1,1254,2,1,14,"NEW ROADS",2010,25
5,9,917,1,1254,2,2,16,"IMPROVED TRANSPORTA",2009,75
5,9,918,2,834,1,1,4,"LIVESTOCK DISEASE",2010,100
5,9,918,2,834,2,1,13,"NEW HEALTH FACILITIE",2009,45
5,10,1001,2,172,2,1,19,"PRIVATE BORE HOLES",2007,100
5,10,1001,2,172,2,2,19,"RECONST/GRND OF RDS",2007,100
5,10,1005,1,662,1,1,7,"MASSIVE JOB CAY-OFF",2008,
5,10,1005,1,662,1,2,8,"LOSS OF KEY SOCIAL",2007,
5,10,1005,1,662,2,1,16,"IMPROVED TRANSPORTAT",2006,
5,10,1005,2,1374,1,1,1,"NONE",0,0
5,10,1005,2,1374,1,2,2,"NONE",0,0
5,10,1005,2,1374,1,3,3,"NONE",0,0
5,10,1005,2,1374,1,4,4,"NONE",0,0
5,10,1005,2,1374,1,5,5,"NONE",0,0
5,10,1005,2,1374,1,6,6,"NONE",0,0
5,10,1005,2,1374,1,7,7,"NONE",0,0
5,10,1005,2,1374,1,8,8,"NONE",0,0
5,10,1007,1,1166,2,1,19,"PEACE",2008,100
5,10,1007,1,1166,2,2,19,"ELECTR.SUPPLY REHABT",2009,100
5,10,1008,2,1314,2,1,19,"PROV.OF BOREHOLE WAT",2007,100
5,10,1008,2,1718,2,1,19,"PROV.OF BOLEH.WAT SU",2010,100
