"zone","state","lga","sector","ea","hhid","item_cd","item_desc","s10cq10","s10cq11"
2,2,218,2,1592,20116,1,"A. Children 0-5 years",0,0
2,2,218,2,1592,20116,2,"B. Children 6-15 years",0,0
2,2,218,2,1592,20116,3,"C. Adults 16-65 years",7,1
2,2,218,2,1592,20116,4,"D. People over 65 years o",0,0
2,2,218,2,1592,20118,1,"A. Children 0-5 years",0,0
2,2,218,2,1592,20118,2,"B. Children 6-15 years",0,0
2,2,218,2,1592,20118,3,"C. Adults 16-65 years",7,1
2,2,218,2,1592,20118,4,"D. People over 65 years o",0,0
2,2,218,2,1592,20119,1,"A. Children 0-5 years",0,0
2,2,218,2,1592,20119,2,"B. Children 6-15 years",7,3
2,2,218,2,1592,20119,3,"C. Adults 16-65 years",7,3
2,2,218,2,1592,20119,4,"D. People over 65 years o",0,0
5,3,331,1,2322,30003,1,"A. Children 0-5 years",2,3
5,3,331,1,2322,30003,2,"B. Children 6-15 years",2,1
5,3,331,1,2322,30003,3,"C. Adults 16-65 years",0,0
5,3,331,1,2322,30003,4,"D. People over 65 years o",3,4
5,3,331,1,2322,30008,1,"A. Children 0-5 years",0,0
5,3,331,1,2322,30008,2,"B. Children 6-15 years",0,0
5,3,331,1,2322,30008,3,"C. Adults 16-65 years",2,2
5,3,331,1,2322,30008,4,"D. People over 65 years o",0,0
5,3,331,1,516,30016,1,"A. Children 0-5 years",0,0
5,3,331,1,516,30016,2,"B. Children 6-15 years",0,0
5,3,331,1,516,30016,3,"C. Adults 16-65 years",1,1
5,3,331,1,516,30016,4,"D. People over 65 years o",0,0
5,3,316,2,874,30025,1,"A. Children 0-5 years",0,0
5,3,316,2,874,30025,2,"B. Children 6-15 years",0,0
5,3,316,2,874,30025,3,"C. Adults 16-65 years",2,3
5,3,316,2,874,30025,4,"D. People over 65 years o",0,0
5,3,316,2,874,30028,1,"A. Children 0-5 years",0,0
5,3,316,2,874,30028,2,"B. Children 6-15 years",3,6
5,3,316,2,874,30028,3,"C. Adults 16-65 years",0,0
5,3,316,2,874,30028,4,"D. People over 65 years o",0,0
5,3,316,2,0,30029,1,"A. Children 0-5 years",0,0
5,3,316,2,0,30029,2,"B. Children 6-15 years",0,0
5,3,316,2,0,30029,3,"C. Adults 16-65 years",1,1
5,3,316,2,0,30029,4,"D. People over 65 years o",0,0
5,3,316,2,874,30030,1,"A. Children 0-5 years",0,0
5,3,316,2,874,30030,2,"B. Children 6-15 years",3,9
5,3,316,2,874,30030,3,"C. Adults 16-65 years",0,0
5,3,316,2,874,30030,4,"D. People over 65 years o",0,0
5,3,309,2,478,30033,1,"A. Children 0-5 years",0,0
5,3,309,2,478,30033,2,"B. Children 6-15 years",2,2
5,3,309,2,478,30033,3,"C. Adults 16-65 years",0,0
5,3,309,2,478,30033,4,"D. People over 65 years o",0,0
5,3,309,2,478,30037,1,"A. Children 0-5 years",0,0
5,3,309,2,478,30037,2,"B. Children 6-15 years",0,0
5,3,309,2,478,30037,3,"C. Adults 16-65 years",2,2
5,3,309,2,478,30037,4,"D. People over 65 years o",0,0
5,3,309,2,478,30039,1,"A. Children 0-5 years",0,0
5,3,309,2,478,30039,2,"B. Children 6-15 years",0,0
5,3,309,2,478,30039,3,"C. Adults 16-65 years",7,7
5,3,309,2,478,30039,4,"D. People over 65 years o",0,0
5,3,309,2,478,30040,1,"A. Children 0-5 years",0,0
5,3,309,2,478,30040,2,"B. Children 6-15 years",3,4
5,3,309,2,478,30040,3,"C. Adults 16-65 years",0,0
5,3,309,2,478,30040,4,"D. People over 65 years o",0,0
5,3,321,2,364,30051,1,"A. Children 0-5 years",0,0
5,3,321,2,364,30051,2,"B. Children 6-15 years",1,2
5,3,321,2,364,30051,3,"C. Adults 16-65 years",1,1
5,3,321,2,364,30051,4,"D. People over 65 years o",0,0
5,3,321,2,364,30052,1,"A. Children 0-5 years",0,0
5,3,321,2,364,30052,2,"B. Children 6-15 years",0,0
5,3,321,2,364,30052,3,"C. Adults 16-65 years",2,2
5,3,321,2,364,30052,4,"D. People over 65 years o",0,0
5,3,321,2,364,30053,1,"A. Children 0-5 years",0,0
5,3,321,2,364,30053,2,"B. Children 6-15 years",2,2
5,3,321,2,364,30053,3,"C. Adults 16-65 years",2,1
5,3,321,2,364,30053,4,"D. People over 65 years o",0,0
5,3,321,2,364,30058,1,"A. Children 0-5 years",0,0
5,3,321,2,364,30058,2,"B. Children 6-15 years",3,3
5,3,321,2,364,30058,3,"C. Adults 16-65 years",0,0
5,3,321,2,364,30058,4,"D. People over 65 years o",0,0
5,3,321,2,364,30060,1,"A. Children 0-5 years",0,0
5,3,321,2,364,30060,2,"B. Children 6-15 years",0,0
5,3,321,2,364,30060,3,"C. Adults 16-65 years",6,6
5,3,321,2,364,30060,4,"D. People over 65 years o",0,0
5,3,329,2,696,30065,1,"A. Children 0-5 years",0,0
5,3,329,2,696,30065,2,"B. Children 6-15 years",3,3
5,3,329,2,696,30065,3,"C. Adults 16-65 years",0,0
5,3,329,2,696,30065,4,"D. People over 65 years o",0,0
5,3,329,2,696,30066,1,"A. Children 0-5 years",0,0
5,3,329,2,696,30066,2,"B. Children 6-15 years",4,4
5,3,329,2,696,30066,3,"C. Adults 16-65 years",4,4
5,3,329,2,696,30066,4,"D. People over 65 years o",6,6
5,3,329,2,696,30069,1,"A. Children 0-5 years",0,0
5,3,329,2,696,30069,2,"B. Children 6-15 years",2,1
5,3,329,2,696,30069,3,"C. Adults 16-65 years",1,1
5,3,329,2,696,30069,4,"D. People over 65 years o",0,0
5,3,329,2,696,30070,1,"A. Children 0-5 years",0,0
5,3,329,2,696,30070,2,"B. Children 6-15 years",0,0
5,3,329,2,696,30070,3,"C. Adults 16-65 years",4,4
5,3,329,2,696,30070,4,"D. People over 65 years o",0,0
5,3,323,2,580,30074,1,"A. Children 0-5 years",0,0
5,3,323,2,580,30074,2,"B. Children 6-15 years",0,0
5,3,323,2,580,30074,3,"C. Adults 16-65 years",7,21
5,3,323,2,580,30074,4,"D. People over 65 years o",0,0
5,3,318,2,1136,30085,1,"A. Children 0-5 years",0,0
5,3,318,2,1136,30085,2,"B. Children 6-15 years",1,2
5,3,318,2,1136,30085,3,"C. Adults 16-65 years",0,0
5,3,318,2,1136,30085,4,"D. People over 65 years o",1,2
5,3,318,2,1136,30087,1,"A. Children 0-5 years",0,0
5,3,318,2,1136,30087,2,"B. Children 6-15 years",2,2
5,3,318,2,1136,30087,3,"C. Adults 16-65 years",0,0
5,3,318,2,1136,30087,4,"D. People over 65 years o",0,0
5,3,318,2,0,30089,1,"A. Children 0-5 years",0,0
5,3,318,2,0,30089,2,"B. Children 6-15 years",0,0
5,3,318,2,0,30089,3,"C. Adults 16-65 years",4,4
5,3,318,2,0,30089,4,"D. People over 65 years o",0,0
5,3,318,2,1136,30090,1,"A. Children 0-5 years",2,2
5,3,318,2,1136,30090,2,"B. Children 6-15 years",2,2
5,3,318,2,1136,30090,3,"C. Adults 16-65 years",0,0
5,3,318,2,1136,30090,4,"D. People over 65 years o",0,0
5,3,313,2,70,30091,1,"A. Children 0-5 years",0,0
5,3,313,2,70,30091,2,"B. Children 6-15 years",1,1
5,3,313,2,70,30091,3,"C. Adults 16-65 years",2,2
5,3,313,2,70,30091,4,"D. People over 65 years o",0,0
5,3,331,1,0,30092,1,"A. Children 0-5 years",0,0
5,3,331,1,0,30092,2,"B. Children 6-15 years",2,1
5,3,331,1,0,30092,3,"C. Adults 16-65 years",2,3
5,3,331,1,0,30092,4,"D. People over 65 years o",1,2
5,3,313,2,70,30093,1,"A. Children 0-5 years",0,0
5,3,313,2,70,30093,2,"B. Children 6-15 years",0,0
5,3,313,2,70,30093,3,"C. Adults 16-65 years",2,2
5,3,313,2,70,30093,4,"D. People over 65 years o",0,0
5,3,301,1,1198,30105,1,"A. Children 0-5 years",0,0
5,3,301,1,1198,30105,2,"B. Children 6-15 years",2,2
5,3,301,1,1198,30105,3,"C. Adults 16-65 years",1,2
5,3,301,1,1198,30105,4,"D. People over 65 years o",0,0
5,3,326,2,74,30112,1,"A. Children 0-5 years",0,0
5,3,326,2,74,30112,2,"B. Children 6-15 years",0,0
5,3,326,2,74,30112,3,"C. Adults 16-65 years",2,2
5,3,326,2,74,30112,4,"D. People over 65 years o",0,0
5,3,326,2,74,30120,1,"A. Children 0-5 years",0,0
5,3,326,2,74,30120,2,"B. Children 6-15 years",2,2
5,3,326,2,74,30120,3,"C. Adults 16-65 years",2,2
5,3,326,2,74,30120,4,"D. People over 65 years o",0,0
