"zone","state","lga","sector","ea","community","c0q2","c0q3"
2,5,516,2,942,"BABAWURO ALI",2,"3/21/2016 12:00:00 AM"
2,5,518,2,1304,"UNGUWAN KANAWA",1,"2/23/2016 12:00:00 AM"
2,5,518,2,1588,"FUNANI",1,"2/27/2016 12:00:00 AM"
2,5,520,2,1756,"BAGAWO",2,"3/14/2016 12:00:00 AM"
5,6,601,2,640,"CHRIST CHURCH",1,"3/2/2016 12:00:00 AM"
5,6,602,2,1356,"EBITIMIWARE AKUMOYA",1,"3/17/2016 12:00:00 AM"
5,6,605,2,162,"OKMAS CONSTRUCTION",1,"3/14/2016 12:00:00 AM"
5,6,606,2,1372,"EBERE AYOKO",1,"2/22/2016 12:00:00 AM"
5,6,607,2,1892,"KWESI WOLO",1,"3/8/2016 12:00:00 AM"
5,6,608,2,748,"JACK OKELEKELE",1,"3/28/2016 12:00:00 AM"
5,6,608,1,3978,"MISHARK OFEGO",1,"3/21/2016 12:00:00 AM"
1,7,701,2,606,"LGED PRI SCHOOL",2,"3/7/2016 12:00:00 AM"
1,7,702,2,632,"ADAMU SIMON",2,"3/16/2016 12:00:00 AM"
1,7,705,2,4186,"MBAFAA",1,"3/15/2016 12:00:00 AM"
1,7,707,2,560,"TSE CHIVGWANDE",1,"2/26/2016 12:00:00 AM"
1,7,708,2,754,"SAINT ANDREW ANGLICAN CHURCH",1,"2/24/2016 12:00:00 AM"
1,7,709,2,1226,"R.C.M CHURCH ATUM",1,"3/8/2016 12:00:00 AM"
1,7,710,2,2726,"KUNBA DEADE",1,"3/8/2016 12:00:00 AM"
1,7,711,2,2532,"ZAKI IGBA BURUKU",1,"3/5/2016 12:00:00 AM"
1,7,713,2,304,"IJAHA 2",2,"2/27/2016 12:00:00 AM"
1,7,715,1,294,"OKEWU ENEMARE",2,"3/11/2016 12:00:00 AM"
1,7,715,2,780,"ALLADAY ANTHONY",2,"3/13/2016 12:00:00 AM"
1,7,717,2,1248,"METHODIST CHURCH ANDIBILLA",2,"3/4/2016 12:00:00 AM"
1,7,718,2,1640,"AGBO OGWUCHE",2,"3/9/2016 12:00:00 AM"
1,7,719,1,1612,"HON GERMAN ADABONU",2,"2/24/2016 12:00:00 AM"
1,7,722,2,234,"IORSHE AHANGBA",1,"3/2/2016 12:00:00 AM"
1,7,722,2,892,"MR UCHIN AKPENWUAN",1,"3/4/2016 12:00:00 AM"
2,8,802,2,1152,"ARDO MUSA",,
2,8,803,1,944,"BULAMA GAJI",,
2,8,805,2,46,"MAI BIU",2,"3/3/2016 12:00:00 AM"
2,8,807,2,946,"ALH MODU",,
2,8,807,2,1438,"COUNCILOR MOHAMMDU KAUJI",,
2,8,807,2,2396,"BULAMA ABANA",,
2,8,809,2,1748,"MODU ADAMU B MAIDUGU",,
2,8,811,2,390,"MUHHAMED ABUBAKAR",,
2,8,811,1,1558,"VUNGAS SALE",,
2,8,812,2,866,"BULAMA SHAIBU(SHEHU GASHAU)",2,"3/7/2016 12:00:00 AM"
2,8,813,2,2094,"MUHAMMADU KAALA",1,"2/25/2016 12:00:00 AM"
2,8,815,2,362,"""SHERIF ZANNA LAUZAMA """,1,"3/6/2016 12:00:00 AM"
2,8,816,2,1270,"BURKADA MARI",,
2,8,817,1,2476,"BALA LADIYA",,
2,8,820,2,1030,"GONI MUSARI",1,"2/27/2016 12:00:00 AM"
2,8,821,1,1448,,2,"4/4/2016 12:00:00 AM"
2,8,821,1,5062,"MALL IBRAHIM",2,"2/25/2016 12:00:00 AM"
2,8,823,2,548,"GONI MUSA",,
2,8,824,2,768,"BULAMA KORE FANNABE",1,"3/3/2016 12:00:00 AM"
2,8,826,2,926,"AJI KARTARI",,
2,8,827,2,804,"BULAMA",2,"3/9/2016 12:00:00 AM"
5,9,901,2,398,"MR RAPHEAL ENYA",1,"3/7/2016 12:00:00 AM"
5,9,903,2,48,"BROTHERHOOD OF CROSS",1,"2/27/2016 12:00:00 AM"
5,9,905,2,978,"ADIE OGBECHE",1,"3/20/2016 12:00:00 AM"
5,9,907,2,1446,"GOVT PRIMARY SCH BATERIKO",1,"3/10/2016 12:00:00 AM"
5,9,908,1,278,"NTA CALARBAR STATION",1,"2/24/2016 12:00:00 AM"
5,9,910,2,200,"BLOCK 7A/1/10",1,"3/9/2016 12:00:00 AM"
5,9,912,2,102,"CHIEF EDDY UJITAN",1,"3/17/2016 12:00:00 AM"
5,9,913,2,2266,"CHUKU ONWE",1,"3/25/2016 12:00:00 AM"
5,9,914,2,1746,"CHIEF JEREMIAH IKONSHULL",1,"3/15/2016 12:00:00 AM"
5,9,915,1,1390,"QUA IBOE CHURCH",1,"3/1/2016 12:00:00 AM"
5,9,916,2,1068,"""CHIEF JAMES EKPONG """,1,"3/21/2016 12:00:00 AM"
5,9,917,1,1254,"CHIEF LT. O.U EGEDE(RTD)",1,"3/4/2016 12:00:00 AM"
5,9,918,2,834,"ONYINA OGAMA",1,"3/22/2016 12:00:00 AM"
5,10,1001,2,172,"JOSEPH KIFODU",1,"2/29/2016 12:00:00 AM"
5,10,1005,1,662,"EJEGORO A",2,"2/24/2016 12:00:00 AM"
5,10,1005,2,1374,"CHIEF UKEH EDEKI",2,"2/27/2016 12:00:00 AM"
5,10,1007,1,1166,"CHIEF BEN OBUH",1,"3/2/2016 12:00:00 AM"
5,10,1008,2,1314,"STEPHEN OGBUZOR",1,"12/11/2015 12:00:00 AM"
5,10,1008,2,1718,"OKWUDOLO JOSEPH",1,"3/9/2016 12:00:00 AM"
5,10,1010,2,20,"EMIYE GIRLS SEC SCHOOL",2,"2/28/2016 12:00:00 AM"
5,10,1012,2,936,"CHUKUEDO OKUWA",1,"2/23/2016 12:00:00 AM"
5,10,1014,2,80,"MORDI QUEEN",1,"2/27/2016 12:00:00 AM"
5,10,1018,1,634,"MR PETER OJARIKRE",2,"3/14/2016 12:00:00 AM"
5,10,1018,2,898,"CHIEF GBEGEGBE",2,"3/3/2016 12:00:00 AM"
5,10,1020,1,38,"K.B OMASHEYE",2,"3/1/2016 12:00:00 AM"
5,10,1021,2,120,"REDEEMED CHRISTIAN CHURCH",1,"3/13/2016 12:00:00 AM"
5,10,1025,2,1774,"OLUMIDE ONADIPE",2,"3/15/2016 12:00:00 AM"
4,11,1101,2,154,"OGBAGA OKATA",1,"3/21/2016 12:00:00 AM"
4,11,1102,2,936,"INNOCENT OBIAHU",1,"3/18/2016 12:00:00 AM"
4,11,1104,2,434,"SUNDAY EGBEKU",1,"3/12/2016 12:00:00 AM"
4,11,1104,1,2028,"CHARLES IKESHE",1,"3/23/2016 12:00:00 AM"
4,11,1105,2,100,"EZEGO AKOCHI LAWRENCE",1,"3/8/2016 12:00:00 AM"
4,11,1106,2,446,"NWANKWO NWITE",1,"3/4/2016 12:00:00 AM"
4,11,1107,2,1034,"PETER ITESHI",1,"2/27/2016 12:00:00 AM"
4,11,1108,2,492,"INNOCENT ONYEKWERE",1,"3/2/2016 12:00:00 AM"
4,11,1109,2,672,"CHUKWU KETE",1,"2/25/2016 12:00:00 AM"
4,11,1110,2,714,"IZOKPO EZEAGU",1,"3/15/2016 12:00:00 AM"
4,11,1110,2,2752,"ASHIKO IDOKO",1,"3/10/2016 12:00:00 AM"
4,11,1112,2,78,"FRANCIS UTO",1,"2/23/2016 12:00:00 AM"
4,11,1112,2,1952,"OGADU OME",1,"2/29/2016 12:00:00 AM"
4,11,1113,2,954,"ELDER OKEREKE CHUKWU",1,"3/6/2016 12:00:00 AM"
5,12,1202,1,2146,"MORAT CLINIC",1,"3/4/2016 12:00:00 AM"
5,12,1202,1,2710,"MADAM AGHO",1,"2/22/2016 12:00:00 AM"
5,12,1204,2,736,"EGUARE TRADITIONAL CHURCH",1,"3/12/2016 12:00:00 AM"
5,12,1208,2,526,"JOSIAH OBAMABRE",1,"3/17/2016 12:00:00 AM"
5,12,1210,2,462,"CHIEF DR AKHIME",1,"3/16/2016 12:00:00 AM"
5,12,1211,1,2220,"CHIEF ODIGE",1,"3/2/2016 12:00:00 AM"
5,12,1211,1,2856,"REV. IMONICA EHANIRE",1,"3/5/2016 12:00:00 AM"
5,12,1212,1,1392,"NEW EAR COLLAGE",1,"3/4/2016 12:00:00 AM"
5,12,1214,2,452,"GBOKE 1",1,"3/9/2016 12:00:00 AM"
5,12,1216,2,618,"AKPASHIO",1,"3/18/2016 12:00:00 AM"
6,13,1301,1,1206,"JESUS CHAPEL",1,"3/17/2016 12:00:00 AM"
6,13,1303,1,626,"ENOCH OWOEYE",1,"3/2/2016 12:00:00 AM"
6,13,1305,2,10,"AKIN OLALERE",1,"3/8/2016 12:00:00 AM"
6,13,1305,1,1232,"ERIJIYAN COMM HIGH SCHOOL",1,"3/4/2016 12:00:00 AM"
6,13,1307,1,268,"OBA ORUN",1,"2/29/2016 12:00:00 AM"
6,13,1309,2,674,"BAALE OMOTOSO",1,"3/10/2016 12:00:00 AM"
6,13,1310,1,1300,"JAMES OLASEHINDE",1,"2/23/2016 12:00:00 AM"
6,13,1314,1,6,"ST PHILIPS AFRICAN CHURCH",1,"2/26/2017 12:00:00 AM"
4,14,1401,2,1116,"COMM PRI SCHOOL UHUEZEOKE",1,"3/8/2016 12:00:00 AM"
4,14,1403,1,34,"ANIMAL HOME",1,"3/19/2016 12:00:00 AM"
4,14,1404,1,96,"BLOCK 113/114 ZONE 3",1,"3/12/2016 12:00:00 AM"
4,14,1406,2,694,"ENUGU STATE PRI SCHOOL",1,"3/28/2016 12:00:00 AM"
4,14,1407,2,68,"FRANCIS MBA",1,"3/2/2016 12:00:00 AM"
4,14,1408,2,968,"PRINCE GARDEN HOTEL",1,"2/22/2016 12:00:00 AM"
4,14,1408,2,1996,"AMB. LAW UGWU",1,"2/25/2016 12:00:00 AM"
4,14,1410,2,236,"FABIAN ONAH",1,"3/3/2016 12:00:00 AM"
4,14,1411,2,1066,"DEEPER LIFE BIBLE CHURCH",1,"3/11/2016 12:00:00 AM"
4,14,1413,2,670,"UGWOKE UGWUASADU",1,"3/15/2016 12:00:00 AM"
4,14,1413,1,2578,"EZE RAYMOND",1,"3/22/2016 12:00:00 AM"
4,14,1415,2,156,"IFE PET FILLING STATION",1,"3/18/2016 12:00:00 AM"
4,14,1415,2,952,"CHARLES ONUGU",1,"3/22/2016 12:00:00 AM"
4,14,1416,2,2314,"""FRED EZEMBAKA """,1,"3/7/2016 12:00:00 AM"
2,15,1502,2,590,"GENG",1,"3/3/2016 12:00:00 AM"
2,15,1503,2,634,"AISHATU MEMORIAL ISLAMIC",1,"3/12/2016 12:00:00 AM"
2,15,1506,1,148,"ABARE CENTRAL MOSQUE",1,"3/16/2016 12:00:00 AM"
2,15,1506,1,398,"ALH DAN ISAH",1,"2/23/2016 12:00:00 AM"
2,15,1507,2,458,"USMAN KILAWOS",1,"3/11/2016 12:00:00 AM"
2,15,1508,2,1682,"""KADIRI SAMA SAMA """,1,"2/26/2016 12:00:00 AM"
2,15,1510,2,616,"YAU BUKAR",1,"3/7/2016 12:00:00 AM"
2,15,1511,2,1938,"MAI TAMBAI",1,"2/28/2016 12:00:00 AM"
4,16,1601,2,954,"SUNDAY JULIUS OBINNA",33,"2/26/2016 12:00:00 AM"
4,16,1602,2,1576,"FELIX UKAH",1,"2/22/2016 12:00:00 AM"
4,16,1603,2,158,"NWATUGHARA JACOB",33,"2/24/2016 12:00:00 AM"
4,16,1605,2,180,"ALOY NNABARA",33,"2/29/2016 12:00:00 AM"
4,16,1606,2,590,"THOMAS ASHAMOUNYE",1,"3/11/2016 12:00:00 AM"
4,16,1608,2,1104,"LUNGENIUS EHUSHIE",1,"3/2/2016 12:00:00 AM"
4,16,1609,2,738,"EUGENE OZOMENE",1,"2/29/2016 12:00:00 AM"
4,16,1610,2,1006,"AUGUSTINE OKOROAGWU",1,"3/16/2016 12:00:00 AM"
4,16,1612,2,108,"IZUCHUKWU MATERNITY",33,"3/14/2016 12:00:00 AM"
4,16,1612,2,414,"ANTHONY NJOKWU",1,"2/24/2016 12:00:00 AM"
4,16,1613,2,440,"CHRISTOPHER ANUM",33,"3/5/2016 12:00:00 AM"
4,16,1616,2,296,"MERCY HOSPITAL UMULOGHO",33,"2/22/2016 12:00:00 AM"
4,16,1618,2,1060,"EDWIN EKE",33,"3/12/2016 12:00:00 AM"
4,16,1620,2,106,"SAINT JOSEPH CATHOLIC CHURCH",33,"3/3/2016 12:00:00 AM"
4,16,1622,2,18,"NWOKE STANLEY",1,"2/26/2016 12:00:00 AM"
4,16,1624,1,136,"SYLVANUS EGEMOLE",1,"3/4/2016 12:00:00 AM"
4,16,1624,1,286,"MAGNUS EGBUJOR",1,"3/14/2016 12:00:00 AM"
4,16,1625,2,1210,"87 NJAMENZE STREET",33,"3/16/2016 12:00:00 AM"
4,16,1626,2,1546,"UKACHI OSUAGWU",33,"3/21/2016 12:00:00 AM"
3,17,1702,2,510,"HAYYO GAMBO",1,"3/10/2016 12:00:00 AM"
3,17,1704,2,1080,"BALA ABUBAKAR",1,"2/25/2016 12:00:00 AM"
3,17,1704,1,2074,"ALH SULE KWARI",1,"2/26/2016 12:00:00 AM"
3,17,1706,2,284,"MAI ANGUWA ABDU",1,"2/24/2016 12:00:00 AM"
3,17,1710,2,546,"MAIGARI M BUBA",1,"3/4/2016 12:00:00 AM"
3,17,1712,2,794,"MATI DAM MAI GONA",1,"3/11/2016 12:00:00 AM"
3,17,1713,1,226,"YAWALE NEPA",1,"3/5/2016 12:00:00 AM"
3,17,1715,2,2244,"MAI ANGUWA ALI MOHAMMED",1,"3/5/2016 12:00:00 AM"
3,17,1716,2,1452,"MOHAMMED MAIGARI",1,"3/3/2016 12:00:00 AM"
3,17,1719,2,1354,"MOHAMMED YUNUSA",1,"2/28/2016 12:00:00 AM"
3,17,1722,2,96,"""MAIWANDO """,1,"3/13/2016 12:00:00 AM"
3,17,1724,2,786,"RABE HAMIDU",1,"3/16/2016 12:00:00 AM"
3,17,1727,2,634,"HARU MAIGARI",1,"3/9/2016 12:00:00 AM"
3,18,1803,2,840,"MALAM BAWA",1,"3/6/2016 12:00:00 AM"
3,18,1804,1,2690,,1,"3/24/2016 12:00:00 AM"
3,18,1805,2,534,"HAUWA AHMADU T BAKO",1,"2/23/2016 12:00:00 AM"
3,18,1808,2,1726,"WAMBAI MAGAJI",1,"2/25/2016 12:00:00 AM"
3,18,1809,1,1272,"ALH GARBA MAI ANGUWA",1,"3/12/2016 12:00:00 AM"
3,18,1811,2,364,"TUKURA AYUKO",1,"3/1/2016 12:00:00 AM"
3,18,1814,2,678,"MURNANJE GALE",1,"3/18/2016 12:00:00 AM"
3,18,1816,1,378,"MAI ANGUWA NUHU YUSHAU",1,"3/2/2016 12:00:00 AM"
3,18,1817,2,370,"SALISU",1,"3/19/2016 12:00:00 AM"
3,18,1820,2,450,"DANJUMA WAZIRI",1,"3/10/2016 12:00:00 AM"
3,18,1822,2,1654,"TANKO ALHASAN",1,"3/8/2016 12:00:00 AM"
3,18,1823,1,1822,"JAKARA CLINIC",1,"3/15/2016 12:00:00 AM"
3,19,1901,2,640,"MAIKUDI MAGORO",1,"3/11/2016 12:00:00 AM"
3,19,1902,2,52,"ALH UBALE TATA",1,"2/29/2016 12:00:00 AM"
3,19,1905,2,1290,"NABABA MAI SHANU",2,"2/29/2016 12:00:00 AM"
3,19,1908,2,284,"TUFFAL MAI ANG YAU",2,"3/14/2016 12:00:00 AM"
3,19,1910,2,808,"SULE TELA",2,"2/26/2016 12:00:00 AM"
3,19,1912,1,1510,"ILALA",2,"3/8/2016 12:00:00 AM"
3,19,1914,2,934,"MAI ANGUWA AUWALU",1,"2/26/2016 12:00:00 AM"
3,19,1916,2,1516,"RIMI DAGACHI",1,"3/14/2016 12:00:00 AM"
3,19,1919,2,366,"GIDAN BAI BAI",2,"3/10/2016 12:00:00 AM"
3,19,1921,1,842,"BALA NEPA",1,"2/24/2016 12:00:00 AM"
3,19,1923,2,284,"MUHAMMAD TSOHO",2,"3/3/2016 12:00:00 AM"
3,19,1925,1,2858,"KAFATAWA",2,"2/24/2016 12:00:00 AM"
3,19,1925,2,3394,"MAI ANGUWA ADO NAHUDU",1,"2/22/2016 12:00:00 AM"
3,19,1928,2,526,"MUSA DADA",2,"2/22/2016 12:00:00 AM"
3,19,1932,2,562,"ALH YAU",2,"3/3/2016 12:00:00 AM"
3,19,1934,2,386,,2,"3/12/2016 12:00:00 AM"
3,19,1936,2,1994,"MAL AHAMADU",1,"3/4/2016 12:00:00 AM"
3,19,1937,2,432,"ALH ADAMU",1,"3/2/2016 12:00:00 AM"
3,19,1941,2,518,"GIDAN ALH AHMADU",1,"3/7/2016 12:00:00 AM"
3,19,1943,2,668,"LIMAN SHUAIBU",1,"3/19/2016 12:00:00 AM"
3,20,2001,2,1354,"MAL ABDURAZAK ISMAIL",5,"2/27/2016 12:00:00 AM"
3,20,2003,2,784,"MASHAR GARBA",1,"3/7/2016 12:00:00 AM"
3,20,2005,2,970,"ALH MANI",1,"3/17/2016 12:00:00 AM"
3,20,2008,2,1474,"RIGA M MUHAMMADU",5,"3/4/2016 12:00:00 AM"
3,20,2009,2,240,"ALH AWANKE",5,"3/1/2016 12:00:00 AM"
3,20,2012,1,844,"ISIYAKU WAKILI",5,"3/14/2016 12:00:00 AM"
3,20,2013,2,1232,"SHADAWA PRIMARY SCHOOL",5,"3/6/2016 12:00:00 AM"
3,20,2015,2,1746,"ALI NA MUNTARI",1,"3/10/2016 12:00:00 AM"
3,20,2018,2,1134,"MALIKI AL MAMMAN",1,"2/26/2016 12:00:00 AM"
3,20,2019,2,344,"GIDAN MAI RUWA",5,"3/18/2016 12:00:00 AM"
3,20,2021,1,3300,"BATURE BAKANIKE",1,"2/22/2016 12:00:00 AM"
3,20,2022,2,1130,"HARUNA KORIKUTU",1,"3/13/2016 12:00:00 AM"
3,20,2025,2,760,"ALH DAHIRU AYYA",5,"2/22/2016 12:00:00 AM"
3,20,2025,2,1304,"SALE G PRIMARY SCHOOL",5,"2/24/2016 12:00:00 AM"
3,20,2028,2,498,"MAI ANGUWA TSOHO",5,"3/13/2016 12:00:00 AM"
3,20,2030,2,1050,"MUSA MAI UNGUWA",1,"3/15/2016 12:00:00 AM"
3,20,2032,1,1390,"AHMED DAIYABU",1,"3/1/2016 12:00:00 AM"
3,20,2032,2,1772,"ABU G MAISHAYI",1,"3/3/2016 12:00:00 AM"
3,21,2102,2,1124,"ABDULLAHI",1,"3/15/2016 12:00:00 AM"
3,21,2106,2,236,"ALH UMARU KWARA",1,"2/24/2016 12:00:00 AM"
3,21,2106,2,2822,"ALH ALIYU ARZIKA",1,"2/28/2016 12:00:00 AM"
3,21,2108,1,520,"MALAM ALI SOJA",1,"2/25/2016 12:00:00 AM"
3,21,2109,2,38,"IBRAHIM SARKIN PAWA",1,"3/2/2016 12:00:00 AM"
3,21,2111,2,180,"LIMAN MUDI",1,"3/17/2016 12:00:00 AM"
3,21,2115,2,926,"CHIBOWA MAKWASHIN",1,"3/10/2016 12:00:00 AM"
3,21,2117,2,554,"SARKIN MALAMAI",1,"3/12/2016 12:00:00 AM"
3,21,2119,2,2146,"SENSE ANTELA",1,"3/7/2016 12:00:00 AM"
3,21,2119,2,3956,"UNGUWAN DAKARKARI",1,"3/6/2016 12:00:00 AM"
1,22,2201,2,422,"SALIHU SALAHU",1,"2/26/2016 12:00:00 AM"
1,22,2203,2,266,"EMMANUAL ALI",1,"3/13/2016 12:00:00 AM"
1,22,2203,2,530,"AFO MARKET",1,"3/11/2016 12:00:00 AM"
1,22,2205,2,664,"MAJI MAKOLO",1,"3/10/2016 12:00:00 AM"
1,22,2205,2,2432,"MOSQUE",1,"3/8/2016 12:00:00 AM"
1,22,2209,1,792,"OTUNGBEMI BLOCKS",1,"3/1/2016 12:00:00 AM"
1,22,2211,2,594,"ALH YUSUF ADBULLAHI",1,"2/24/2016 12:00:00 AM"
1,22,2211,1,806,"OLD CENTRAL MOSQUE",1,"2/23/2016 12:00:00 AM"
1,22,2214,2,1354,"JOSEPH OGWU",1,"3/9/2016 12:00:00 AM"
1,22,2216,1,428,"MR ZUBAIRU RAHEEM",1,"2/27/2016 12:00:00 AM"
1,22,2218,2,596,"LGEA PRIMARY SCHOOL",1,"3/12/2016 12:00:00 AM"
1,22,2220,1,1296,"MOHAMMED ELERO",1,"3/3/2016 12:00:00 AM"
1,23,2302,2,1982,"SARKIN FULANI",1,"3/15/2016 12:00:00 AM"
1,23,2303,2,2348,"ABDULAHI MADU",1,"3/3/2016 12:00:00 AM"
1,23,2304,2,322,"OSI CENTRAL SCHOOL",1,"3/11/2016 12:00:00 AM"
1,23,2306,1,970,"ILE AGBADA MOSQUE",1,"2/26/2016 12:00:00 AM"
1,23,2307,1,78,"ALH FARUK BABAKINI",1,"2/29/2016 12:00:00 AM"
1,23,2307,1,2316,"ALH AHMADU OLOKO",1,"2/25/2016 12:00:00 AM"
1,23,2308,1,556,"IMAM DODO OLOKOLA",1,"3/21/2016 12:00:00 AM"
1,23,2308,1,5180,"OSIN KAWU",1,"2/22/2016 12:00:00 AM"
1,23,2309,2,998,"AKPO",1,"3/8/2016 12:00:00 AM"
1,23,2311,2,516,"MOHHAMED HALIRU BANINGO",1,"3/14/2016 12:00:00 AM"
