"zone","state","lga","sector","ea","hhid","lid","s4cq2b","s4cq3a","s4cq3b","s4cq3c","s4cq4","s4cq4_os","s4cq5","s4cq6","s4cq7","s4cq8","s4cq8b","s4cq9","s4cq10","s4cq10b","s4cq11"
2,5,502,1,2194,50019,1,6,1,,,5,,1,50000,1,7,2015,1,,,50000
2,5,502,1,2194,50019,2,6,1,,,5,,1,20000,1,6,2015,1,,,20000
2,5,502,1,2194,50019,3,6,1,,,5,,1,30000,1,5,2015,1,,,30000
2,5,502,1,2194,50020,1,4,1,,,8,,1,200000,1,3,2014,2,3,2016,265000
2,5,515,2,18,50022,1,6,1,,,5,,1,20000,1,2,2015,1,,,20000
2,5,515,2,18,50024,1,6,1,,,2,,1,9000,2,7,2014,1,,,9000
2,5,515,2,18,50026,1,6,1,,,2,,1,25000,2,5,2015,2,12,2015,25000
2,5,515,2,18,50026,2,6,2,,,5,,1,5000,2,2,2015,2,2,2016,5000
2,5,515,2,18,50030,1,6,1,,,2,,1,10000,1,5,2015,2,12,2015,10000
2,5,515,2,18,50030,2,6,5,,,2,,1,7000,1,6,2015,2,12,2015,7000
2,5,502,2,3878,50037,1,6,1,,,10,,1,60000,1,10,2014,1,,,60000
2,5,502,2,3878,50037,2,6,2,,,5,,1,5000,1,12,2014,1,,,5000
2,5,502,2,3878,50038,1,6,1,,,9,,1,15000,2,4,2014,1,,,15000
2,5,502,2,3878,50040,1,6,2,,,6,,1,13000,2,9,2014,1,,,13000
2,5,513,2,348,50052,1,6,1,,,2,,1,15000,1,8,2015,2,12,2015,15000
2,5,513,2,348,50053,1,6,1,,,2,,1,15000,1,4,2015,2,12,2015,15000
2,5,513,2,348,50054,1,6,1,,,2,,1,20000,1,7,2015,2,12,2015,20000
2,5,513,2,348,50055,1,8,1,,,2,,1,15000,1,7,2015,2,12,2015,15000
2,5,513,2,348,50058,1,6,1,,,2,,1,25000,1,7,2015,2,12,2015,25000
2,5,514,2,710,50062,1,6,1,,,9,,1,10000,1,8,2015,2,12,2015,10000
2,5,514,2,710,50063,1,6,1,,,6,,1,3000,1,7,2015,2,10,2015,3000
2,5,514,2,710,50068,1,6,1,,,2,,1,20000,1,5,2015,1,,,20000
2,5,501,2,60,50071,1,6,1,,,2,,1,10000,2,6,2015,1,,,10000
2,5,501,2,60,50072,1,6,1,,,2,,1,20000,1,6,2015,1,,,20000
2,5,501,2,60,50072,2,6,1,,,2,,1,20000,1,7,2015,1,,,20000
2,5,501,2,60,50075,1,4,1,,,10,,1,20000,1,9,2015,1,,,23000
2,5,501,2,60,50076,1,6,1,,,11,"HEALTH",1,12000,1,7,2014,2,12,2015,12000
2,5,501,2,60,50077,1,6,1,,,2,,1,50000,1,6,2015,2,12,2015,50000
2,5,501,2,60,50079,1,6,1,,,2,,1,20000,1,6,2015,2,12,2015,20000
2,5,516,2,942,50083,1,6,1,,,2,,1,10000,1,7,2014,2,12,2015,11000
2,5,516,2,942,50087,1,6,1,,,2,,1,20000,1,2,2015,1,,,20000
2,5,508,2,984,50091,1,6,1,,,2,,1,30000,1,6,2015,2,1,2016,30000
2,5,508,2,984,50093,1,6,1,,,10,,1,20000,1,1,2015,1,,,20000
2,5,508,2,984,50095,1,6,1,,,7,,1,5000,2,5,2015,2,11,2015,5000
2,5,508,2,984,50098,1,6,2,,,5,,1,5000,1,4,2015,1,,,5000
2,5,508,2,984,50098,2,6,4,,,5,,1,7000,1,6,2015,1,,,7000
2,5,508,2,984,50099,1,6,1,,,2,,1,15000,1,7,2015,2,12,2015,15000
2,5,508,2,984,50100,1,6,1,,,2,,1,20000,1,8,2015,2,12,2015,20000
2,5,514,1,2036,50104,1,6,1,,,5,,1,16000,1,5,2015,1,,,16000
2,5,514,1,2036,50105,1,6,1,,,4,,1,250000,2,12,2014,1,,,250000
2,5,514,1,2036,50110,1,4,1,,,8,,1,280000,1,3,2014,1,,,310000
2,5,508,2,718,50112,1,6,1,,,5,,1,30000,1,2,2015,2,1,2016,30000
2,5,508,2,718,50113,1,6,1,,,2,,1,20000,1,7,2015,2,12,2015,20000
2,5,508,2,718,50114,1,6,1,,,10,,1,20000,1,4,2015,2,10,2015,20000
2,5,508,2,718,50116,1,6,1,,,2,,1,15000,1,7,2015,2,12,2015,15000
2,5,508,2,718,50117,1,6,1,,,2,,1,10000,1,7,2015,2,12,2015,10000
2,5,510,1,872,50121,1,6,1,,,10,,1,15000,1,1,2014,1,,,15000
2,5,518,2,1588,50135,1,8,1,,,10,,1,3000,1,5,2015,1,,,3000
2,5,518,2,1588,50136,1,5,2,10,,5,,1,15000,1,7,2015,1,,,15000
2,5,518,2,1588,50138,1,6,1,,,9,,1,10000,1,6,2015,1,,,10000
2,5,518,2,1588,50139,1,5,2,,,5,,1,20000,1,5,2015,1,,,20000
1,31,3105,1,0,50140,1,5,1,,,11,"KEKE NAPEP PURCHASE",1,600000,1,10,2014,1,,,800000
2,5,510,2,1516,50141,1,6,1,,,9,,1,5000,2,7,2015,1,,,5000
2,5,510,2,1516,50145,1,6,1,,,6,,1,18000,1,2,2015,1,,,18000
2,5,510,2,1516,50145,2,6,3,,,6,,1,5000,2,2,2015,1,,,5000
2,5,510,2,1516,50146,1,6,1,,,10,,1,10000,2,7,2015,2,11,2015,10000
2,5,510,2,1516,50147,1,6,1,,,9,,1,3500,2,9,2015,2,9,2015,3500
2,5,510,2,1516,50149,1,6,1,,,4,,1,12000,1,8,2014,1,,,12000
2,5,518,2,1304,50151,1,6,1,,,10,,1,5000,1,5,2015,2,12,2015,5000
2,5,518,2,1304,50152,1,6,1,,,8,,1,40000,1,3,2015,2,12,2015,40000
2,5,518,2,1304,50153,1,2,1,,,3,,2,,,,,,,,
2,5,518,2,1304,50153,2,4,1,,,3,,2,,,,,,,,
2,5,518,2,1304,50153,3,5,1,,,2,,1,50000,2,5,2015,2,12,2015,50000
2,5,518,2,1304,50154,1,6,1,,,11,"FOR MEDICAL",1,20000,1,11,2014,2,3,2016,20000
2,5,518,2,1304,50157,1,5,1,,,5,,1,104000,1,7,2015,1,,,104000
2,5,518,2,1304,50158,1,6,1,,,2,,1,10000,2,7,2015,1,,,10000
2,5,520,2,1756,50161,1,6,1,,,6,,1,30000,1,4,2015,2,10,2015,30000
2,5,520,2,1756,50162,1,6,1,,,2,,1,8000,2,5,2015,2,11,2015,8000
2,5,520,2,1756,50166,1,6,1,,,6,,1,3000,1,6,2015,1,,,3000
2,5,520,2,1756,50168,1,6,1,,,2,,1,7000,2,6,2015,2,12,2015,7000
2,5,520,2,1756,50169,1,9,1,,,3,,1,10000,2,7,2015,2,12,2015,10000
5,6,602,2,0,60001,1,7,1,,,7,,1,35000,2,6,2015,2,12,2015,38500
5,6,602,2,1356,60008,1,2,1,,,2,,1,20000,1,6,2015,2,9,2015,25000
5,6,602,2,1356,60009,1,2,1,,,2,,1,20000,1,4,2015,2,12,2015,42500
5,6,606,2,1372,60012,1,2,1,,,7,,1,100000,1,7,2015,2,10,2015,150000
5,6,606,2,1372,60020,1,8,1,,,11,"MEDICATION",1,45000,1,5,2015,2,10,2015,60000
5,6,608,1,3978,60027,1,2,1,,,2,,1,60000,1,2,2015,2,12,2015,132000
5,6,607,2,1892,60031,1,4,1,,,10,,1,72000,2,1,2015,2,12,2015,110400
5,6,608,1,0,60033,1,4,1,,,10,,1,300000,1,9,2014,1,,,330000
5,6,607,2,1892,60034,1,2,1,,,5,,1,600000,2,1,2015,1,,,660000
5,6,607,2,1892,60035,1,4,1,,,4,,1,850000,1,9,2014,2,9,2018,950000
5,6,607,2,1892,60038,1,7,,,,7,,1,500000,2,9,2015,2,2,2016,700000
5,6,607,2,1892,60040,1,4,1,,,7,,1,800000,1,11,2014,2,11,2017,1000000
5,6,601,2,640,60045,1,4,1,,,4,,1,170000,2,9,2014,2,9,2017,230000
5,6,605,2,162,60055,1,7,2,,,11,"BUSINESS",1,150000,2,2,2015,1,,,180000
5,6,605,2,0,60057,1,5,1,,,7,,1,60000,1,9,2015,2,11,2015,96000
5,6,605,2,0,60058,1,6,1,,,6,,1,30000,1,10,2015,2,11,2015,30000
5,6,605,2,0,60058,2,6,1,,,6,,1,10000,1,10,2015,2,11,2015,16000
5,6,605,2,162,60059,1,6,1,,,10,,1,20000,2,5,2015,1,,,20000
1,7,707,2,560,70006,1,4,1,,,1,,1,150000,1,11,2014,2,10,2015,225000
1,7,707,2,560,70007,1,2,2,,,2,,1,20000,2,5,2015,2,11,2015,22000
1,7,708,2,754,70011,1,2,1,2,,3,,1,250000,1,8,2015,2,11,2015,275000
1,7,708,2,754,70012,1,5,1,,,2,,1,20000,1,6,2015,2,12,2015,22000
1,7,708,2,754,70020,1,3,3,9,,7,,1,100000,2,8,2015,2,3,2016,120000
1,7,705,2,4186,70030,1,2,1,,,2,,1,20000,2,5,2015,2,11,2015,22000
1,7,722,2,234,70033,1,2,1,,,2,,1,45000,1,1,2015,2,11,2015,49500
1,7,722,2,234,70035,1,5,1,,,7,,1,40000,1,2,2015,2,12,2015,44000
1,7,722,2,234,70035,2,5,1,,,7,,1,30000,1,5,2015,2,12,2015,33000
1,7,722,2,892,70041,1,5,1,,,2,,1,8000,1,2,2015,2,12,2015,88000
1,7,722,2,892,70044,1,2,2,,,2,,1,20000,1,3,2015,2,11,2015,22000
1,7,722,2,892,70045,1,6,1,,,6,,1,25000,1,7,2015,2,12,2015,25000
1,7,722,2,892,70046,1,1,1,,,9,,1,84000,1,10,2014,2,10,2015,92400
1,7,722,2,892,70047,1,2,1,,,2,,1,45000,1,3,2015,2,11,2015,49500
1,7,722,2,892,70050,1,2,2,,,11,"MOTOR BIKE PURCHASE.",1,150000,1,5,2015,2,11,2015,165000
1,7,710,2,2726,70052,1,2,5,,,2,,1,6000,1,4,2015,2,12,2015,6600
1,7,710,2,2726,70056,1,9,1,,,2,,1,50000,1,7,2015,2,9,2015,55000
1,7,710,2,2726,70057,1,5,1,,,11,"HOSPITAL.",1,16000,1,7,2015,2,10,2015,17600
1,7,710,2,2726,70058,1,2,1,,,2,,1,6000,1,3,2015,2,12,2015,6600
1,7,711,2,2532,70063,1,2,,,,11,"SICKNESS.",1,10000,1,7,2015,2,11,2015,11000
1,7,711,2,2532,70064,1,5,1,,,9,,1,3000,1,5,2015,2,12,2015,33000
1,7,711,2,2532,70066,1,5,1,,,6,,1,10000,1,11,2014,2,11,2015,11000
1,7,711,2,2532,70066,2,5,2,,,11,"HOSPITAL.",1,3000,1,4,2015,1,,,3300
1,7,711,2,2532,70066,3,5,5,,,11,"HOSPITAL.",1,50000,1,4,2015,2,10,2015,55000
1,7,711,2,2532,70067,1,5,1,,,7,,1,6000,1,9,2014,1,,,6600
1,7,711,2,2532,70067,2,5,2,,,7,,1,2000,1,9,2014,1,,,2200
1,7,711,2,2532,70069,1,5,1,,,7,,1,15000,1,9,2014,2,9,2015,16500
1,7,711,2,2532,70070,1,5,1,,,2,,1,3500,1,1,2015,2,9,2015,3850
1,7,709,2,1226,70071,1,2,1,,,2,,1,60000,1,9,2014,1,,,66000
1,7,709,2,1226,70074,1,9,3,,,4,,1,15000,1,10,2014,1,,,16500
1,7,709,2,1226,70076,1,5,1,,,2,,1,18000,1,6,2015,2,9,2015,19800
1,7,709,2,1226,70079,1,2,1,,,2,,1,16000,1,9,2014,1,,,17600
1,7,701,2,606,70107,1,2,2,,,2,,1,6000,1,5,2015,2,9,2015,9000
1,7,701,2,606,70110,1,5,1,2,,2,,1,11000,1,8,2015,2,3,2016,15500
1,7,718,2,1640,70127,1,9,2,,,11,"RENTAGE",1,10500,1,6,2015,2,10,2015,13000
1,7,713,2,304,70157,1,3,1,2,,2,,1,80000,2,6,2015,2,12,2015,96000
2,8,813,2,2094,80008,1,5,1,,,4,,1,100000,1,6,2014,1,,,150000
2,8,821,1,5062,80027,1,5,2,,,10,,1,4000,1,7,2014,2,11,2015,4400
2,8,824,2,768,80158,1,5,3,,,5,,1,100000,1,5,2014,1,,,150000
5,9,908,1,278,90002,1,5,1,,,9,,1,40000,2,9,2014,2,1,2016,40000
5,9,908,1,278,90009,1,5,1,,,7,,1,10000,2,3,2015,2,10,2015,15000
5,9,908,1,278,90009,2,5,2,,,7,,1,15000,2,5,2015,2,12,2015,22500
5,9,908,1,278,90010,1,1,1,,,9,,1,1500000,2,2,2015,2,9,2016,1650000
5,9,915,1,1390,90027,1,6,1,,,10,,1,5000,1,8,2015,2,10,2015,5000
5,9,917,1,1254,90037,1,4,2,,,11,"MEDICAL BILLS",1,450000,1,2,2014,2,2,2017,594000
5,9,901,2,398,90041,1,6,1,,,4,,1,2000,2,8,2015,2,12,2015,2400
5,9,910,2,200,90057,1,2,1,,,5,,1,150000,2,1,2015,2,11,2015,180000
5,9,910,2,200,90057,2,6,1,,,5,,1,70000,2,4,2015,2,11,2015,90000
5,9,912,2,0,90058,1,1,1,2,,2,,1,30000,1,2,2015,2,11,2015,33000
5,9,907,2,1446,90067,1,7,1,,,7,,1,48000,1,9,2014,2,12,2015,92000
5,9,912,2,102,90076,1,4,1,,,7,,1,800000,2,10,2014,2,11,2015,900000
5,9,912,2,102,90076,2,7,2,,,10,,1,40000,2,6,2015,2,8,2015,48000
5,9,912,2,102,90078,1,7,1,,,11,"TREATMENT",1,100000,1,1,2014,2,9,2015,120000
5,9,912,2,102,90079,1,3,1,,,2,,1,50000,2,5,2015,2,11,2015,60000
5,9,916,2,1068,90082,1,9,1,,,7,,1,150000,2,7,2015,2,10,2015,180000
5,9,916,2,1068,90086,1,4,1,,,1,,1,200000,1,6,2015,2,7,2017,680000
5,9,916,2,1068,90089,1,3,1,,,5,,1,40000,2,7,2015,2,1,2016,452000
5,9,916,2,1068,90089,2,2,1,,,2,,1,200000,2,2,2015,2,12,2015,240000
5,9,916,2,1068,90089,3,4,2,,,7,,1,100000,2,3,2015,2,3,2016,111000
5,9,918,2,834,90092,1,2,1,,,9,,1,100000,2,7,2015,2,11,2015,110000
5,9,918,2,834,90092,2,2,4,,,2,,1,15000,1,6,2015,2,11,2015,16500
5,9,918,2,834,90092,3,2,2,,,5,,1,20000,1,8,2015,2,11,2015,22000
5,9,918,2,834,90096,1,2,7,,,6,,1,4000,1,8,2015,2,10,2015,4400
5,9,918,2,834,90097,1,2,1,,,3,,1,15000,1,6,2015,2,11,2015,16500
5,9,918,2,834,90100,1,2,1,,,4,,1,200000,2,5,2015,2,11,2015,220000
5,9,905,2,978,90101,1,7,1,,,10,,1,15000,2,9,2014,1,,,30000
5,9,905,2,978,90101,2,2,4,,,4,,1,5000,2,10,2014,2,9,2015,5500
1,25,2503,2,0,90103,1,7,1,,,10,,1,45000,1,1,2015,2,11,2015,50000
5,9,905,2,978,90104,1,5,1,,,6,,1,20000,1,8,2015,1,,,20000
5,9,905,2,978,90104,2,5,2,,,7,,1,6000,1,7,2015,2,10,2015,6000
5,9,905,2,978,90106,1,2,2,,,3,,1,20000,2,5,2015,2,11,2015,22000
5,9,914,2,1746,90116,1,9,2,,,4,,1,50000,1,7,2015,2,12,2015,72000
5,9,914,2,1746,90118,1,4,10,,,7,,1,200000,2,2,2014,2,12,2015,285000
5,9,913,2,2266,90121,1,6,1,,,11,"MEDICAL BILLS",1,5000,1,1,2015,2,12,2015,7500
5,9,913,2,2266,90126,1,5,1,2,,3,,1,40000,2,4,2015,2,1,2016,80000
5,9,913,2,2266,90128,1,6,1,,,2,,1,7000,2,6,2015,2,12,2015,9500
5,10,1014,2,80,100005,1,9,1,,,3,,1,10000,2,7,2014,1,,,20000
5,10,1007,1,1166,100025,1,5,1,,,2,,1,25000,2,1,2015,2,12,2015,25000
5,10,1008,2,1314,100032,1,5,1,,,3,,1,20000,2,4,2015,2,12,2015,44000
5,10,1008,2,1314,100038,1,5,1,,,8,,1,30000,2,8,2014,1,,,45000
5,10,1008,2,1718,100042,1,1,1,,,3,,1,100000,2,10,2015,2,11,2015,110000
5,10,1008,2,1718,100043,1,5,1,,,3,,1,50000,2,2,2015,2,12,2015,55000
5,10,1008,2,1718,100044,1,1,1,,,3,,1,100000,1,3,2015,2,11,2015,110000
5,10,1008,2,1718,100045,1,2,1,,,2,,1,60000,2,1,2015,2,12,2015,70000
5,10,1008,2,1718,100045,2,9,1,,,2,,1,60000,2,1,2015,2,12,2015,66000
5,10,1008,2,1718,100048,1,3,1,,,7,,1,150000,2,11,2014,2,10,2016,165000
5,10,1008,2,1718,100048,2,7,1,,,7,,1,200000,2,11,2014,2,12,2016,220000
5,10,1021,2,120,100056,1,1,1,,,1,,2,,,,,,,,
5,10,1012,2,936,100061,1,3,2,,,11,"EDUCATION1",1,60000,2,4,2015,2,4,2016,66000
5,10,1012,2,936,100070,1,1,1,,,4,,1,200000,2,11,2014,2,11,2015,220000
5,10,1010,2,20,100075,1,1,2,,,9,,1,400000,2,10,2014,2,3,2016,440000
5,10,1010,2,20,100075,2,7,1,,,4,,1,30000,2,12,2014,2,10,2015,36000
5,10,1010,2,20,100077,1,6,1,,,11,"HOSPITAL BILL",1,70000,2,11,2014,2,11,2016,85000
5,10,1005,2,1374,100083,1,5,2,,,2,,1,50000,2,1,2015,2,12,2015,80000
5,10,1005,2,1374,100089,1,1,1,,,1,,1,300000,2,9,2014,1,,,315000
5,10,1005,1,662,100097,1,7,1,,,2,,1,100000,1,6,2015,2,11,2015,160000
5,10,1005,1,662,100098,1,3,2,,,4,,1,50000,2,9,2014,1,,,56000
5,10,1018,2,898,100103,1,1,1,,,2,,1,800000,1,1,2015,2,1,2016,1200000
5,10,1018,2,898,100104,1,1,2,,,7,,1,6000,2,7,2015,2,9,2015,6000
5,10,1018,2,898,100110,1,6,1,,,2,,1,8000,2,2,2015,2,11,2016,8000
5,10,1018,1,634,100118,1,5,1,,,11,"TRROPSAIR VEHICLE",1,10000,1,2,2015,2,11,2015,14500
5,10,1018,1,634,100118,2,5,2,,,1,,1,6000,1,5,2015,2,10,2015,7500
5,10,1018,1,634,100119,1,6,2,,,7,,1,80000,1,8,2015,2,10,2015,80000
5,10,1020,1,38,100126,1,1,1,,,5,,1,150000,1,7,2014,1,,,165000
4,11,1104,1,2028,110003,1,1,1,,,1,,1,200000,1,2,2015,2,1,2016,229000
4,11,1104,1,2028,110009,1,4,1,,,7,,1,130000,2,2,2015,2,2,2016,143000
4,11,1104,1,2028,110009,2,3,2,,,7,,1,200000,1,3,2015,2,3,2016,220000
