"hhid","zone","state","lga","sector","ea","item_cd","item_desc","item_other","sa4q1","tracked_obs"
110126,4,11,1102,2,936,318,"Wheelbarrow","1",1,0
110136,4,11,1101,2,154,321,"Sickle",,1,0
120058,5,12,1216,2,618,319,"Cutlass",,3,0
120058,5,12,1216,2,618,320,"Hoe",,2,0
130042,6,13,1305,1,1232,320,"Hoe",,2,0
140001,4,14,1401,2,1116,319,"Cutlass","1 BIG 1 SMALL",2,0
140016,4,14,1407,2,68,319,"Cutlass",,1,0
140049,4,14,1415,2,952,319,"Cutlass","3BIG",3,0
140128,4,14,1416,2,2314,318,"Wheelbarrow",,1,0
150012,2,15,1508,2,1682,312,"Sprayer",,1,0
150012,2,15,1508,2,1682,319,"Cutlass",,3,0
150012,2,15,1508,2,1682,320,"Hoe",,4,0
150016,2,15,1508,2,1682,311,"Other tractor drawn",,1,0
150019,2,15,1508,2,1682,319,"Cutlass",,1,0
150019,2,15,1508,2,1682,320,"Hoe",,1,0
150021,2,15,1511,2,1938,319,"Cutlass",,1,0
150021,2,15,1511,2,1938,320,"Hoe",,1,0
150029,2,15,1511,2,1938,319,"Cutlass",,1,0
150029,2,15,1511,2,1938,320,"Hoe",,1,0
150031,2,15,1502,2,590,320,"Hoe",,1,0
150048,2,15,1510,2,616,310,"Other animal drawn e",,1,0
150060,2,15,1507,2,458,320,"Hoe",,1,0
160074,4,16,1620,2,106,312,"Sprayer",,2,0
160084,4,16,1618,2,1060,318,"Wheelbarrow",,2,0
160094,4,16,1601,2,954,320,"Hoe",,2,0
160106,4,16,1624,1,286,320,"Hoe",,1,0
160129,4,16,1622,2,18,319,"Cutlass",,2,0
180038,3,18,1803,2,840,320,"Hoe",,1,0
180073,3,18,1808,2,1726,312,"Sprayer",,2,0
190026,3,19,1943,2,668,303,"Trailer/Cart",,1,0
190042,3,19,1901,2,640,318,"Wheelbarrow",,1,0
190094,3,19,1941,2,518,310,"Other animal drawn e",,1,0
190133,3,19,1910,2,808,310,"Other animal drawn e",,1,0
190141,3,19,1908,2,284,302,"Plough",,1,0
200019,3,20,2018,2,1134,320,"Hoe",,1,0
200035,3,20,2003,2,784,320,"Hoe",,1,0
200058,3,20,2032,1,1390,320,"Hoe",,1,0
200065,3,20,2032,2,1772,319,"Cutlass",,1,0
200091,3,20,2001,2,1354,319,"Cutlass",,1,0
200091,3,20,2001,2,1354,320,"Hoe",,1,0
200095,3,20,2001,2,1354,319,"Cutlass",,1,0
200095,3,20,2001,2,1354,320,"Hoe",,1,0
210018,3,21,2106,2,236,302,"Plough",,1,0
210019,3,21,2106,2,236,321,"Sickle",,1,0
210039,3,21,2119,2,3956,319,"Cutlass",,1,0
210039,3,21,2119,2,3956,320,"Hoe",,1,0
210039,3,21,2119,2,3956,321,"Sickle",,1,0
210041,3,21,2119,2,2146,309,"Sprinkler",,1,0
210057,3,21,2115,2,926,310,"Other animal drawn e",,1,0
220016,1,22,2211,2,594,319,"Cutlass",,2,0
220016,1,22,2211,2,594,320,"Hoe",,5,0
220037,1,22,2201,2,422,319,"Cutlass",,1,0
220068,1,22,2205,2,2432,319,"Cutlass",,3,0
220116,1,22,2203,2,266,319,"Cutlass",,2,0
250011,1,25,2504,2,222,319,"Cutlass",,2,0
260025,1,26,2618,2,1276,307,"Harvester",,1,0
260025,1,26,2618,2,1276,320,"Hoe",,1,0
260126,1,26,2613,2,2248,312,"Sprayer",,1,0
260156,1,26,2613,2,1462,321,"Sickle",,2,0
260162,1,26,2616,2,254,312,"Sprayer",,1,0
290043,6,29,2909,2,220,320,"Hoe",,1,0
290180,6,29,2920,2,1628,312,"Sprayer",,2,0
300042,6,30,3014,2,120,322,"Other (Specify)1","SMALL BASKET",5,0
310080,1,31,3109,2,1026,319,"Cutlass",,1,0
310104,1,31,3103,2,874,321,"Sickle",,1,0
320121,5,32,3201,2,2034,321,"Sickle",,1,0
340076,2,34,3403,2,198,312,"Sprayer",,1,0
350108,2,35,3509,2,1310,320,"Hoe",,3,0
350108,2,35,3509,2,1310,321,"Sickle",,1,0
350117,2,35,3509,2,2276,302,"Plough","CUTLASS 1",1,0
360041,3,36,3613,2,1066,320,"Hoe",,2,0
10012,4,1,104,2,1364,301,"Tractor",,0,0
10012,4,1,104,2,1364,302,"Plough",,0,0
10012,4,1,104,2,1364,303,"Trailer/Cart",,0,0
10012,4,1,104,2,1364,304,"Ridger",,0,0
10012,4,1,104,2,1364,305,"Planter",,0,0
10012,4,1,104,2,1364,306,"Pickup",,0,0
10012,4,1,104,2,1364,307,"Harvester",,0,0
10012,4,1,104,2,1364,308,"Water pump",,0,0
10012,4,1,104,2,1364,309,"Sprinkler",,0,0
10012,4,1,104,2,1364,310,"Other animal drawn e",,0,0
10012,4,1,104,2,1364,311,"Other tractor drawn",,0,0
10012,4,1,104,2,1364,312,"Sprayer",,0,0
10012,4,1,104,2,1364,313,"Outboard motor",,0,0
10012,4,1,104,2,1364,314,"Canoe",,0,0
10012,4,1,104,2,1364,315,"Boat",,0,0
10012,4,1,104,2,1364,316,"Fishing net",,0,0
10012,4,1,104,2,1364,317,"Safety equipment(fis",,0,0
10012,4,1,104,2,1364,318,"Wheelbarrow",,0,0
10012,4,1,104,2,1364,319,"Cutlass","1 BIG;1 SMALL",2,0
10012,4,1,104,2,1364,320,"Hoe","1 BIG;2 MED.;1 SMALL",4,0
10012,4,1,104,2,1364,321,"Sickle",,0,0
10012,4,1,104,2,1364,322,"Other (Specify)1",,,
10013,4,1,104,2,1364,301,"Tractor",,0,0
10013,4,1,104,2,1364,302,"Plough",,0,0
10013,4,1,104,2,1364,303,"Trailer/Cart",,0,0
10013,4,1,104,2,1364,304,"Ridger",,0,0
10013,4,1,104,2,1364,305,"Planter",,0,0
10013,4,1,104,2,1364,306,"Pickup",,0,0
10013,4,1,104,2,1364,307,"Harvester",,0,0
10013,4,1,104,2,1364,308,"Water pump",,0,0
10013,4,1,104,2,1364,309,"Sprinkler",,0,0
10013,4,1,104,2,1364,310,"Other animal drawn e",,0,0
10013,4,1,104,2,1364,311,"Other tractor drawn",,0,0
10013,4,1,104,2,1364,312,"Sprayer",,0,0
10013,4,1,104,2,1364,313,"Outboard motor",,0,0
10013,4,1,104,2,1364,314,"Canoe",,0,0
10013,4,1,104,2,1364,315,"Boat",,0,0
10013,4,1,104,2,1364,316,"Fishing net",,0,0
10013,4,1,104,2,1364,317,"Safety equipment(fis",,0,0
10013,4,1,104,2,1364,318,"Wheelbarrow",,0,0
10013,4,1,104,2,1364,319,"Cutlass",,3,0
10013,4,1,104,2,1364,320,"Hoe",,2,0
10013,4,1,104,2,1364,321,"Sickle",,0,0
10013,4,1,104,2,1364,322,"Other (Specify)1",,,
10014,4,1,104,2,1364,301,"Tractor",,0,0
10014,4,1,104,2,1364,302,"Plough",,0,0
10014,4,1,104,2,1364,303,"Trailer/Cart",,0,0
10014,4,1,104,2,1364,304,"Ridger",,0,0
10014,4,1,104,2,1364,305,"Planter",,0,0
10014,4,1,104,2,1364,306,"Pickup",,0,0
10014,4,1,104,2,1364,307,"Harvester",,0,0
10014,4,1,104,2,1364,308,"Water pump",,0,0
10014,4,1,104,2,1364,309,"Sprinkler",,0,0
10014,4,1,104,2,1364,310,"Other animal drawn e",,0,0
10014,4,1,104,2,1364,311,"Other tractor drawn",,0,0
10014,4,1,104,2,1364,312,"Sprayer",,0,0
10014,4,1,104,2,1364,313,"Outboard motor",,0,0
10014,4,1,104,2,1364,314,"Canoe",,0,0
10014,4,1,104,2,1364,315,"Boat",,0,0
10014,4,1,104,2,1364,316,"Fishing net",,0,0
10014,4,1,104,2,1364,317,"Safety equipment(fis",,0,0
10014,4,1,104,2,1364,318,"Wheelbarrow",,0,0
10014,4,1,104,2,1364,319,"Cutlass",,1,0
10014,4,1,104,2,1364,320,"Hoe",,1,0
10014,4,1,104,2,1364,321,"Sickle",,0,0
10014,4,1,104,2,1364,322,"Other (Specify)1",,,
10015,4,1,104,2,1364,301,"Tractor",,0,0
10015,4,1,104,2,1364,302,"Plough",,0,0
10015,4,1,104,2,1364,303,"Trailer/Cart",,0,0
10015,4,1,104,2,1364,304,"Ridger",,0,0
10015,4,1,104,2,1364,305,"Planter",,0,0
10015,4,1,104,2,1364,306,"Pickup",,0,0
10015,4,1,104,2,1364,307,"Harvester",,0,0
10015,4,1,104,2,1364,308,"Water pump",,0,0
10015,4,1,104,2,1364,309,"Sprinkler",,0,0
10015,4,1,104,2,1364,310,"Other animal drawn e",,0,0
10015,4,1,104,2,1364,311,"Other tractor drawn",,0,0
10015,4,1,104,2,1364,312,"Sprayer",,0,0
10015,4,1,104,2,1364,313,"Outboard motor",,0,0
10015,4,1,104,2,1364,314,"Canoe",,0,0
10015,4,1,104,2,1364,315,"Boat",,0,0
10015,4,1,104,2,1364,316,"Fishing net",,0,0
10015,4,1,104,2,1364,317,"Safety equipment(fis",,0,0
10015,4,1,104,2,1364,318,"Wheelbarrow",,0,0
10015,4,1,104,2,1364,319,"Cutlass",,1,0
10015,4,1,104,2,1364,320,"Hoe","1 BIG;1 SMALL",2,0
10015,4,1,104,2,1364,321,"Sickle",,0,0
10015,4,1,104,2,1364,322,"Other (Specify)1",,,
10016,4,1,104,2,1364,301,"Tractor",,0,0
10016,4,1,104,2,1364,302,"Plough",,0,0
10016,4,1,104,2,1364,303,"Trailer/Cart",,0,0
10016,4,1,104,2,1364,304,"Ridger",,0,0
10016,4,1,104,2,1364,305,"Planter",,0,0
10016,4,1,104,2,1364,306,"Pickup",,0,0
10016,4,1,104,2,1364,307,"Harvester",,0,0
10016,4,1,104,2,1364,308,"Water pump",,0,0
10016,4,1,104,2,1364,309,"Sprinkler",,0,0
10016,4,1,104,2,1364,310,"Other animal drawn e",,0,0
10016,4,1,104,2,1364,311,"Other tractor drawn",,0,0
10016,4,1,104,2,1364,312,"Sprayer",,0,0
10016,4,1,104,2,1364,313,"Outboard motor",,0,0
10016,4,1,104,2,1364,314,"Canoe",,0,0
10016,4,1,104,2,1364,315,"Boat",,0,0
10016,4,1,104,2,1364,316,"Fishing net",,0,0
10016,4,1,104,2,1364,317,"Safety equipment(fis",,0,0
10016,4,1,104,2,1364,318,"Wheelbarrow",,0,0
10016,4,1,104,2,1364,319,"Cutlass",,3,0
10016,4,1,104,2,1364,320,"Hoe",,4,0
10016,4,1,104,2,1364,321,"Sickle",,0,0
10016,4,1,104,2,1364,322,"Other (Specify)1",,,
10018,4,1,104,2,1364,301,"Tractor",,0,0
10018,4,1,104,2,1364,302,"Plough",,0,0
10018,4,1,104,2,1364,303,"Trailer/Cart",,0,0
10018,4,1,104,2,1364,304,"Ridger",,0,0
10018,4,1,104,2,1364,305,"Planter",,0,0
10018,4,1,104,2,1364,306,"Pickup",,0,0
10018,4,1,104,2,1364,307,"Harvester",,0,0
10018,4,1,104,2,1364,308,"Water pump",,0,0
10018,4,1,104,2,1364,309,"Sprinkler",,0,0
10018,4,1,104,2,1364,310,"Other animal drawn e",,0,0
10018,4,1,104,2,1364,311,"Other tractor drawn",,0,0
10018,4,1,104,2,1364,312,"Sprayer",,0,0
10018,4,1,104,2,1364,313,"Outboard motor",,0,0
10018,4,1,104,2,1364,314,"Canoe",,0,0
10018,4,1,104,2,1364,315,"Boat",,0,0
10018,4,1,104,2,1364,316,"Fishing net",,0,0
10018,4,1,104,2,1364,317,"Safety equipment(fis",,0,0
10018,4,1,104,2,1364,318,"Wheelbarrow",,0,0
10018,4,1,104,2,1364,319,"Cutlass",,2,0
10018,4,1,104,2,1364,321,"Sickle",,0,0
10018,4,1,104,2,1364,322,"Other (Specify)1",,,
10019,4,1,104,2,1364,301,"Tractor",,0,0
10019,4,1,104,2,1364,302,"Plough",,0,0
10019,4,1,104,2,1364,303,"Trailer/Cart",,0,0
10019,4,1,104,2,1364,304,"Ridger",,0,0
10019,4,1,104,2,1364,305,"Planter",,0,0
10019,4,1,104,2,1364,306,"Pickup",,0,0
10019,4,1,104,2,1364,307,"Harvester",,0,0
10019,4,1,104,2,1364,308,"Water pump",,0,0
10019,4,1,104,2,1364,309,"Sprinkler",,0,0
10019,4,1,104,2,1364,310,"Other animal drawn e",,0,0
10019,4,1,104,2,1364,311,"Other tractor drawn",,0,0
10019,4,1,104,2,1364,312,"Sprayer",,0,0
10019,4,1,104,2,1364,313,"Outboard motor",,0,0
10019,4,1,104,2,1364,314,"Canoe",,0,0
10019,4,1,104,2,1364,315,"Boat",,0,0
10019,4,1,104,2,1364,316,"Fishing net",,0,0
10019,4,1,104,2,1364,317,"Safety equipment(fis",,0,0
10019,4,1,104,2,1364,318,"Wheelbarrow",,0,0
10019,4,1,104,2,1364,319,"Cutlass","1 BIG;1 SMALL",2,0
10019,4,1,104,2,1364,320,"Hoe","1 BIG;1 SMALL",2,0
10019,4,1,104,2,1364,321,"Sickle",,0,0
10019,4,1,104,2,1364,322,"Other (Specify)1",,,
10021,4,1,106,2,880,301,"Tractor",,0,0
10021,4,1,106,2,880,302,"Plough",,0,0
10021,4,1,106,2,880,303,"Trailer/Cart",,0,0
10021,4,1,106,2,880,304,"Ridger",,0,0
10021,4,1,106,2,880,305,"Planter",,0,0
10021,4,1,106,2,880,306,"Pickup",,0,0
10021,4,1,106,2,880,307,"Harvester",,0,0
10021,4,1,106,2,880,308,"Water pump",,0,0
10021,4,1,106,2,880,309,"Sprinkler",,0,0
10021,4,1,106,2,880,310,"Other animal drawn e",,0,0
10021,4,1,106,2,880,311,"Other tractor drawn",,0,0
10021,4,1,106,2,880,312,"Sprayer",,0,0
10021,4,1,106,2,880,313,"Outboard motor",,0,0
10021,4,1,106,2,880,314,"Canoe",,0,0
10021,4,1,106,2,880,315,"Boat",,0,0
10021,4,1,106,2,880,316,"Fishing net",,0,0
10021,4,1,106,2,880,317,"Safety equipment(fis",,0,0
10021,4,1,106,2,880,318,"Wheelbarrow",,0,0
10021,4,1,106,2,880,319,"Cutlass","2 BIG,ONE SMALL",3,0
10021,4,1,106,2,880,320,"Hoe","2 BIG, ONE SMALL",3,0
10021,4,1,106,2,880,321,"Sickle",,0,0
10021,4,1,106,2,880,322,"Other (Specify)1",,,
10022,4,1,106,2,880,301,"Tractor",,0,0
10022,4,1,106,2,880,302,"Plough",,0,0
10022,4,1,106,2,880,303,"Trailer/Cart",,0,0
10022,4,1,106,2,880,304,"Ridger",,0,0
10022,4,1,106,2,880,305,"Planter",,0,0
10022,4,1,106,2,880,306,"Pickup",,0,0
10022,4,1,106,2,880,307,"Harvester",,0,0
10022,4,1,106,2,880,308,"Water pump",,0,0
10022,4,1,106,2,880,309,"Sprinkler",,0,0
10022,4,1,106,2,880,310,"Other animal drawn e",,0,0
10022,4,1,106,2,880,311,"Other tractor drawn",,0,0
10022,4,1,106,2,880,312,"Sprayer",,0,0
10022,4,1,106,2,880,313,"Outboard motor",,0,0
10022,4,1,106,2,880,314,"Canoe",,0,0
10022,4,1,106,2,880,315,"Boat",,0,0
10022,4,1,106,2,880,316,"Fishing net",,0,0
10022,4,1,106,2,880,317,"Safety equipment(fis",,0,0
10022,4,1,106,2,880,318,"Wheelbarrow",,0,0
10022,4,1,106,2,880,319,"Cutlass","2 BIG,I SMALL",3,0
10022,4,1,106,2,880,320,"Hoe","2 MEDIUM,2 SMALL",4,0
10022,4,1,106,2,880,321,"Sickle",,0,0
10022,4,1,106,2,880,322,"Other (Specify)1",,,
10023,4,1,106,2,880,301,"Tractor",,0,0
10023,4,1,106,2,880,302,"Plough",,0,0
10023,4,1,106,2,880,303,"Trailer/Cart",,0,0
10023,4,1,106,2,880,304,"Ridger",,0,0
10023,4,1,106,2,880,305,"Planter",,0,0
10023,4,1,106,2,880,306,"Pickup",,0,0
10023,4,1,106,2,880,307,"Harvester",,0,0
10023,4,1,106,2,880,308,"Water pump",,0,0
10023,4,1,106,2,880,309,"Sprinkler",,0,0
10023,4,1,106,2,880,310,"Other animal drawn e",,0,0
10023,4,1,106,2,880,311,"Other tractor drawn",,0,0
10023,4,1,106,2,880,312,"Sprayer",,0,0
10023,4,1,106,2,880,313,"Outboard motor",,0,0
10023,4,1,106,2,880,314,"Canoe",,0,0
10023,4,1,106,2,880,315,"Boat",,0,0
10023,4,1,106,2,880,316,"Fishing net",,0,0
10023,4,1,106,2,880,317,"Safety equipment(fis",,0,0
10023,4,1,106,2,880,318,"Wheelbarrow",,0,0
10023,4,1,106,2,880,319,"Cutlass","1 BIG,I SMALL",2,0
10023,4,1,106,2,880,320,"Hoe","1 BIG;1 MEDIUM",2,0
10023,4,1,106,2,880,321,"Sickle",,0,0
10023,4,1,106,2,880,322,"Other (Specify)1",,,
10024,4,1,106,2,880,301,"Tractor",,0,0
10024,4,1,106,2,880,302,"Plough",,0,0
10024,4,1,106,2,880,303,"Trailer/Cart",,0,0
10024,4,1,106,2,880,304,"Ridger",,0,0
10024,4,1,106,2,880,305,"Planter",,0,0
10024,4,1,106,2,880,306,"Pickup",,0,0
10024,4,1,106,2,880,307,"Harvester",,0,0
10024,4,1,106,2,880,308,"Water pump",,0,0
10024,4,1,106,2,880,309,"Sprinkler",,0,0
10024,4,1,106,2,880,310,"Other animal drawn e",,0,0
10024,4,1,106,2,880,311,"Other tractor drawn",,0,0
10024,4,1,106,2,880,312,"Sprayer",,0,0
10024,4,1,106,2,880,313,"Outboard motor",,0,0
10024,4,1,106,2,880,314,"Canoe",,0,0
10024,4,1,106,2,880,315,"Boat",,0,0
10024,4,1,106,2,880,316,"Fishing net",,0,0
10024,4,1,106,2,880,317,"Safety equipment(fis",,0,0
10024,4,1,106,2,880,318,"Wheelbarrow",,0,0
10024,4,1,106,2,880,319,"Cutlass",,1,0
10024,4,1,106,2,880,320,"Hoe",,2,0
10024,4,1,106,2,880,321,"Sickle",,0,0
10024,4,1,106,2,880,322,"Other (Specify)1",,,
10025,4,1,106,2,880,301,"Tractor",,0,0
10025,4,1,106,2,880,302,"Plough",,0,0
10025,4,1,106,2,880,303,"Trailer/Cart",,0,0
10025,4,1,106,2,880,304,"Ridger",,0,0
10025,4,1,106,2,880,305,"Planter",,0,0
10025,4,1,106,2,880,306,"Pickup",,0,0
10025,4,1,106,2,880,307,"Harvester",,0,0
10025,4,1,106,2,880,308,"Water pump",,0,0
10025,4,1,106,2,880,309,"Sprinkler",,0,0
10025,4,1,106,2,880,310,"Other animal drawn e",,0,0
10025,4,1,106,2,880,311,"Other tractor drawn",,0,0
10025,4,1,106,2,880,312,"Sprayer",,0,0
10025,4,1,106,2,880,313,"Outboard motor",,0,0
10025,4,1,106,2,880,314,"Canoe",,0,0
10025,4,1,106,2,880,315,"Boat",,0,0
10025,4,1,106,2,880,316,"Fishing net",,0,0
10025,4,1,106,2,880,317,"Safety equipment(fis",,0,0
10025,4,1,106,2,880,318,"Wheelbarrow",,0,0
10025,4,1,106,2,880,319,"Cutlass",,3,0
10025,4,1,106,2,880,320,"Hoe",,2,0
10025,4,1,106,2,880,321,"Sickle",,0,0
10025,4,1,106,2,880,322,"Other (Specify)1",,,
10026,4,1,106,2,880,301,"Tractor",,0,0
10026,4,1,106,2,880,302,"Plough",,0,0
10026,4,1,106,2,880,303,"Trailer/Cart",,0,0
10026,4,1,106,2,880,304,"Ridger",,0,0
10026,4,1,106,2,880,305,"Planter",,0,0
10026,4,1,106,2,880,306,"Pickup",,0,0
10026,4,1,106,2,880,307,"Harvester",,0,0
10026,4,1,106,2,880,308,"Water pump",,0,0
10026,4,1,106,2,880,309,"Sprinkler",,0,0
10026,4,1,106,2,880,310,"Other animal drawn e",,0,0
10026,4,1,106,2,880,311,"Other tractor drawn",,0,0
10026,4,1,106,2,880,312,"Sprayer",,0,0
10026,4,1,106,2,880,313,"Outboard motor",,0,0
10026,4,1,106,2,880,314,"Canoe",,0,0
10026,4,1,106,2,880,315,"Boat",,0,0
10026,4,1,106,2,880,316,"Fishing net",,0,0
10026,4,1,106,2,880,317,"Safety equipment(fis",,0,0
10026,4,1,106,2,880,318,"Wheelbarrow",,0,0
10026,4,1,106,2,880,319,"Cutlass",,1,0
10026,4,1,106,2,880,320,"Hoe",,3,0
10026,4,1,106,2,880,321,"Sickle",,0,0
10026,4,1,106,2,880,322,"Other (Specify)1",,,
10027,4,1,106,2,880,301,"Tractor",,0,0
10027,4,1,106,2,880,302,"Plough",,0,0
10027,4,1,106,2,880,303,"Trailer/Cart",,0,0
10027,4,1,106,2,880,304,"Ridger",,0,0
10027,4,1,106,2,880,305,"Planter",,0,0
10027,4,1,106,2,880,306,"Pickup",,0,0
10027,4,1,106,2,880,307,"Harvester",,0,0
10027,4,1,106,2,880,308,"Water pump",,0,0
10027,4,1,106,2,880,309,"Sprinkler",,0,0
10027,4,1,106,2,880,310,"Other animal drawn e",,0,0
10027,4,1,106,2,880,311,"Other tractor drawn",,0,0
10027,4,1,106,2,880,312,"Sprayer",,0,0
10027,4,1,106,2,880,313,"Outboard motor",,0,0
10027,4,1,106,2,880,314,"Canoe",,0,0
10027,4,1,106,2,880,315,"Boat",,0,0
10027,4,1,106,2,880,316,"Fishing net",,0,0
10027,4,1,106,2,880,317,"Safety equipment(fis",,0,0
10027,4,1,106,2,880,318,"Wheelbarrow",,0,0
10027,4,1,106,2,880,319,"Cutlass","WOODEN HEAD",2,0
10027,4,1,106,2,880,320,"Hoe","ROUND BLADE",4,0
10027,4,1,106,2,880,321,"Sickle",,0,0
10027,4,1,106,2,880,322,"Other (Specify)1",,,
10028,4,1,106,2,880,301,"Tractor",,,0
10028,4,1,106,2,880,302,"Plough",,,0
10028,4,1,106,2,880,303,"Trailer/Cart",,,0
10028,4,1,106,2,880,304,"Ridger",,,0
10028,4,1,106,2,880,305,"Planter",,,0
10028,4,1,106,2,880,306,"Pickup",,,0
10028,4,1,106,2,880,307,"Harvester",,,0
10028,4,1,106,2,880,308,"Water pump",,,0
10028,4,1,106,2,880,309,"Sprinkler",,,0
10028,4,1,106,2,880,310,"Other animal drawn e",,,0
10028,4,1,106,2,880,311,"Other tractor drawn",,,0
10028,4,1,106,2,880,312,"Sprayer",,,0
10028,4,1,106,2,880,313,"Outboard motor",,,0
10028,4,1,106,2,880,314,"Canoe",,,0
10028,4,1,106,2,880,315,"Boat",,,0
10028,4,1,106,2,880,316,"Fishing net",,,0
10028,4,1,106,2,880,317,"Safety equipment(fis",,,0
10028,4,1,106,2,880,318,"Wheelbarrow",,,0
10028,4,1,106,2,880,319,"Cutlass",,,0
10028,4,1,106,2,880,320,"Hoe",,,0
10028,4,1,106,2,880,321,"Sickle",,,0
10028,4,1,106,2,880,322,"Other (Specify)1",,,
10029,4,1,106,2,880,301,"Tractor",,0,0
10029,4,1,106,2,880,302,"Plough",,0,0
10029,4,1,106,2,880,303,"Trailer/Cart",,0,0
10029,4,1,106,2,880,304,"Ridger",,0,0
10029,4,1,106,2,880,305,"Planter",,0,0
10029,4,1,106,2,880,306,"Pickup",,0,0
10029,4,1,106,2,880,307,"Harvester",,0,0
10029,4,1,106,2,880,308,"Water pump",,0,0
10029,4,1,106,2,880,309,"Sprinkler",,0,0
10029,4,1,106,2,880,310,"Other animal drawn e",,0,0
10029,4,1,106,2,880,311,"Other tractor drawn",,0,0
10029,4,1,106,2,880,312,"Sprayer",,0,0
10029,4,1,106,2,880,313,"Outboard motor",,0,0
10029,4,1,106,2,880,314,"Canoe",,0,0
10029,4,1,106,2,880,315,"Boat",,0,0
10029,4,1,106,2,880,316,"Fishing net",,0,0
10029,4,1,106,2,880,317,"Safety equipment(fis",,0,0
10029,4,1,106,2,880,318,"Wheelbarrow",,0,0
10029,4,1,106,2,880,319,"Cutlass","1 BIG;1 SMALL",2,0
10029,4,1,106,2,880,320,"Hoe",,1,0
10029,4,1,106,2,880,321,"Sickle",,0,0
10029,4,1,106,2,880,322,"Other (Specify)1","SHOVEL",1,0
10030,4,1,106,2,880,301,"Tractor",,0,0
10030,4,1,106,2,880,302,"Plough",,0,0
10030,4,1,106,2,880,303,"Trailer/Cart",,0,0
