"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","sa3q3","sa3q4","sa3q4b","sa3q5a","sa3q5b","sa3q6a1","sa3q6a2","sa3q6b1","sa3q6b2","sa3q7","sa3q8a","sa3q8b","sa3q9","sa3q10","sa3q11a","sa3q11b","sa3q12","sa3q12b1","sa3q12b2","sa3q12c1","sa3q12c2","sa3q13","sa3q14","sa3q15a","sa3q15b","sa3q15c","sa3q16a","sa3q16b","sa3q17","sa3q17b1","sa3q17b2","sa3q18","tracked_obs"
4,1,106,2,880,10021,2,3,"OIL PALM TREE",3180,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,3,1,"PINE APPLE",2160,1,,,1800,3,18,33,1,2,2,,,1,"N3",16,33,,1,2,1,2,1,1,"N3",,,18,33,27000,1,2,27000,0
4,1,106,2,880,10021,3,2,"PLANTAIN",2170,1,,,100,3,12,42,1,2,2,,,1,"N2",8,42,11500,1,2,1,2,1,1,"N2",,,8,42,11500,1,2,15000,0
4,1,106,2,880,10021,3,3,"OIL PALM TREE",3180,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,2,"MAIZE",1080,1,,,1300,3,10,31,1,2,2,,,1,"N1",7,31,3500,1,2,1,2,1,1,"N1",,,7,31,3500,1,2,5000,0
4,1,106,2,880,10022,1,3,"OIL PALM TREE",3180,1,,,20,3,4,92,1,2,2,,,2,,,,,,,,,,,,,,,,,,,14000,0
4,1,106,2,880,10022,2,1,"YAM",1120,1,,,100,1,14,31,1,2,2,,,1,"N1",10,31,20500,1,2,1,2,1,1,"N1",,,10,31,20500,1,2,28700,0
4,1,106,2,880,10022,2,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,2,3,"MAIZE",1080,1,,,800,3,8,31,1,2,2,,,1,"N1",6,31,3000,1,2,1,2,1,1,"N1",,,6,31,3000,1,2,4000,0
4,1,106,2,880,10022,2,4,"PUMKIN",2193,1,,,100,1,12,62,1,2,2,,,1,"N1",10,62,1500,1,2,1,2,1,1,"N1",,,10,62,1500,1,2,1800,0
4,1,106,2,880,10022,3,1,"MAIZE",1080,1,,,1050,3,13,31,1,2,2,,,1,"N1",10,31,5000,1,2,1,2,1,1,"N1",,,10,31,5000,1,2,6500,0
4,1,106,2,880,10022,3,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,3,3,"MELON",1092,1,,,700,1,10,31,1,2,2,,,1,"N1",8,31,20000,1,2,1,2,1,1,"N1",,,8,31,20000,1,2,25000,0
4,1,106,2,880,10023,1,1,"THREE LEAF YAM",1124,1,,,50,1,8,32,1,2,2,,,1,"N1",4,32,4200,1,2,1,2,1,1,"N1",,,7,32,4200,1,2,8400,0
4,1,106,2,880,10023,1,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,3,"MAIZE",1080,1,,,800,3,14,32,1,2,2,,,1,"N1",10,32,5000,1,2,1,2,1,1,"N1",,,10,32,5000,1,2,7000,0
4,1,106,2,880,10023,1,4,"PUMKIN",2190,1,,,30,1,8,61,1,2,2,,,1,"N1",6,61,900,1,2,1,2,1,1,"N1",,,6,61,900,1,2,1200,0
4,1,106,2,880,10023,2,1,"PINEAPPLE",2160,1,,,2500,3,18,32,1,2,2,,,1,"N1",15,32,12000,1,2,1,2,1,1,"N1",,,15,32,12000,1,2,14400,0
4,1,106,2,880,10023,2,2,"PLANTAIN",2170,1,,,38,3,4,42,1,2,2,,,1,"N1",2,42,2000,1,2,1,2,1,1,"N1",,,2,42,2000,1,2,4000,0
4,1,106,2,880,10023,3,1,"YAM",1120,1,,,60,1,9,32,1,2,2,,,1,"N1",5,32,12500,1,2,1,2,1,1,"N1",,,5,32,12500,1,2,20000,0
4,1,106,2,880,10023,3,2,"MAIZE",1080,1,,,900,3,12,32,1,2,2,,,1,"N1",8,32,4000,1,2,1,2,1,1,"N1",,,8,32,4000,1,2,6000,0
4,1,106,2,880,10023,3,3,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,3,4,"PUMKIN",2190,1,,,35,1,9,61,1,2,2,,,1,"N1",7,61,1050,1,2,1,2,1,1,"N1",,,7,61,1050,1,2,1350,0
4,1,106,2,880,10024,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,1,2,"YAM",1120,1,,,30,1,1,25,1,2,2,,,2,,,,,,,,,,,,,,,,,,,1000,0
4,1,106,2,880,10025,2,1,"CASSAVA",1020,2,9,,30,1,1,25,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,2,2,"PUMKIN",2193,1,,,20,1,2,61,1,2,2,,,2,,,,,,,,,,,,,,,,,,,800,0
4,1,106,2,880,10026,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,1,1,"PLANTAIN",2170,1,,,1,3,48,1,2,,2,,,1,"N1",30,1,6000,2,,2,1,1,2,,,,,,,,,9600,0
4,1,106,2,880,10027,1,2,"PINEAPPLE",2160,1,,,1,3,70,1,2,,2,,,1,"N1",55,1,5000,2,,2,1,1,2,,,,,,,,,6400,0
4,1,106,2,880,10027,1,3,"OIL PALM TREE",3180,1,,,1,3,25,1,2,,2,,,1,"N1",25,4,,2,,2,1,1,2,,,,,,,,,,0
4,1,106,2,880,10027,1,5,"KOLA NUT TREE",3110,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,2,1,"MAIZE",1080,1,,,670,1,75,1,2,,2,,,1,"N1",50,1,8000,2,,2,1,1,2,,,,,,,,,12000,0
4,1,106,2,880,10027,2,2,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,2,3,"PUMKIN",2190,1,,,32,1,72,1,2,,2,,,1,"N1",61,1,12200,2,,2,1,1,2,,,,,,,,,14400,0
4,1,106,2,880,10027,2,4,"PEPPER",2140,1,,,855,3,5,1,2,,2,,,1,"N1",4,1,750,2,,2,1,1,2,,,,,,,,,1000,0
4,1,106,2,880,10027,2,5,"GARDEN EGG",2080,1,,,980,3,60,1,2,,2,,,1,"N1",60,1,14000,2,,2,1,1,2,,,,,,,,,17500,0
4,1,106,2,880,10027,3,1,"YAM",1120,1,,,75,1,165,1,2,,2,,,1,"N1",99,1,9000,2,,2,1,1,2,,,,,,,,,15000,0
4,1,106,2,880,10027,3,2,"COCOYAM",1040,1,,,80,1,20,1,2,,2,,,1,"N1",12,1,1500,2,,2,1,1,2,,,,,,,,,2500,0
4,1,106,2,880,10027,3,3,"THREE LEAVE YAM",1124,1,,,45,1,480,1,2,,2,,,1,"N1",320,1,2600,2,,2,1,1,2,,,,,,,,,4000,0
4,1,106,2,880,10027,3,4,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,1,"CASSAVA",1020,1,,,150,1,2500,51,1,2,2,,,2,,,,,,,,,,,,,,,,,,,6000,0
4,1,106,2,880,10029,1,2,"MAIZE",1080,1,,,100,3,3,32,1,2,2,,,2,,,,,,,,,,,,,,,,,,,1500,0
4,1,106,2,880,10029,1,3,"PUMKIN",2191,1,,,100,1,3,32,1,2,2,,,2,,,,,,,,,,,,,,,,,,,2500,0
4,1,106,2,880,10029,1,4,"OIL PALM TREE",3180,1,,,20,3,10,42,1,2,2,,,1,"N1",10,42,1500,2,,1,2,1,2,,,,,,,,,1500,0
4,1,106,2,880,10029,1,5,"PLANTAIN",2170,1,,,15,3,2,41,1,2,2,,,2,,,,,,,,,,,,,,,,,,,1500,0
4,1,106,2,880,10029,2,1,"CASSAVA",1020,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,2,"MELON",1090,1,,,100,1,5,13,1,2,2,,,2,,,,,,,,,,,,,,,,,,,500,0
4,1,106,2,880,10029,2,3,"MAIZE",1080,1,,,120,3,2,32,1,2,2,,,2,,,,,,,,,,,,,,,,,,,1500,0
4,1,106,2,880,10029,2,4,"BANANA",2030,1,,,12,3,3,42,1,2,2,,,1,"N2",3,42,2100,2,,1,2,1,2,,,,,,,,,2100,0
4,1,106,2,880,10029,2,5,"OIL PALM TREE",3180,1,,,10,3,10,42,1,2,2,,,1,"N3",10,42,2000,2,,1,2,1,2,,,,,,,,,2000,0
4,1,106,2,880,10030,1,1,"YAM",1120,1,,,200,3,240,1,1,2,2,,,2,,,,,,,,,,,,,,,,,,,25000,0
4,1,106,2,880,10030,1,2,"OIL PALM TREE",3180,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,3,"PLANTAIN",2170,1,,,30,3,250,1,1,2,2,,,1,"N1",9,1,14000,2,,1,2,1,1,"N1",,,5,41,7000,1,2,20000,0
4,1,106,2,880,10030,1,4,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,5,"MAIZE",1080,1,,,100,3,38,1,1,2,2,,,1,"N2",170,1,4000,2,,1,2,1,1,"N2",,,3000,51,4000,1,2,8400,0
4,1,106,2,880,10030,2,1,"MELON",1090,1,,,135,1,10,8,1,2,2,,,1,"N1",8,8,6400,2,,1,2,1,1,"N1",,,6,8,2000,1,2,8000,0
4,1,106,2,880,10030,2,2,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,2,3,"MAIZE",1080,1,,,140,3,250,1,1,2,2,,,1,"N1",8,1,16000,2,,1,2,1,1,"N1",,,5,62,1000,1,2,20000,0
4,1,106,2,880,10030,2,4,"PUMKIN",2190,1,,,50,1,100,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,8000,0
4,1,106,2,880,10030,2,5,"OIL PALM TREE",3180,1,,,1,6,27,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,4000,0
4,1,106,2,880,10030,3,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,3,2,"MAIZE",1080,1,,,130,3,100,1,2,1,2,,,2,,,,,,,,,,,,,,,,,,,3200,0
4,1,106,2,880,10030,4,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,4,2,"THREE LEAVE YAM",1124,1,,,20,1,40,1,1,2,2,,,2,,,,,,,,,,,,,,,,,,,1600,0
4,1,106,2,880,10030,4,3,"OKRO",2120,1,,,85,1,2,8,2,,2,,,2,,,,,,,,,,,,,,,,,,,1500,0
4,1,111,1,1146,10034,1,1,"YAM",1120,1,,,50,1,6,31,1,,2,,,2,,,,,,,,,,,,,,,,,,,18000,0
4,1,111,1,1146,10034,1,2,"MAIZE",1080,1,,,320,3,3,31,1,,2,,,2,,,,,,,,,,,,,,,,,,,1200,0
4,1,111,1,1146,10034,1,3,"PLANTAIN",2170,1,,,100,3,3,41,1,,2,,,2,,,,,,,,,,,,,,,,,,,2400,0
4,1,111,1,1146,10034,1,4,"COCONUT",3050,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10057,1,1,"YAM",1120,1,,,30,1,110,1,1,2,2,,,1,"N1",91,1,9500,2,,1,2,1,2,,,,,,,,,11500,0
4,1,102,1,1690,10057,1,2,"OKRO",2120,1,,,55,3,2,8,1,2,2,,,1,"N2",1,8,800,2,,2,1,1,2,,,,,,,,,1600,0
4,1,102,1,1690,10057,1,3,"PLANTAIN",2170,1,,,4,3,,24,1,,2,,,1,"N2",18,1,4800,2,,2,1,1,2,,,,,,,,,6400,0
4,1,107,2,1044,10061,1,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,2,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,2,2,"MAIZE",1080,1,,,110,3,50,1,1,2,2,,,1,"N1",50,1,6000,2,,1,2,1,2,,,,,,,,,6000,0
4,1,107,2,1044,10061,3,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,3,2,"MAIZE",1080,1,,,96,3,50,1,1,2,2,,,1,"N1",25,1,3000,2,,1,2,1,2,,,,,,,,,6000,0
4,1,107,2,1044,10061,4,1,"YAM",1120,1,,,42,1,110,1,1,2,2,,,1,"N1",7,1,6000,2,,1,2,1,2,,,,,,,,,8400,0
4,1,107,2,1044,10061,4,2,"PUMKIN",2190,1,,,14,1,122,1,2,,2,,,1,"N1",99,1,7600,2,,1,2,1,2,,,,,,,,,9400,0
4,1,107,2,1044,10061,4,3,"PEPPER",2140,1,,,40,1,3,8,2,,2,,,1,"N1",2,8,3000,2,,1,2,1,2,,,,,,,,,4500,0
4,1,107,2,1044,10061,4,4,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,2,"MAIZE",1080,1,,,1200,3,100,1,1,,2,,,2,,,,,,,,,,,,,,,,,,,6000,0
4,1,107,2,1044,10062,1,3,"PUMKIN",2190,1,,,25,1,130,1,1,,2,,,1,"N1",104,1,6000,1,,1,,1,2,,,,,,,,,,0
4,1,107,2,1044,10062,1,4,"MELON",1090,1,,,100,1,4,8,1,,2,,,2,,,,,,,,,,,,,,,,,,,2400,0
4,1,107,2,1044,10062,2,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,2,2,"MAIZE",1080,1,,,200,3,75,1,1,,2,,,1,"N2",75,1,4500,1,,1,,1,2,,,,,,,,,4500,0
4,1,107,2,1044,10062,2,3,"PUMKIM",2190,1,,,14,1,78,1,1,,2,,,1,"N2",78,1,4500,1,,1,,1,2,,,,,,,,,4500,0
4,1,107,2,1044,10062,2,4,"MELON",1090,1,,,25,1,,,,,,,,1,,2,8,1200,1,,1,,1,2,,,,,,,,,1200,0
4,1,107,2,1044,10062,3,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,4,1,"FALLLOW",9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,1,2,"MAIZE",1080,1,,,800,3,5,31,1,3,2,,,2,,,,,,,,,,,,,,,,,,,1500,0
4,1,107,2,1044,10063,1,3,"PUMKIN",2190,1,,,40,1,6,61,1,3,2,,,1,"N1",5,61,750,3,4,3,4,1,1,"N1",,,5,61,,75,0,900,0
4,1,107,2,1044,10063,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,2,2,"MAIZE",1080,1,,,550,3,3,31,1,3,2,,,2,,,,,,,,,,,,,,,,,,,1200,0
4,1,107,2,1044,10063,2,3,"PUMKIN",2190,1,,,50,3,7,61,1,3,2,,,1,"N2",6,61,900,3,4,3,4,1,1,"N2",,,6,61,900,3,4,1200,0
4,1,107,2,1044,10063,2,4,"OIL PALM TREE",3180,1,,,50,3,3,92,1,3,2,,,2,,,,,,,,,,,,,,,,,,,10650,0
4,1,107,2,1044,10063,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,3,2,"MAIZE",1080,1,,,1000,3,8,31,1,3,2,,,1,"N2",,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,1,1,"THREE LEAVE YAM",1124,1,,,50,1,8,31,1,2,2,,,2,,,,,,,,,,,,,,,,,,,9600,0
4,1,107,2,1044,10064,1,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,1,3,"PLANTAIN",2170,1,,,130,3,6,42,1,2,2,,,1,"N1",4,42,3200,20,,2,,1,2,,,,,,,,,4800,0
4,1,107,2,1044,10064,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,2,2,"GARDEN EGG",2080,1,,,1000,3,12,21,1,2,2,,,1,"N1",10,21,5000,2,,2,,1,2,,,,,,,,,6000,0
4,1,107,2,1044,10064,2,3,"PUMKIN",2190,1,,,50,3,10,61,1,2,2,,,1,"N1",8,61,1600,2,,2,,1,2,,,,,,,,,2000,0
4,1,107,2,1044,10064,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,3,2,"MAIZE",1080,1,,,1000,3,8,25,1,2,2,,,1,"N1",6,25,2400,2,,2,,1,2,,,,,,,,,3200,0
4,1,107,2,1044,10065,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,1,2,"MAIZE",1080,1,,,1000,3,3,31,1,2,2,,,1,"N1",2,31,800,1,2,1,2,1,2,,,,,,,,,1200,0
4,1,107,2,1044,10065,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,2,2,"MAIZE",1080,1,,,700,3,1,31,1,2,2,,,1,"N1",1,31,40,1,2,1,2,1,2,,,,,,,,,,0
4,1,107,2,1044,10065,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,3,2,"MAIZE",1080,1,,,1000,3,3,31,1,2,2,,,1,"N1",2,31,800,1,2,1,2,1,2,,,,,,,,,1200,0
4,1,107,2,1044,10065,3,3,"PUMKIN",2190,1,,,50,3,8,61,1,2,2,,,1,"N1",6,61,900,1,2,1,2,1,2,,,,,,,,,1200,0
4,1,107,2,1044,10065,3,4,"OIL PALM TREE",3180,1,,,40,3,4,92,1,2,2,,,2,,,,,,,,,,,,,,,,,,,14000,0
4,1,107,2,1044,10066,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,1,2,"MAIZE",1080,1,,,100,3,6,32,2,,2,,,1,"N1",5,32,5000,2,,2,,1,2,,,,,,,,,5000,0
4,1,107,2,1044,10066,1,3,"MELON",1090,1,,,20,1,3,31,2,,2,,,1,"N2",3,31,2000,2,,2,,1,2,,,,,,,,,2500,0
4,1,107,2,1044,10066,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,2,2,"MAIZE",1080,1,,,80,3,4,32,2,,2,,,1,"N1",4,32,2000,2,,2,,1,2,,,,,,,,,2500,0
4,1,107,2,1044,10066,2,3,"MELON",1090,1,,,30,1,2,31,2,,2,,,1,"N2",2,31,1000,2,,2,,1,2,,,,,,,,,1000,0
4,1,107,2,1044,10066,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,3,2,"PUMKIN",2190,1,,,30,1,17,61,2,,2,,,1,"N2",17,61,10000,2,,2,,1,2,,,,,,,,,10000,0
4,1,107,2,1044,10067,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10067,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10067,2,2,"MAIZE",1080,1,,,70,3,3,32,2,,2,,,1,"N1",3,32,2000,2,,1,2,1,2,,,,,,,,,2000,0
4,1,107,2,1044,10067,2,3,"PUMKIN",2190,1,,,32,1,12,61,2,,2,,,1,"N1",12,61,2000,2,,1,2,1,2,,,,,,,,,2000,0
4,1,107,2,1044,10067,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10067,3,2,"MAIZE",1080,1,,,75,3,3,32,2,,2,,,1,"N1",3,32,2500,2,,1,2,1,2,,,,,,,,,2500,0
4,1,107,2,1044,10067,3,3,"PUMKIN",2190,1,,,30,1,12,61,2,,2,,,1,"N1",12,61,2400,2,,1,2,1,2,,,,,,,,,2400,0
4,1,107,2,1044,10067,4,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10068,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10068,1,2,"MAIZE",1080,1,,,80,3,5,26,1,,2,,,1,"N1",5,26,6000,1,,1,,1,2,,,,,,,,,6000,0
4,1,107,2,1044,10068,1,3,"UGU",2193,1,,,30,1,7,61,1,,2,,,1,"N1",7,61,2000,1,,1,,1,2,,,,,,,,,2000,0
4,1,107,2,1044,10068,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10068,2,2,"MAIZE",1080,1,,,70,3,5,26,1,,2,,,1,"N1",5,26,4000,1,,1,,1,2,,,,,,,,,4000,0
4,1,107,2,1044,10068,2,3,"UGU",2193,1,,,40,1,8,61,1,,2,,,1,"N1",8,61,2500,1,,1,,1,2,,,,,,,,,2500,0
4,1,107,2,1044,10069,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,4,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10069,4,2,"MAIZE",1080,1,,,150,3,4,26,1,2,2,,,1,"N1",2,26,1000,1,2,1,3,1,2,,,,,,,,,3000,0
