"zone","state","lga","sector","ea","hhid","topic_cd","topic_desc","topic_other","sa5aq1","sa5aq2","sa5aq2b","tracked_obs"
4,1,104,2,1364,10016,2,"Pest Control",,2,,,0
4,1,104,2,1364,10016,3,"Fertilizer Use",,2,,,0
4,1,104,2,1364,10016,4,"Irrigation",,2,,,0
4,1,104,2,1364,10016,5,"Composting (Manure)",,2,,,0
4,1,104,2,1364,10016,6,"Marketing/Crop Sales",,2,,,0
4,1,104,2,1364,10016,7,"Growing/Selling Toba",,2,,,0
4,1,104,2,1364,10016,8,"Access to Credit",,2,,,0
4,1,104,2,1364,10016,9,"Forestry",,2,,,0
4,1,104,2,1364,10016,10,"General Animal Care",,2,,,0
4,1,104,2,1364,10016,11,"Animal Diseases / Va",,2,,,0
4,1,104,2,1364,10016,12,"Fishery Production",,2,,,0
4,1,104,2,1364,10016,13,"Other (specify)",,2,,,0
4,1,104,2,1364,10018,1,"New Seed Varieties",,2,,,0
4,1,104,2,1364,10018,2,"Pest Control",,2,,,0
4,1,104,2,1364,10018,3,"Fertilizer Use",,2,,,0
4,1,104,2,1364,10018,4,"Irrigation",,2,,,0
4,1,104,2,1364,10018,5,"Composting (Manure)",,2,,,0
4,1,104,2,1364,10018,6,"Marketing/Crop Sales",,2,,,0
4,1,104,2,1364,10018,7,"Growing/Selling Toba",,2,,,0
4,1,104,2,1364,10018,8,"Access to Credit",,2,,,0
4,1,104,2,1364,10018,9,"Forestry",,2,,,0
4,1,104,2,1364,10018,10,"General Animal Care",,2,,,0
4,1,104,2,1364,10018,11,"Animal Diseases / Va",,2,,,0
4,1,104,2,1364,10018,12,"Fishery Production",,2,,,0
4,1,104,2,1364,10018,13,"Other (specify)",,2,,,0
4,1,104,2,1364,10019,1,"New Seed Varieties",,2,,,0
4,1,104,2,1364,10019,2,"Pest Control",,2,,,0
4,1,104,2,1364,10019,3,"Fertilizer Use",,2,,,0
4,1,104,2,1364,10019,4,"Irrigation",,2,,,0
4,1,104,2,1364,10019,5,"Composting (Manure)",,2,,,0
4,1,104,2,1364,10019,6,"Marketing/Crop Sales",,2,,,0
4,1,104,2,1364,10019,7,"Growing/Selling Toba",,2,,,0
4,1,104,2,1364,10019,8,"Access to Credit",,2,,,0
4,1,104,2,1364,10019,9,"Forestry",,2,,,0
4,1,104,2,1364,10019,10,"General Animal Care",,2,,,0
4,1,104,2,1364,10019,11,"Animal Diseases / Va",,2,,,0
4,1,104,2,1364,10019,12,"Fishery Production",,2,,,0
4,1,104,2,1364,10019,13,"Other (specify)",,2,,,0
4,1,106,2,880,10021,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10021,2,"Pest Control",,2,,,0
4,1,106,2,880,10021,3,"Fertilizer Use",,2,,,0
4,1,106,2,880,10021,4,"Irrigation",,2,,,0
4,1,106,2,880,10021,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10021,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10021,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10021,8,"Access to Credit",,2,,,0
4,1,106,2,880,10021,9,"Forestry",,2,,,0
4,1,106,2,880,10021,10,"General Animal Care",,2,,,0
4,1,106,2,880,10021,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10021,12,"Fishery Production",,2,,,0
4,1,106,2,880,10021,13,"Other (specify)",,2,,,0
4,1,106,2,880,10022,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10022,2,"Pest Control",,2,,,0
4,1,106,2,880,10022,3,"Fertilizer Use",,2,,,0
4,1,106,2,880,10022,4,"Irrigation",,2,,,0
4,1,106,2,880,10022,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10022,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10022,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10022,8,"Access to Credit",,2,,,0
4,1,106,2,880,10022,9,"Forestry",,2,,,0
4,1,106,2,880,10022,10,"General Animal Care",,2,,,0
4,1,106,2,880,10022,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10022,12,"Fishery Production",,2,,,0
4,1,106,2,880,10022,13,"Other (specify)",,2,,,0
4,1,106,2,880,10023,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10023,2,"Pest Control",,2,,,0
4,1,106,2,880,10023,3,"Fertilizer Use",,2,,,0
4,1,106,2,880,10023,4,"Irrigation",,2,,,0
4,1,106,2,880,10023,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10023,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10023,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10023,8,"Access to Credit",,2,,,0
4,1,106,2,880,10023,9,"Forestry",,2,,,0
4,1,106,2,880,10023,10,"General Animal Care",,2,,,0
4,1,106,2,880,10023,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10023,12,"Fishery Production",,2,,,0
4,1,106,2,880,10023,13,"Other (specify)",,2,,,0
4,1,106,2,880,10024,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10024,2,"Pest Control",,2,,,0
4,1,106,2,880,10024,3,"Fertilizer Use",,2,,,0
4,1,106,2,880,10024,4,"Irrigation",,2,,,0
4,1,106,2,880,10024,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10024,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10024,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10024,8,"Access to Credit",,2,,,0
4,1,106,2,880,10024,9,"Forestry",,2,,,0
4,1,106,2,880,10024,10,"General Animal Care",,2,,,0
4,1,106,2,880,10024,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10024,12,"Fishery Production",,2,,,0
4,1,106,2,880,10024,13,"Other (specify)",,2,,,0
4,1,106,2,880,10025,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10025,2,"Pest Control",,2,,,0
4,1,106,2,880,10025,3,"Fertilizer Use",,1,1,,0
4,1,106,2,880,10025,4,"Irrigation",,2,,,0
4,1,106,2,880,10025,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10025,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10025,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10025,8,"Access to Credit",,2,,,0
4,1,106,2,880,10025,9,"Forestry",,2,,,0
4,1,106,2,880,10025,10,"General Animal Care",,2,,,0
4,1,106,2,880,10025,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10025,12,"Fishery Production",,2,,,0
4,1,106,2,880,10025,13,"Other (specify)",,2,,,0
4,1,106,2,880,10026,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10026,2,"Pest Control",,2,,,0
4,1,106,2,880,10026,3,"Fertilizer Use",,2,,,0
4,1,106,2,880,10026,4,"Irrigation",,2,,,0
4,1,106,2,880,10026,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10026,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10026,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10026,8,"Access to Credit",,2,,,0
4,1,106,2,880,10026,9,"Forestry",,2,,,0
4,1,106,2,880,10026,10,"General Animal Care",,2,,,0
4,1,106,2,880,10026,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10026,12,"Fishery Production",,2,,,0
4,1,106,2,880,10026,13,"Other (specify)",,2,,,0
4,1,106,2,880,10027,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10027,2,"Pest Control",,2,,,0
4,1,106,2,880,10027,3,"Fertilizer Use",,2,,,0
4,1,106,2,880,10027,4,"Irrigation",,2,,,0
4,1,106,2,880,10027,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10027,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10027,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10027,8,"Access to Credit",,2,,,0
4,1,106,2,880,10027,9,"Forestry",,2,,,0
4,1,106,2,880,10027,10,"General Animal Care",,2,,,0
4,1,106,2,880,10027,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10027,12,"Fishery Production",,2,,,0
4,1,106,2,880,10027,13,"Other (specify)",,2,,,0
4,1,106,2,880,10028,1,"New Seed Varieties",,,,,0
4,1,106,2,880,10028,2,"Pest Control",,,,,0
4,1,106,2,880,10028,3,"Fertilizer Use",,,,,0
4,1,106,2,880,10028,4,"Irrigation",,,,,0
4,1,106,2,880,10028,5,"Composting (Manure)",,,,,0
4,1,106,2,880,10028,6,"Marketing/Crop Sales",,,,,0
4,1,106,2,880,10028,7,"Growing/Selling Toba",,,,,0
4,1,106,2,880,10028,8,"Access to Credit",,,,,0
4,1,106,2,880,10028,9,"Forestry",,,,,0
4,1,106,2,880,10028,10,"General Animal Care",,,,,0
4,1,106,2,880,10028,11,"Animal Diseases / Va",,,,,0
4,1,106,2,880,10028,12,"Fishery Production",,,,,0
4,1,106,2,880,10028,13,"Other (specify)",,,,,0
4,1,106,2,880,10029,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10029,2,"Pest Control",,2,,,0
4,1,106,2,880,10029,3,"Fertilizer Use",,2,,,0
4,1,106,2,880,10029,4,"Irrigation",,2,,,0
4,1,106,2,880,10029,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10029,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10029,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10029,8,"Access to Credit",,2,,,0
4,1,106,2,880,10029,9,"Forestry",,2,,,0
4,1,106,2,880,10029,10,"General Animal Care",,2,,,0
4,1,106,2,880,10029,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10029,12,"Fishery Production",,2,,,0
4,1,106,2,880,10029,13,"Other (specify)",,2,,,0
4,1,106,2,880,10030,1,"New Seed Varieties",,2,,,0
4,1,106,2,880,10030,2,"Pest Control",,2,,,0
4,1,106,2,880,10030,3,"Fertilizer Use",,2,,,0
4,1,106,2,880,10030,4,"Irrigation",,2,,,0
4,1,106,2,880,10030,5,"Composting (Manure)",,2,,,0
4,1,106,2,880,10030,6,"Marketing/Crop Sales",,2,,,0
4,1,106,2,880,10030,7,"Growing/Selling Toba",,2,,,0
4,1,106,2,880,10030,8,"Access to Credit",,2,,,0
4,1,106,2,880,10030,9,"Forestry",,2,,,0
4,1,106,2,880,10030,10,"General Animal Care",,2,,,0
4,1,106,2,880,10030,11,"Animal Diseases / Va",,2,,,0
4,1,106,2,880,10030,12,"Fishery Production",,2,,,0
4,1,106,2,880,10030,13,"Other (specify)",,2,,,0
4,1,111,1,1146,10034,1,"New Seed Varieties",,2,,,0
4,1,111,1,1146,10034,2,"Pest Control",,2,,,0
4,1,111,1,1146,10034,3,"Fertilizer Use",,2,,,0
4,1,111,1,1146,10034,4,"Irrigation",,2,,,0
4,1,111,1,1146,10034,5,"Composting (Manure)",,2,,,0
4,1,111,1,1146,10034,6,"Marketing/Crop Sales",,2,,,0
4,1,111,1,1146,10034,7,"Growing/Selling Toba",,2,,,0
4,1,111,1,1146,10034,8,"Access to Credit",,2,,,0
4,1,111,1,1146,10034,9,"Forestry",,2,,,0
4,1,111,1,1146,10034,10,"General Animal Care",,2,,,0
4,1,111,1,1146,10034,11,"Animal Diseases / Va",,2,,,0
4,1,111,1,1146,10034,12,"Fishery Production",,2,,,0
4,1,111,1,1146,10034,13,"Other (specify)",,2,,,0
4,1,102,1,1690,10057,1,"New Seed Varieties",,2,,,0
4,1,102,1,1690,10057,2,"Pest Control",,2,,,0
4,1,102,1,1690,10057,3,"Fertilizer Use",,2,,,0
4,1,102,1,1690,10057,4,"Irrigation",,2,,,0
4,1,102,1,1690,10057,5,"Composting (Manure)",,2,,,0
4,1,102,1,1690,10057,6,"Marketing/Crop Sales",,2,,,0
4,1,102,1,1690,10057,7,"Growing/Selling Toba",,2,,,0
4,1,102,1,1690,10057,8,"Access to Credit",,2,,,0
4,1,102,1,1690,10057,9,"Forestry",,2,,,0
4,1,102,1,1690,10057,10,"General Animal Care",,2,,,0
4,1,102,1,1690,10057,11,"Animal Diseases / Va",,2,,,0
4,1,102,1,1690,10057,12,"Fishery Production",,2,,,0
4,1,102,1,1690,10057,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10061,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10061,2,"Pest Control",,2,,,0
4,1,107,2,1044,10061,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10061,4,"Irrigation",,2,,,0
4,1,107,2,1044,10061,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10061,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10061,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10061,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10061,9,"Forestry",,2,,,0
4,1,107,2,1044,10061,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10061,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10061,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10061,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10062,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10062,2,"Pest Control",,2,,,0
4,1,107,2,1044,10062,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10062,4,"Irrigation",,2,,,0
4,1,107,2,1044,10062,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10062,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10062,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10062,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10062,9,"Forestry",,2,,,0
4,1,107,2,1044,10062,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10062,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10062,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10062,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10063,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10063,2,"Pest Control",,2,,,0
4,1,107,2,1044,10063,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10063,4,"Irrigation",,2,,,0
4,1,107,2,1044,10063,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10063,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10063,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10063,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10063,9,"Forestry",,2,,,0
4,1,107,2,1044,10063,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10063,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10063,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10063,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10064,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10064,2,"Pest Control",,2,,,0
4,1,107,2,1044,10064,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10064,4,"Irrigation",,2,,,0
4,1,107,2,1044,10064,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10064,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10064,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10064,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10064,9,"Forestry",,2,,,0
4,1,107,2,1044,10064,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10064,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10064,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10064,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10065,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10065,2,"Pest Control",,2,,,0
4,1,107,2,1044,10065,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10065,4,"Irrigation",,2,,,0
4,1,107,2,1044,10065,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10065,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10065,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10065,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10065,9,"Forestry",,2,,,0
4,1,107,2,1044,10065,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10065,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10065,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10065,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10066,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10066,2,"Pest Control",,2,,,0
4,1,107,2,1044,10066,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10066,4,"Irrigation",,2,,,0
4,1,107,2,1044,10066,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10066,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10066,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10066,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10066,9,"Forestry",,2,,,0
4,1,107,2,1044,10066,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10066,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10066,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10066,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10067,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10067,2,"Pest Control",,2,,,0
4,1,107,2,1044,10067,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10067,4,"Irrigation",,2,,,0
4,1,107,2,1044,10067,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10067,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10067,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10067,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10067,9,"Forestry",,2,,,0
4,1,107,2,1044,10067,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10067,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10067,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10067,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10068,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10068,2,"Pest Control",,2,,,0
4,1,107,2,1044,10068,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10068,4,"Irrigation",,2,,,0
4,1,107,2,1044,10068,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10068,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10068,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10068,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10068,9,"Forestry",,2,,,0
4,1,107,2,1044,10068,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10068,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10068,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10068,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10069,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10069,2,"Pest Control",,2,,,0
4,1,107,2,1044,10069,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10069,4,"Irrigation",,2,,,0
4,1,107,2,1044,10069,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10069,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10069,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10069,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10069,9,"Forestry",,2,,,0
4,1,107,2,1044,10069,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10069,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10069,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10069,13,"Other (specify)",,2,,,0
4,1,107,2,1044,10070,1,"New Seed Varieties",,2,,,0
4,1,107,2,1044,10070,2,"Pest Control",,2,,,0
4,1,107,2,1044,10070,3,"Fertilizer Use",,2,,,0
4,1,107,2,1044,10070,4,"Irrigation",,2,,,0
4,1,107,2,1044,10070,5,"Composting (Manure)",,2,,,0
4,1,107,2,1044,10070,6,"Marketing/Crop Sales",,2,,,0
4,1,107,2,1044,10070,7,"Growing/Selling Toba",,2,,,0
4,1,107,2,1044,10070,8,"Access to Credit",,2,,,0
4,1,107,2,1044,10070,9,"Forestry",,2,,,0
4,1,107,2,1044,10070,10,"General Animal Care",,2,,,0
4,1,107,2,1044,10070,11,"Animal Diseases / Va",,2,,,0
4,1,107,2,1044,10070,12,"Fishery Production",,2,,,0
4,1,107,2,1044,10070,13,"Other (specify)",,2,,,0
4,1,117,2,560,10071,1,"New Seed Varieties",,2,,,0
4,1,117,2,560,10071,2,"Pest Control",,2,,,0
4,1,117,2,560,10071,3,"Fertilizer Use",,2,,,0
4,1,117,2,560,10071,4,"Irrigation",,2,,,0
4,1,117,2,560,10071,5,"Composting (Manure)",,2,,,0
4,1,117,2,560,10071,6,"Marketing/Crop Sales",,2,,,0
4,1,117,2,560,10071,7,"Growing/Selling Toba",,2,,,0
4,1,117,2,560,10071,8,"Access to Credit",,2,,,0
4,1,117,2,560,10071,9,"Forestry",,2,,,0
4,1,117,2,560,10071,10,"General Animal Care",,2,,,0
4,1,117,2,560,10071,11,"Animal Diseases / Va",,2,,,0
4,1,117,2,560,10071,12,"Fishery Production",,2,,,0
4,1,117,2,560,10071,13,"Other (specify)",,2,,,0
4,1,117,2,560,10072,1,"New Seed Varieties",,,,,0
4,1,117,2,560,10072,2,"Pest Control",,,,,0
4,1,117,2,560,10072,3,"Fertilizer Use",,,,,0
4,1,117,2,560,10072,4,"Irrigation",,,,,0
4,1,117,2,560,10072,5,"Composting (Manure)",,,,,0
4,1,117,2,560,10072,6,"Marketing/Crop Sales",,,,,0
4,1,117,2,560,10072,7,"Growing/Selling Toba",,,,,0
4,1,117,2,560,10072,8,"Access to Credit",,,,,0
4,1,117,2,560,10072,9,"Forestry",,,,,0
4,1,117,2,560,10072,10,"General Animal Care",,,,,0
4,1,117,2,560,10072,11,"Animal Diseases / Va",,,,,0
4,1,117,2,560,10072,12,"Fishery Production",,,,,0
4,1,117,2,560,10072,13,"Other (specify)",,,,,0
4,1,117,2,560,10073,1,"New Seed Varieties",,2,,,0
4,1,117,2,560,10073,2,"Pest Control",,2,,,0
4,1,117,2,560,10073,3,"Fertilizer Use",,2,,,0
4,1,117,2,560,10073,4,"Irrigation",,2,,,0
4,1,117,2,560,10073,5,"Composting (Manure)",,2,,,0
4,1,117,2,560,10073,6,"Marketing/Crop Sales",,2,,,0
4,1,117,2,560,10073,7,"Growing/Selling Toba",,2,,,0
4,1,117,2,560,10073,8,"Access to Credit",,2,,,0
4,1,117,2,560,10073,9,"Forestry",,2,,,0
4,1,117,2,560,10073,10,"General Animal Care",,2,,,0
4,1,117,2,560,10073,11,"Animal Diseases / Va",,2,,,0
4,1,117,2,560,10073,12,"Fishery Production",,2,,,0
4,1,117,2,560,10073,13,"Other (specify)",,2,,,0
4,1,117,2,560,10074,1,"New Seed Varieties",,2,,,0
4,1,117,2,560,10074,2,"Pest Control",,2,,,0
4,1,117,2,560,10074,3,"Fertilizer Use",,2,,,0
4,1,117,2,560,10074,4,"Irrigation",,2,,,0
4,1,117,2,560,10074,5,"Composting (Manure)",,2,,,0
4,1,117,2,560,10074,6,"Marketing/Crop Sales",,2,,,0
4,1,117,2,560,10074,7,"Growing/Selling Toba",,2,,,0
4,1,117,2,560,10074,8,"Access to Credit",,2,,,0
4,1,117,2,560,10074,9,"Forestry",,2,,,0
4,1,117,2,560,10074,10,"General Animal Care",,2,,,0
4,1,117,2,560,10074,11,"Animal Diseases / Va",,2,,,0
4,1,117,2,560,10074,12,"Fishery Production",,2,,,0
4,1,117,2,560,10074,13,"Other (specify)",,2,,,0
4,1,117,2,560,10075,1,"New Seed Varieties",,2,,,0
4,1,117,2,560,10075,2,"Pest Control",,2,,,0
4,1,117,2,560,10075,3,"Fertilizer Use",,2,,,0
4,1,117,2,560,10075,4,"Irrigation",,2,,,0
4,1,117,2,560,10075,5,"Composting (Manure)",,2,,,0
4,1,117,2,560,10075,6,"Marketing/Crop Sales",,2,,,0
4,1,117,2,560,10075,7,"Growing/Selling Toba",,2,,,0
4,1,117,2,560,10075,8,"Access to Credit",,2,,,0
4,1,117,2,560,10075,9,"Forestry",,2,,,0
