"zone","state","lga","sector","ea","hhid","source_cd","source_other","sa5bq1","sa5bq2a","sa5bq2b","sa5bq2c","sa5bq2d","sa5bq3","sa5bq4","sa5bq5","sa5bq6","sa5bq7","sa5bq8","sa5bq9","tracked_obs"
3,33,3321,1,1182,330002,11,,"X",1,,,,7,0,2,,2,,1,0
3,33,3321,1,1182,330006,1,,"X",1,,,,0,,2,,2,,1,0
3,33,3321,1,1182,330007,11,,"X",1,,,,3,0,3,,2,,1,0
3,33,3321,1,1182,330008,1,,"X",1,,,,0,,1,,2,,1,0
3,33,3321,1,1182,330008,11,,"X",1,,,,2,0,1,,2,,1,0
3,33,3321,1,1182,330009,1,,"X",1,,,,0,,1,,2,,1,0
3,33,3321,1,1182,330010,11,,"X",1,5,,,4,0,2,,2,,1,0
3,33,3311,1,702,330011,11,,"X",1,,,,0,,1,,2,,1,0
3,33,3311,1,702,330012,11,,"X",1,,,,10,0,4,,2,,1,0
3,33,3311,1,702,330013,11,,"X",1,,,,6,0,3,,2,,1,0
3,33,3311,1,702,330014,11,,"X",1,,,,8,0,10,,2,,1,0
3,33,3311,1,702,330015,12,,"X",1,,,,,,,,2,,1,0
3,33,3311,1,702,330016,11,,"X",5,,,,4,0,5,,2,,1,0
3,33,3311,1,702,330017,11,,"X",1,,,,0,,2,,2,,1,0
3,33,3311,1,702,330018,11,,"X",1,,,,7,0,5,,2,,1,0
3,33,3311,1,702,330019,12,,"X",1,,,,,,,,,,1,0
3,33,3311,1,702,330020,11,,"X",1,,,,0,,1,,2,,1,0
3,33,3310,2,476,330021,11,,"X",1,3,,,0,,2,,2,,1,0
3,33,3310,2,476,330022,11,,"X",1,3,,,7,0,4,,2,,1,0
3,33,3310,2,476,330023,11,,"X",1,4,,,7,2,6,,2,,1,0
3,33,3310,2,476,330024,11,,"X",1,,,,5,0,4,,2,,1,0
3,33,3310,2,476,330025,11,,"X",1,,,,0,,2,,2,,1,0
3,33,3310,2,476,330026,11,,"X",1,,,,5,0,4,,2,,1,0
3,33,3310,2,476,330027,11,,"X",1,2,,,2,,1,,2,,1,0
3,33,3310,2,476,330028,11,,"X",1,3,7,8,0,,2,,2,,1,0
3,33,3310,2,476,330029,11,,"X",1,,,,2,,1,,2,,1,0
3,33,3310,2,476,330030,11,,"X",1,3,4,,7,0,6,,2,,1,0
3,33,3323,2,92,330031,11,,"X",1,4,5,6,7,0,6,,2,,1,0
3,33,3323,2,92,330032,11,,"X",1,3,7,,2,,1,,2,,1,0
3,33,3323,2,92,330033,11,,"X",1,3,4,5,0,,2,,2,,1,0
3,33,3323,2,92,330034,11,,"X",1,3,,,6,0,3,,2,,1,0
3,33,3323,2,92,330035,11,,"X",1,9,,,7,0,3,,2,,1,0
3,33,3323,2,92,330036,11,,"X",1,,,,6,0,4,,2,,1,0
3,33,3323,2,92,330037,11,,"X",1,,,,1,,2,,2,,1,0
3,33,3323,2,92,330038,11,,"X",1,,,,0,,1,,2,,1,0
3,33,3323,2,92,330039,11,,"X",1,,,,6,0,2,,2,,1,0
3,33,3323,2,92,330040,11,,"X",1,3,4,5,0,,2,,2,,1,0
3,33,3318,2,30,330041,11,,"X",1,4,,,7,0,10,,2,,1,0
3,33,3318,2,30,330042,11,,"X",1,,,,6,0,4,,2,,1,0
3,33,3318,2,30,330043,11,,"X",1,2,,,7,0,4,,2,,1,0
3,33,3318,2,30,330044,11,,"X",1,,,,7,0,4,,2,,1,0
3,33,3318,2,30,330045,11,,"X",1,,,,1,0,1,,2,,1,0
3,33,3318,2,30,330046,11,,"X",1,,,,0,,1,,2,,1,0
3,33,3318,2,30,330047,11,,"X",1,,,,1,,1,,2,,1,0
3,33,3318,2,30,330048,11,,"X",1,3,,,2,0,2,,2,,1,0
3,33,3318,2,30,330049,11,,"X",1,,,,1,,1,,2,,1,0
3,33,3318,2,30,330050,11,,"X",1,4,,,6,0,7,,2,,1,0
3,33,3313,2,930,330051,11,,"X",1,,,,4,0,2,,2,,1,0
3,33,3313,2,930,330052,11,,"X",1,2,,,0,,2,,2,,1,0
3,33,3313,2,930,330053,11,,"X",1,,,,0,,2,,2,,1,0
3,33,3313,2,930,330055,11,,"X",1,2,3,0,,,2,,2,,1,0
3,33,3313,2,930,330056,11,,"X",1,3,,,7,0,4,,2,,1,0
3,33,3313,2,930,330057,11,,"X",1,2,,,1,,1,,2,,1,0
3,33,3313,2,930,330058,11,,"X",1,,,,8,0,5,,2,,1,0
3,33,3313,2,930,330059,11,,"X",1,,,,0,,2,,2,,1,0
3,33,3313,2,930,330060,11,,"X",1,,,,5,0,5,,2,,1,0
3,33,3304,2,418,330061,11,,"X",,,,,1,,1,,2,,1,0
3,33,3304,2,418,330062,11,,"X",1,2,,,0,,2,,2,,1,0
3,33,3304,2,418,330063,11,,"X",1,2,,,2,,1,,2,,1,0
3,33,3304,2,418,330064,11,,"X",1,3,4,,9,0,7,,2,,1,0
3,33,3304,2,418,330065,11,,"X",1,,,,1,,1,,2,,1,0
3,33,3304,2,418,330066,11,,"X",1,,,,6,0,3,,2,,1,0
3,33,3304,2,418,330067,11,,"X",1,,,,6,0,4,,2,,1,0
3,33,3304,2,418,330068,11,,"X",1,3,4,5,2,,2,,2,,1,0
3,33,3304,2,418,330069,11,,"X",1,3,,,4,0,,,2,,1,0
3,33,3304,2,418,330070,11,,"X",1,4,,,7,0,6,,2,,1,0
3,33,3307,2,688,330071,11,,"X",1,,,,7,0,3,,2,,1,0
3,33,3307,2,688,330072,11,,"X",1,4,,,1,,1,,2,,1,0
3,33,3307,2,688,330073,11,,"X",1,3,4,,2,,1,,2,,1,0
3,33,3307,2,688,330074,11,,"X",1,,,,1,,1,,2,,1,0
3,33,3307,2,688,330075,11,,"X",1,,,,1,,1,,2,,1,0
3,33,3307,2,688,330076,11,,"X",1,,,,7,0,4,,2,,1,0
3,33,3307,2,688,330077,11,,"X",1,,,,1,,1,,2,,1,0
3,33,3307,2,688,330078,11,,"X",1,,,,7,0,3,,2,,1,0
3,33,3307,2,688,330079,11,,"X",1,5,,,7,0,4,,2,,1,0
3,33,3307,2,688,330080,11,,"X",1,,,,7,0,6,,2,,1,0
3,36,3607,1,2596,360008,1,,"X",1,,,,1,0,0,,2,,2,0
3,36,3607,1,2596,360008,8,,"X",1,,,,,,,,2,,1,0
3,36,3605,2,240,360011,12,,"X",1,,,,,,,,,,2,0
3,36,3605,2,240,360012,12,,"X",1,2,,,,,,,,,2,0
3,36,3605,2,240,360013,12,,"X",1,,,,,,,,,,2,0
3,36,3605,2,240,360016,8,,"X",1,3,,,,,,,2,,1,0
3,36,3605,2,240,360016,11,,"X",1,3,,,1,0,1,,2,,1,0
3,36,3605,2,240,360019,12,,"X",,,,,,,,,,,2,0
3,36,3605,2,240,360020,12,,"X",1,2,5,,,,,,,,1,0
3,36,3603,2,978,360021,12,,"X",1,3,,,,,,,,,1,0
3,36,3603,2,978,360022,12,,"X",1,3,,,,,,,,,2,0
3,36,3603,2,978,360023,11,,"X",1,,,,0,,2,,2,,1,0
3,36,3603,2,978,360027,11,,"X",1,,,,1,0,2,,2,,1,0
3,36,3603,2,978,360028,12,,"X",1,2,,,,,,,,,2,0
3,36,3603,2,978,360029,12,,"X",1,,,,,,,,,,2,0
3,36,3603,2,978,360030,12,,"X",,,,,,,,,,,2,0
3,36,3608,2,2078,360031,12,,"X",1,,,,,,,,,,2,0
3,36,3608,2,2078,360036,11,,"X",1,,,,0,,3,,2,,1,0
3,36,3608,2,2078,360037,12,,"X",1,,,,,,,,,,1,0
3,36,3608,2,2078,360038,12,,"X",1,3,4,5,,,,,,,2,0
3,36,3608,2,2078,360039,12,,"X",1,3,4,5,,,,,,,1,0
3,36,3608,2,2078,360040,10,,"X",1,3,,,1,0,2,,2,,1,0
3,36,3613,2,1066,360041,12,,"X",1,3,,,,,,,,,1,0
3,36,3613,2,1066,360042,12,,"X",1,2,,,,,,,,,1,0
3,36,3613,2,1066,360043,12,,"X",1,2,,,,,,,,,2,0
3,36,3613,2,1066,360044,8,,"X",1,3,,,,,,2,2,,1,0
3,36,3613,2,1066,360045,12,,"X",1,5,6,7,,,,,,,1,0
3,36,3613,2,1066,360046,11,,"X",1,4,,,2,0,1,,2,,1,0
3,36,3613,2,1066,360047,12,,"X",1,3,,,,,,,,,1,0
3,36,3613,2,1066,360050,10,,"X",1,3,,,0,,2,,2,,1,0
3,36,3613,2,1066,360050,11,,"X",1,3,,,0,,1,,2,,1,0
3,36,3610,2,1826,360052,12,,"X",1,,,,,,,,,,1,0
3,36,3610,2,1826,360054,11,,"X",1,,,,0,,2,,2,,2,0
3,36,3610,2,1826,360055,12,,"X",1,2,6,,,,,,,,1,0
3,36,3610,2,1826,360056,12,,"X",,,,,,,,,,,2,0
3,36,3610,2,1826,360057,12,,"X",1,3,,,,,,,,,1,0
3,36,3610,2,1826,360058,12,,"X",1,,,,,,,,,,2,0
3,36,3610,2,1826,360059,11,,"X",1,,,,3,0,0,,2,,1,0
3,36,3610,2,1826,360060,11,,"X",1,,,,2,1,1,,2,,1,0
3,36,3601,2,1214,360061,12,,"X",1,3,,,,,,,,,2,0
3,36,3601,2,1214,360062,12,,"X",1,,,,,,,,,,1,0
3,36,3601,2,1214,360063,12,,"X",1,5,,,,,,,,,2,0
3,36,3601,2,1214,360064,10,,"X",1,,,,2,2,1,,2,,1,0
3,36,3601,2,1214,360065,11,,"X",1,,,,1,0,1,,2,,1,0
3,36,3601,2,1214,360066,12,,"X",1,,,,,,,,,,2,0
3,36,3601,2,1214,360067,11,,"X",1,,,,1,0,2,,2,,1,0
3,36,3601,2,1214,360068,12,,"X",1,,,,,,,,,,2,0
3,36,3601,2,1214,360069,11,,"X",1,,,,0,,1,,2,,1,0
3,36,3601,2,1214,360070,11,,"X",1,,,,0,,2,,2,,1,0
3,36,3612,1,1474,360071,12,,"X",1,3,4,5,,,,,,,1,0
3,36,3612,1,1474,360072,12,,"X",1,,,,,,,,,,2,0
3,36,3612,1,1474,360073,12,,"X",,,,,,,,,,,1,0
3,36,3612,1,1474,360074,12,,"X",,,,,,,,,,,2,0
3,36,3612,1,1474,360075,12,,"X",1,,,,,,,,,,2,0
3,36,3612,1,1474,360076,11,,"X",1,3,,,0,,1,,2,,1,0
3,36,3612,1,1474,360078,10,,"X",1,,,,2,0,1,,2,,1,0
3,36,3612,1,1474,360078,12,,"X",1,2,3,,,,,,,,2,0
3,36,3606,2,1956,360081,11,,"X",1,,,,0,,2,,2,,1,0
3,36,3606,2,1956,360084,11,,"X",1,,,,2,2,1,,2,,1,0
3,36,3606,2,1956,360085,11,,"X",1,0,3,,,,,,2,,1,0
3,36,3606,2,1956,360087,12,,"X",1,,,,,,,,,,2,0
3,36,3606,2,1956,360088,12,,"X",,,,,,,,,,,2,0
3,36,3606,2,1956,360089,12,,"X",1,3,4,,,,,,,,2,0
3,36,3606,2,1956,360090,12,,"X",1,3,4,,,,,,,,1,0
