"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11eq3","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15a","s11eq15b","s11eq16","s11eq17","s11eq18a","s11eq18b","s11eq19","s11eq20","s11eq20b","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27a","s11eq27b","s11eq28","s11eq29","s11eq30a","s11eq30b","s11eq31","s11eq32","s11eq32b","s11eq33","s11eq34","s11eq35","s11eq36","s11eq37","tracked_obs"
4,1,104,2,1364,10015,2,1,"CASSAVA",1020,1,2,,,,,,2,,,,,,,,,1,1,2,"N1",1020,6,61,,1,,650,1,,,,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,2,2,"MAIZE",1080,1,2,,,,,,2,,,,,,,,,1,1,2,"N1",1080,1,12,,1,,50,1,,,,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,2,1,"CASSAVA",1020,1,1,1020,3,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,2,2,"PUMKIN",2193,1,1,2193,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,2,3,"YAM",1120,1,2,,,,,,2,,,,,,,,,1,2,,"N2",1120,2,32,50,5,,4500,1,,,,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,2,4,"MAIZE",1080,1,1,1080,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,1,1,"CASSAVA",1020,1,2,,,,,,1,1020,3,61,"N2",,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,1,2,"YAM",1120,1,2,,,,,,2,,,,,,,,,1,1,,"N3",1120,20,51,2000,1,,2000,1,,,,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,1,3,"PUMKIN",2193,1,2,,,,,,2,,,,,,,,,1,1,,"N3",2193,2,51,1000,1,,1000,1,,,,2,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,1,1,"PLANTAIN",2170,1,1,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10019,1,2,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,1,1,"MAIZE",1080,1,1,1080,1,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,1,2,"CASSAVA",1020,1,1,1020,5,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,1,3,"PUMKIN",2190,1,1,2190,1,21,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,1,4,"GARDEN EGG",2080,1,1,2080,2,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,2,1,"MAIZE",1080,1,1,1080,1,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,2,2,"CASSAVA",1020,1,1,1020,6,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,2,3,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,3,1,"PINEAPPLE",2160,1,1,2160,20,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,3,2,"PLAINTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,3,3,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,1,"CASSAVA",1020,1,1,1020,100,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,2,"MAIZE",1080,1,1,1080,1,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,1,3,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,2,1,"YAM",1120,1,1,1120,200,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,2,2,"CASSAVA",1020,1,1,1020,150,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,2,3,"MAIZE",1080,1,1,1080,1,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,2,4,"PUMKIN",2193,1,1,2193,100,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,3,1,"MAIZE",1080,1,1,1082,1,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,3,2,"CASSAVA",1020,1,1,1082,100,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10022,3,3,"MELON",1092,1,2,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,1,"THREE LEAF YAM",1124,1,1,1124,4,51,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,2,"CASSAVA",1020,1,1,1020,6,61,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,3,"MAIZE",1080,1,1,1080,1,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,1,4,"PUMKIN",2190,1,1,2190,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,2,1,"PINEAPPLE",2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,2,2,"PLAINTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,3,1,"YAM",1120,1,1,1120,5,51,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,3,2,"MAIZE",1080,1,1,1080,1,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,3,3,"CASSAVA",1020,1,1,1020,7,61,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10023,3,4,"PUMKIN",2190,1,1,2190,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10024,1,1,"CASSAVA",1020,1,1,1020,200,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,1,1,"CASSAVA",1020,1,1,1020,150,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,1,2,"YAM",1120,1,2,,,,,,2,,,,,,,,,1,1,,"N1",1121,10,1,2000,5,,2000,1,,,,2,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,2,1,"CASSAVA",1020,1,1,1020,150,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10025,2,2,"PUMKIN SEED",2193,1,2,,,,,,2,,,,,,,,,1,1,,"N1",2193,2,8,1000,5,,1000,1,,,,2,,,,,,,,,,,,,,,0
4,1,106,2,880,10026,1,1,"CASSAVA",1020,1,1,1020,150,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,1,1,"PLANTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,1,2,"PINEAPPLE",2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,1,3,"PALM OIL TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,1,4,"CHERI ( UDARAH )",3240,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,1,5,"KOLA NUT",3110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,2,1,"MAIZE",1080,1,1,1080,2,31,4,,2,,,,,,,,,1,2,,"N3",1080,2,31,400,5,,400,1,,,,2,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,2,2,"CASSAVA",1020,1,1,1020,8,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,2,3,"PUMKIN",2190,1,1,2193,2,41,1,,2,,,,,,,,,1,2,,"N3",2193,2,41,400,5,,1400,1,,,,2,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,2,4,"PEPPER",2140,1,1,2140,1,25,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,2,5,"GARDEN EGG",2080,1,1,2080,2,25,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,3,1,"YAM",1120,1,1,1120,3,52,4,,2,,,,,,,,,1,2,,"N3",1120,3,52,400,5,,400,1,,,,2,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,3,2,"COCOYAM",1040,1,1,1040,1,51,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,3,3,"THREE LEAF YAM",1124,1,1,1124,2,51,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10027,3,4,"CASSAVA",1020,1,1,1020,3,62,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,1,"CASSAVA",1020,1,1,1020,500,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,2,"MAIZE",1080,1,1,1080,10,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,3,"PUMKIN",2191,1,1,2191,10,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,4,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,1,5,"PLAINTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,1,"CASSAVA",1020,1,1,1020,250,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,2,"MELON",1090,1,1,1090,5,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,3,"MAIZE",1080,1,1,1080,5,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,4,"BANANA",2030,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10029,2,5,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,1,"YAM",1120,1,2,,,,,,2,,,,,,,,,1,1,2,"N1",1120,150,1,500,4,,12800,1,,,,2,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,2,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,3,"PLANTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,4,"CASSAVA",1020,1,1,1020,192,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,1,5,"MAIZE",1080,1,1,1080,12,11,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,2,1,"MELON",1090,1,1,1090,5,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,2,2,"CASSAVA",1020,1,1,1020,154,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,2,3,"MAIZE",1080,1,1,1080,8,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,2,4,"PUMKIN",2190,1,1,2190,5,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,2,5,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,3,1,"CASSAVA",1020,1,1,1020,200,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,3,2,"MAIZE",1080,1,1,1080,7,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,4,1,"CASSAVA",1020,1,1,1020,150,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,4,2,"THREE LEAF YAM",1124,1,1,1124,100,1,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10030,4,3,"OKRO",2120,1,1,2120,4,13,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,1,1,"YAM",1120,1,2,,,,,,2,,,,,,,,,1,2,,"N1",1120,1,51,200,6,,3000,1,,,,2,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,1,2,"MAIZE",1080,1,2,,,,,,1,1080,1,12,"N1",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,1,3,"PLAINTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,111,1,1146,10034,1,4,"COCONUT",3050,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10057,1,1,"YAM",1120,1,2,,,,,,2,,,,,,,,,1,1,,"N1",1120,2,51,6000,6,,6000,1,,,,2,,,,,,,,,,,,,,,0
4,1,102,1,1690,10057,1,2,"OKRO",2120,1,1,2120,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10057,1,3,"PLANTAIN",2170,1,1,2170,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,1,1,"CASSAVA",1020,1,1,1020,8,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,2,1,"CASSAVA",1020,1,1,1020,3,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,2,2,"MAIZE",1080,1,1,1080,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,3,1,"CASSAVA",1020,1,1,1020,2,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,3,2,"MAIZE",1080,1,1,1080,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,4,1,"YAM",1120,1,1,1120,42,51,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,4,2,"PUMKIN",2193,1,1,2193,2,41,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,4,3,"PEPPER",2140,1,1,2140,300,2,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10061,4,4,"CASSAVA",1020,1,1,1020,6,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,1,"CASSAVA",1020,1,1,1020,10,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,2,"MAIZE",1080,1,1,1080,2,31,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,3,"PUMKIN",2190,1,1,2193,4,41,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,4,"MELON",1090,1,1,1090,1,31,4,,2,,,,,,,,,1,1,,"N1",1090,1,31,400,5,,600,1,,,,2,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,2,1,"CASSAVA",1020,1,1,1020,4,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,2,2,"MAIZE",1080,1,1,1080,1,31,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,2,3,"PUMKIN",2190,1,1,2193,1,41,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,2,4,"MELON",1090,1,1,1090,1,31,4,,2,,,,,,,,,1,1,,"N1",1090,1,31,400,5,,600,1,,,,2,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,3,1,"CASSAVA",1020,1,1,1020,12,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,1,1,"CASSAVA",1020,1,1,1020,8,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,1,2,"MAIZE",1080,1,1,1080,1,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,1,3,"PUMKIN",2190,1,1,2190,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,2,1,"CASSAVA",1020,1,1,1020,4,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,2,2,"MAIZE",1080,1,1,1080,1,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,2,3,"PUMKIN",2190,1,1,2190,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,2,4,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,3,1,"CASSAVA",1020,1,1,1020,8,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,3,2,"MAIZE",1080,1,1,1080,1,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,1,1,"THREE  LEAF YAM",1124,1,1,1124,2,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,1,2,"CASSAVA",1020,1,1,1020,6,61,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,1,3,"PLAINTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,2,1,"CASSAVA",1020,1,1,1020,5,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,2,2,"GHARDEN EGG",2080,1,1,2080,2,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,2,3,"PUMKIN",2190,1,1,2190,1,31,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,3,1,"CASSAVA",1020,1,1,1020,4,61,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,3,2,"MAIZE",1080,1,1,1080,2,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,1,1,"CASSAVA",1020,1,1,1020,8,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,1,2,"MAIZE",1080,1,1,1080,1,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,2,1,"CASSAVA",1020,1,1,1020,6,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,2,2,"MAIZE",1080,1,1,1080,1,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,3,1,"CASSAVA",1020,1,1,1020,8,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,3,2,"MAIZE",1080,1,1,1080,1,12,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,3,3,"PUMKIN",2190,1,2,,,,,,1,2190,1,31,"N1",,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10065,3,4,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,1,1,"CASSAVA",1020,1,1,1020,6,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,1,2,"MAIZE",1080,1,2,,,,,,2,,,,,,,,,1,2,,"N1",1080,8,13,100,5,,250,1,,,,2,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,1,3,"MELON",1090,1,2,,,,,,2,,,,,,,,,1,2,,"N1",1090,5,13,200,5,,250,1,,,,2,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,2,1,"CASSAVA",1020,1,1,1020,6,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,2,2,"MAIZE",1080,1,2,,,,,,2,,,,,,,,,1,2,,"N1",1080,8,13,100,5,,250,1,,,,2,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,2,3,"MELON",1090,1,2,,,,,,2,,,,,,,,,1,2,,"N1",1090,5,13,200,5,,250,1,,,,2,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,3,1,"CASSAVA",1020,1,1,1020,4,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10066,3,2,"PUMKIN",2190,1,1,2190,2,41,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10067,1,1,"CASSAVA",1020,1,1,1020,4,62,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
