"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11hq1","s11hq2a","s11hq2b","s11hq3","s11hq4","s11hq5a","s11hq5b","s11hq6","s11hq7a","s11hq7b","s11hq8","s11hq9","s11hq9b","s11hq10","s11hq11","s11hq12a","s11hq12b","s11hq13","s11hq14a","s11hq14b","s11hq15","s11hq16","s11hq16b","s11hq17a","s11hq17b","s11hq18a","s11hq18b","s11hq19a","s11hq19b","s11hq20a","s11hq20b","s11hq20c","s11hq21","s11hq21b","s11hq22","s11hq23","s11hq23b","s11hq24a","s11hq24b","s11hq25a","s11hq25b","s11hq25c","s11hq26a","s11hq26b","s11hq26c","tracked_obs"
4,1,106,2,880,10029,1,1,"CASSAVA",1020,1,5,25,10000,"N2",5,25,10000,1,2,500,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,1,2,"MAIZE",1080,1,3,32,3000,"N2",3,32,3000,1,2,200,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,1,3,"PUMKIN",2191,1,2,61,1000,"N2",2,61,1000,1,2,400,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,1,4,"PALM TREE",3180,1,2,91,4000,"N2",2,91,4000,1,2,500,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,1,5,"PLAINTAIN",2170,1,3,41,2100,"N2",3,41,2100,1,2,300,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,2,1,"CASSAVA",1020,1,3,25,6000,"N2",3,25,6000,1,2,500,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,2,2,"MELON",1090,1,2,31,2000,"N2",2,31,2000,1,2,200,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,2,3,"MAIZE",1080,1,2,32,2000,"N2",2,32,2000,1,2,200,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,2,4,"BANANA",2030,1,2,41,1600,"N2",2,41,1600,1,2,400,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10029,2,5,"PALM TREE",3180,1,2,91,4000,"N2",2,91,4000,1,2,500,4,,2,,,,,,,,,,0,,0,,0,,0,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,1,1,"YAM",1120,1,200,52,20000,"N2",200,52,20000,1,2,300,3,,2,,,,,,,,,,10,52,,,,,,,,,,1,5,"BARN",150,52,4,,,1,3,,0
4,1,106,2,880,10030,1,2,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,1,3,"PLANTAIN",2170,1,15,42,12000,"N2",15,42,12000,1,2,300,3,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,1,4,"CASSAVA",1020,1,2000,51,16000,"N3",2000,51,16000,1,2,700,3,,2,,,,,,,,,,250,51,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,1,5,"MAIZE",1080,1,20,31,10000,"N3",20,31,10000,1,2,400,3,,2,,,,,,,,,,1,31,,,,,,,,,,1,1,,10,31,4,,,1,3,,0
4,1,106,2,880,10030,2,1,"MELON",1090,1,1,31,500,"N3",1,31,500,2,,150,3,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,2,2,"CASSAVA",1020,1,650,51,6000,"N3",650,51,6000,1,2,500,3,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,2,3,"MAIZE",1080,1,8,31,4500,"N3",8,31,4500,1,2,300,3,,2,,,,,,,,,,1,31,,,,,,,,,,1,1,,10,31,4,,,1,3,,0
4,1,106,2,880,10030,2,4,"PUMKIN",2190,1,25,61,3000,"N3",25,61,3000,1,2,150,3,,2,,,,,,,,,,2,61,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,2,5,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,3,1,"CASSAVA",1020,1,500,51,5000,"N3",500,51,5000,1,2,400,3,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,3,2,"MAIZE",1080,1,5,31,3000,"N3",5,31,3000,1,2,300,3,,2,,,,,,,,,,,,,,,,,,,,,1,1,,10,31,4,,,1,3,,0
4,1,106,2,880,10030,4,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,4,2,"THREE LEAF YAM",1124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,106,2,880,10030,4,3,"OKRO",2120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10034,1,1,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10034,1,2,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10034,1,3,"PLAINTAIN",2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,111,1,1146,10034,1,4,"COCONUT",3050,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,102,1,1690,10057,1,1,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,102,1,1690,10057,1,2,"OKRO",2120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,102,1,1690,10057,1,3,"PLANTAIN",2170,1,5,42,4000,"N1",3,42,2400,1,,150,4,,1,"N2",1,42,750,1,,,,,,,,,,,,,,,,1,2,,1,42,4,,,1,,,0
4,1,107,2,1044,10061,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10061,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10061,2,2,"MAIZE",1080,1,2,22,1200,"N2",2,22,1200,1,,400,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10061,3,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10061,3,2,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,21,,,,1,3,,0
4,1,107,2,1044,10061,4,1,"YAM",1120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10061,4,2,"PUMKIN",2193,1,62,62,12400,"N2",62,62,12400,1,,600,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10061,4,3,"PEPPER",2140,1,1,31,800,"N2",1,31,800,1,,200,4,,2,,,,,,,,,,,,,,,,,,,,,1,3,,1,31,,,,1,3,,0
4,1,107,2,1044,10061,4,4,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,1,2,"MAIZE",1080,1,3,22,9000,"N1",5,22,9000,1,,400,4,,2,,,,,,,,,,,,,,,,,,,,,1,2,,1,22,4,,,1,3,,0
4,1,107,2,1044,10062,1,3,"PUMKIN",2190,1,40,62,8000,"N1",40,62,8000,1,,400,4,,2,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,1,4,"MELON",1090,1,10,31,5000,"N1",10,31,5000,1,,400,4,,2,,,,,,,,,,,,,,,,,,,,,1,3,,2,31,4,,,1,3,,0
4,1,107,2,1044,10062,2,1,"CASSAVA",1020,1,1,22,2500,"N1",1,22,2500,1,,400,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,2,2,"MAIZE",1080,1,1,22,2500,"N1",1,22,2500,1,,400,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,2,3,"PUMKIN",2190,1,16,62,3200,"N1",16,62,3200,1,,400,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,2,4,"MELON",1090,1,4,31,8000,"N1",4,31,8000,1,,4000,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10062,3,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,1,2,"MAIZE",1080,1,3,31,1500,"N2",3,31,1500,1,,120,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,1,3,"PUMKIN",2190,1,6,61,1200,"N2",6,61,1200,1,,120,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,2,2,"MAIZE",1080,1,2,31,1000,"N2",2,31,1000,1,,120,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,2,3,"PUMKIN",2190,1,4,61,800,"N2",4,61,800,1,,150,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,2,4,"OIL PALM TREE",3180,1,40,3,7000,"N1",40,3,7000,1,,150,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,3,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10063,3,2,"MAIZE",1080,1,3,31,1500,"N2",3,31,1500,1,,150,4,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,1,1,"THREE LEAF YAM",1124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,1,2,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,1,3,"PLAINTAIN",2170,1,25,1,2500,"N2",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,2,2,"GARDEN EGG",2080,1,3,31,1500,"N4",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,2,3,"PUMKIN",2190,1,4,61,800,"N4",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,3,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10064,3,2,"MAIZE",1080,1,3,31,1200,"N4",,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,1,2,"MAIZE",1080,1,3,31,2500,"N2",3,31,2500,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,2,2,"MAIZE",1080,1,1,31,750,"N2",1,31,750,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,3,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,3,2,"MAIZE",1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,3,3,"PUMKIN",2190,1,6,62,1200,"N2",6,62,1200,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10065,3,4,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,1,2,"MAIZE",1080,1,8,26,4500,"N1",8,26,4500,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,1,3,"MELON",1090,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,2,2,"MAIZE",1080,1,8,26,4500,"N1",8,26,4500,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,2,3,"MELON",1090,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,3,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10066,3,2,"PUMKIN",2190,1,20,61,7000,"N1",20,61,7000,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10067,1,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10067,2,1,"CASSAVA",1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
4,1,107,2,1044,10067,2,2,"MAIZE",1080,1,30,25,3000,"N2",30,25,3000,2,,300,4,,2,,,,,,,,,,,,,,,,,,,,,1,3,,1,25,2,4,,3,1,,0
