"zone","state","lga","sector","ea","hhid","seedid","cropcode","s11eq4a","s11eq4a_os","s11eq4","s11eq6a","s11eq6b","s11eq6b_os","s11eq6c","s11eq8","s11eq10a","s11eq10b","s11eq10b_os","s11eq10c","s11eq11","s11eq11_os","s11eq13","s11eq13_os","s11eq14","s11eq18a","s11eq18b","s11eq18b_os","s11eq18c","s11eq15_1","s11eq15_2","s11eq15_3","s11eq15_4","s11eq21","s11eq21a","s11eq22a","s11eq22a_os","s11eq23a","s11eq20","s11eq20_os"
4,1,107,2,1044,10063,10202,1020,1,,2,,,,,2,,,,,,,,,1,12,90,,1,6,,,,3500,2,6,,3,31,
4,1,107,2,1044,10063,10802,1080,1,,2,,,,,2,,,,,,,,,1,2,13,,,6,,,,500,2,6,,3,31,
4,1,107,2,1044,10063,20602,2060,1,,2,,,,,2,,,,,,,,,1,2,13,,,6,,,,800,2,6,,3,31,
4,1,107,2,1044,10063,20802,2080,1,,2,,,,,2,,,,,,,,,1,2,13,,,6,,,,1300,2,6,,3,31,
4,1,107,2,1044,10063,21202,2120,1,,2,,,,,2,,,,,,,,,1,2,13,,,6,,,,500,2,6,,3,31,
4,1,107,2,1044,10064,10802,1080,1,,2,,,,,2,,,,,,,,,1,10,80,"10 COMBS",0,1,,,,1000,2,6,,2,31,
4,1,107,2,1044,10064,20602,2060,1,,2,,,,,2,,,,,,,,,1,3,13,,,1,,,,1000,2,6,,2,31,
4,1,107,2,1044,10064,20802,2080,1,,2,,,,,2,,,,,,,,,1,2,13,,,1,2,,,1000,2,7,,2,5,
4,1,107,2,1044,10064,21202,2120,1,,2,,,,,2,,,,,,,,,1,2,13,,,1,,,,500,2,6,,2,31,
4,1,102,1,0,10065,10202,1020,2,,1,12,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,102,1,0,10065,10802,1080,2,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,102,1,0,10065,21902,2190,2,,1,2,70,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,10202,1020,2,,1,1,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,10802,1080,2,,1,7,13,,,1,1,13,,,2,,1,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,21902,2190,2,,1,4,1,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,10202,1020,2,,1,6,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,10802,1080,2,,1,7,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,11212,1121,2,,1,25,1,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,21422,2142,2,,1,4,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,10202,1020,2,,1,8,90,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,10802,1080,2,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,21902,2190,2,,1,2,70,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,10202,1020,1,,1,4,100,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,10802,1080,2,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,11242,1124,2,,1,15,211,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,21202,2120,1,,1,1,12,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,21422,2142,2,,1,4,2,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,21902,2190,2,,1,1,70,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,0,10070,10202,1020,2,,1,12,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10071,10202,1020,2,,1,6,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10071,10802,1080,2,,2,,,,,2,,,,,,,,,1,2,13,,,1,,,,300,1,2,,1,1,
4,1,117,2,560,10071,11232,1123,7,,2,,,,,2,,,,,,,,,1,150,211,,,1,,,,12000,1,6,,1,5,
4,1,117,2,560,10071,21202,2120,2,,1,3,12,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10071,21902,2190,7,,2,,,,,2,,,,,,,,,1,8,80,"PIECES",1,1,,,,2000,1,6,,1,5,
4,1,117,2,560,10072,10202,1020,2,,2,,,,,1,7,100,,1,2,,5,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10072,10802,1080,2,,2,,,,,2,,,,,,,,,1,2,13,,,1,,,,300,1,6,,1,5,
4,1,117,2,560,10072,21902,2190,2,,1,5,80,"PIECES",1,2,,,,,,,,,1,5,80,"PIECES",1,1,,,,1200,1,6,,1,5,
4,1,117,2,560,10073,10201,1020,6,,1,8,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10073,10402,1040,2,,1,35,80,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10073,10802,1080,2,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10073,11232,1123,2,,1,50,211,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10074,10202,1020,2,,1,8,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10074,10802,1080,2,,2,,,,,2,,,,,,,,,1,2,13,,,2,,,,300,1,6,,1,5,
4,1,117,2,560,10074,21202,2120,2,,1,3,12,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10074,21902,2190,2,,1,10,80,"PIECES",1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10075,10202,1020,7,,1,12,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10075,10402,1040,7,,1,1,90,,0,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10075,10802,1080,7,,1,4,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10075,10902,1090,7,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10075,11212,1121,7,,2,,,,,2,,,,,,,,,1,20,211,,,3,,,,2500,1,6,,25,5,
4,1,117,2,560,10076,10202,1020,8,,1,13,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10076,10402,1040,8,,1,1,10,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10076,10802,1080,8,,1,8,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10077,10202,1020,7,,1,10,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10077,10802,1080,7,,1,4,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10078,10202,1020,8,,1,8,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10078,10402,1040,8,,1,5,10,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10078,10802,1080,8,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10079,10202,1020,7,,1,13,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10079,10402,1040,7,,1,1,10,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10079,10802,1080,7,,1,9,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10079,11212,1121,9,,2,,,,,2,,,,,,,,,1,20,211,,,1,,,,3000,1,6,,40,5,
4,1,117,2,560,10080,10202,1020,7,,1,25,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,117,2,560,10080,10802,1080,7,,2,,,,,2,,,,,,,,,1,10,13,,,1,,,,500,1,6,,0.5,1,
4,1,105,2,638,10091,10202,1020,2,,2,,,,,2,,,,,,,,,1,5,100,,2,2,,,,3000,1,2,,0.5,1,
4,1,105,2,638,10091,10802,1080,2,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10091,10902,1090,2,,2,,,,,2,,,,,,,,,1,3,13,,,2,,,,300,1,7,,1,1,
4,1,105,2,638,10092,10202,1020,2,,1,8,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10092,10802,1080,2,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10092,11212,1121,2,,2,,,,,2,,,,,,,,,1,20,211,,,1,,,,3500,1,6,,1,5,
5,3,322,2,0,10093,10201,1020,6,,1,24,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
5,3,322,2,0,10093,10802,1080,6,,2,,,,,2,,,,,,,,,1,5,280,"METRIC CUP",,2,,,,200,2,6,,1,1,
5,3,322,2,0,10093,10902,1090,6,,1,3,280,"METRIC CUP",,2,,,,,,,,,2,,,,,,,,,,,,,,,
5,3,322,2,0,10093,21202,2120,6,,1,3,40,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10094,10201,1020,6,,2,,,,,2,,,,,,,,,1,5,100,,2,1,,,,5000,1,6,,2,6,
4,1,105,2,638,10094,10802,1080,7,,2,,,,,2,,,,,,,,,1,1,13,,,1,,,,200,1,6,,2,5,
4,1,105,2,638,10096,10202,1020,7,,1,6,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10096,10802,1080,9,,2,,,,,2,,,,,,,,,1,5,13,,,5,,,,500,2,6,,28,1,
4,1,105,2,638,10097,10202,1020,7,,1,21,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10097,10802,1080,7,,1,21,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10097,10902,1090,7,,1,2,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10097,11212,1121,7,,1,30,211,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10097,11242,1124,7,,1,20,211,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10099,10202,1020,6,,1,5,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10099,10802,1080,7,,1,3,13,,,1,2,13,,,1,,1,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10100,10202,1020,7,,1,15,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10100,10802,1080,7,,1,11,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,638,10100,10902,1090,7,,1,2,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10102,10202,1020,6,,1,26,100,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10102,10802,1080,7,,2,,,,,2,,,,,,,,,1,8,13,,,1,,,,400,1,6,,0.5,1,
4,1,108,2,904,10102,10902,1090,7,,2,,,,,2,,,,,,,,,1,8,13,,,1,,,,500,1,6,,0.5,1,
4,1,108,2,904,10102,11242,1124,7,,1,2,130,,10,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10103,10202,1020,8,,1,25,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10103,10802,1080,8,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10103,11212,1121,7,,1,50,211,,,2,,,,,,,,,1,50,211,,,1,,,,4500,1,6,,30,5,
4,1,108,2,904,10103,21202,2120,8,,1,1,12,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10104,10202,1020,8,,1,10,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10104,10802,1080,7,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10105,10202,1020,7,,1,17,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10105,10802,1080,7,,1,9,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10105,11212,1121,9,,2,,,,,2,,,,,,,,,1,20,211,,,1,2,,,4500,1,6,,30,5,
4,1,108,2,904,10106,10202,1020,7,,1,25,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10106,10802,1080,7,,1,13,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10106,10902,1090,8,,1,1,12,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10106,11212,1121,7,,2,,,,,2,,,,,,,,,1,30,211,,,1,,,,5000,2,6,,30,5,
4,1,108,2,904,10107,10202,1020,2,,1,6,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10107,10802,1080,2,,2,,,,,1,2,13,,,1,,1,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10108,10202,1020,2,,1,5,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10108,10802,1080,6,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10109,10202,1020,2,,1,5,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10109,10802,1080,2,,2,,,,,2,,,,,,,,,1,2,13,,,1,,,,300,1,6,,1,5,
4,1,108,2,904,10109,11212,1121,2,,2,,,,,2,,,,,,,,,1,25,211,,,1,,,,5000,1,6,,1,5,
4,1,108,2,904,10110,10202,1020,2,,1,5,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,108,2,904,10110,11242,1124,2,,1,45,211,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,102,1,46,19008,10202,1020,2,,1,4,100,,1,2,,,,,,,,,1,4,100,,1,1,,,,6000,1,2,,1,6,
4,1,102,1,46,19008,10802,1080,2,,1,4,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,102,1,46,19008,21902,2190,2,,1,1,70,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19038,10202,1020,2,,1,7,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19038,10802,1080,2,,1,2,12,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19038,10902,1090,6,,1,2,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19038,11222,1122,7,,1,1,170,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19038,11232,1123,6,,1,1,170,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19038,21202,2120,7,,1,1,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19039,10202,1020,1,,2,,,,,2,,,,,,,,,1,10,100,,1,1,,,,600,1,6,,1,1,
4,1,104,2,412,19039,10802,1080,2,,2,,,,,2,,,,,,,,,1,5,13,,,1,,,,300,1,6,,1,1,
4,1,104,2,412,19039,11232,1123,6,,1,20,211,,,1,10,211,,,1,,1,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19039,21202,2120,2,,1,2,12,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19041,10202,1020,2,,1,2,100,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19041,10802,1080,9,,2,,,,,1,3,13,,,1,,1,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19043,10202,1020,9,,2,,,,,2,,,,,,,,,1,5,100,,1,1,,,,2800,2,6,,20,1,
4,1,104,2,412,19043,10802,1080,8,,1,10,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19043,10902,1090,7,,2,,,,,2,,,,,,,,,1,5,13,,,1,,,,500,2,6,,20,1,
4,1,104,2,412,19044,10202,1020,7,,1,5,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19044,10802,1080,8,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19044,10902,1090,8,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19045,10202,1020,1,,1,1,100,,1,1,1,100,,0,1,,5,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19045,10802,1080,7,,1,3,12,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19045,10902,1090,1,,2,,,,,2,,,,,,,,,1,4,13,,,2,,,,200,2,6,,0.2,5,
4,1,104,2,412,19045,11212,1121,1,,1,1,170,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19045,21942,2194,1,,2,,,,,1,1,70,,0,2,,1,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19047,10202,1020,8,,1,10,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19047,10802,1080,8,,1,4,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19048,10102,1010,7,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19048,10202,1020,7,,1,20,100,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19048,10802,1080,7,,1,15,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19048,11232,1123,7,,2,,,,,2,,,,,,,,,1,4,130,,10,1,,,,9800,2,6,,0.5,5,
4,1,104,2,412,19048,11242,1124,7,,1,2,130,,10,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19048,20602,2060,7,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,412,19048,21942,2194,7,,1,4,70,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19049,10202,1020,2,,2,,,,,2,,,,,,,,,1,4,100,,2,1,,,,6000,1,6,,1,5,
4,1,104,2,1020,19049,10802,1080,2,,2,,,,,2,,,,,,,,,1,2,13,,,1,,,,200,1,6,,1,5,
4,1,104,2,1020,19051,10202,1020,2,,2,,,,,1,2,100,,1,2,,1,,1,2,100,,1,1,,,,500,1,2,,1,1,
4,1,104,2,1020,19051,10402,1040,7,,2,,,,,1,30,80,,1,2,,1,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19051,10602,1060,6,,2,,,,,2,,,,,,,,,1,2,12,,,1,,,,200,1,6,,1,1,
4,1,104,2,1020,19051,11212,1121,9,,2,,,,,2,,,,,,,,,1,20,211,,,1,,,,4100,1,6,,1,1,
4,1,104,2,1020,19052,10202,1020,2,,2,,,,,2,,,,,,,,,1,15,100,,2,1,,,,12000,1,6,,1,1,
4,1,104,2,1020,19052,10801,1080,7,,2,,,,,2,,,,,,,,,1,5,13,,,1,,,,500,1,6,,1,5,
4,1,104,2,1020,19052,10802,1080,1,,2,,,,,2,,,,,,,,,1,4,13,,,1,,,,400,1,6,,1,5,
4,1,104,2,1020,19052,11212,1121,7,,2,,,,,2,,,,,,,,,1,160,211,,,1,,,,43000,1,6,,1,5,
4,1,104,2,1020,19052,21202,2120,6,,2,,,,,2,,,,,,,,,1,2,12,,,1,,,,200,1,6,,1,5,
4,1,104,2,1020,19054,10202,1020,7,,1,6,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19054,10802,1080,7,,1,6,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19054,11212,1121,7,,2,,,,,1,1,130,,10,5,,5,,1,1,130,,10,1,,,,3500,2,5,,30,5,
4,1,104,2,1020,19055,10202,1020,8,,1,8,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19055,10802,1080,8,,1,4,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19056,10102,1010,6,,1,2,13,,,2,,,,,,,,,1,2,13,,,1,,,,150,1,6,,0.5,5,
4,1,104,2,1020,19056,10202,1020,6,,1,5,100,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19056,10802,1080,7,,1,4,13,,,2,,,,,,,,,1,1,13,,,1,,,,50,1,6,,0.5,5,
4,1,104,2,1020,19056,20602,2060,7,,1,2,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19056,21902,2190,7,,1,5,70,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19058,10202,1020,7,,1,8,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19058,10402,1040,9,,1,1,10,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19058,10802,1080,7,,2,,,,,2,,,,,,,,,1,5,13,,,1,,,,500,2,5,,20,1,
4,1,104,2,1020,19060,10102,1010,6,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19060,10202,1020,7,,1,6,100,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19060,10802,1080,7,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19060,20602,2060,6,,1,3,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,104,2,1020,19060,21902,2190,6,,1,4,70,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19061,10802,1080,2,,2,,,,,2,,,,,,,,,1,5,13,,,1,,,,600,2,6,,1,31,
4,1,107,2,10,19061,20802,2080,2,,2,,,,,2,,,,,,,,,1,2,13,,,1,,,,200,2,6,,1,31,
4,1,107,2,10,19061,21202,2120,2,,2,,,,,2,,,,,,,,,1,1,12,,,1,,,,150,2,6,,1,31,
4,1,107,2,10,19061,21902,2190,2,,2,,,,,2,,,,,,,,,1,20,80,"20 PIECES",1,1,,,,4500,2,6,,1,31,
4,1,107,2,10,19062,10802,1080,2,,2,,,,,2,,,,,,,,,1,3,80,"3 COBS OF MAIZE",2,1,,,,500,2,6,,1,31,
4,1,107,2,10,19062,21902,2190,2,,2,,,,,2,,,,,,,,,1,5,80,"5 PIECES",2,1,,,,1000,2,6,,1,31,
4,1,107,2,10,19063,10802,1080,2,,2,,,,,2,,,,,,,,,1,2,13,,,1,,,,500,2,6,,1,5,
4,1,107,2,10,19063,21202,2120,2,,2,,,,,2,,,,,,,,,1,3,70,,0,1,,,,800,2,6,,1,31,
4,1,107,2,10,19063,21902,2190,1,,2,,,,,2,,,,,,,,,1,5,10,,,1,,,,2500,2,6,,1,31,
4,1,107,2,10,19064,10202,1020,2,,1,6,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19064,10802,1080,2,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19064,21902,2190,2,,1,3,11,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19066,10202,1020,2,,1,7,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19066,10802,1080,2,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19068,10202,1020,2,,1,7,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19068,10802,1080,2,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19068,20602,2060,2,,1,4,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19069,10202,1020,2,,1,13,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19069,10802,1080,2,,2,,,,,2,,,,,,,,,1,12,13,,,2,,,,1300,1,6,,3,5,
4,1,107,2,10,19069,21902,2190,2,,1,2,70,,0,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19070,10202,1020,2,,1,12,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19070,10802,1080,2,,2,,,,,2,,,,,,,,,1,10,13,,,2,,,,500,1,6,,4,5,
4,1,107,2,10,19070,21902,2190,2,,2,,,,,2,,,,,,,,,1,5,70,,1,2,,,,12000,1,6,,4,5,
4,1,107,2,10,19071,10202,1020,2,,1,14,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,10,19071,10802,1080,2,,2,,,,,2,,,,,,,,,1,12,13,,,2,,,,1500,1,6,,3,5,
4,1,107,2,10,19071,21422,2142,2,,2,,,,,2,,,,,,,,,1,10,2,,,2,,,,500,1,6,,3,5,
4,1,107,2,10,19071,21902,2190,2,,1,4,70,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
